,bowler_name,date,inning,opposition,runs_conceded,wickets_taken,balls_bowled,num_dots,team,year,economy_rate
1042,Daren Powell,2007-09-13,2,Bangladesh,28.0,0.0,18,9,West Indies,05-07,9.33333333333
1043,Daren Powell,2007-12-16,1,South Africa,5.0,1.0,19,14,West Indies,05-07,1.57894736842
1044,Darren Gough,2005-06-13,2,Australia,15.0,3.0,19,14,England,05-07,4.73684210526
1045,Darren Gough,2006-08-28,2,Pakistan,32.0,1.0,24,14,England,05-07,8.0
1046,Darren Maddy,2007-09-18,1,New Zealand,6.0,2.0,6,3,England,05-07,6.0
1047,Darren Maddy,2007-09-19,1,India,20.0,1.0,12,4,England,05-07,10.0
1048,Darren Sammy,2007-06-28,2,England,37.0,2.0,24,5,West Indies,05-07,9.25
1049,Darren Sammy,2007-06-29,2,England,27.0,1.0,24,7,West Indies,05-07,6.75
1050,Darren Sammy,2007-12-16,1,South Africa,9.0,1.0,12,8,West Indies,05-07,4.5
1051,Darren Sammy,2008-01-18,2,South Africa,21.0,3.0,24,12,West Indies,08-10,5.25
1052,Darren Sammy,2009-03-15,1,England,14.0,3.0,24,11,West Indies,08-10,3.5
1053,Darren Sammy,2009-06-15,1,England,24.0,0.0,24,9,West Indies,08-10,6.0
1054,Darren Sammy,2009-06-19,1,Sri Lanka,19.0,0.0,24,12,West Indies,08-10,4.75
1055,Darren Sammy,2009-08-02,1,Bangladesh,28.0,3.0,25,11,West Indies,08-10,6.72
1056,Darren Sammy,2010-02-21,1,Australia,36.0,1.0,18,5,West Indies,08-10,12.0
1057,Darren Sammy,2010-02-23,2,Australia,13.0,0.0,7,2,West Indies,08-10,11.1428571429
1058,Darren Sammy,2010-02-28,1,Zimbabwe,25.0,5.0,24,9,West Indies,08-10,6.25
1059,Darren Sammy,2010-04-30,2,Ireland,8.0,3.0,22,16,West Indies,08-10,2.18181818182
1060,Darren Sammy,2010-05-03,1,England,21.0,2.0,25,10,West Indies,08-10,5.04
1061,Darren Sammy,2010-05-07,1,Sri Lanka,23.0,0.0,12,4,West Indies,08-10,11.5
1062,Darren Sammy,2010-05-09,2,India,14.0,1.0,20,12,West Indies,08-10,4.2
1063,Darren Sammy,2010-05-11,2,Australia,3.0,1.0,6,3,West Indies,08-10,3.0
1064,Darren Sammy,2010-05-19,1,South Africa,11.0,0.0,12,4,West Indies,08-10,5.5
1065,Darren Sammy,2010-05-20,1,South Africa,16.0,2.0,24,11,West Indies,08-10,4.0
1066,Darren Sammy,2011-04-21,2,Pakistan,26.0,1.0,18,7,West Indies,11-13,8.66666666667
1067,Darren Sammy,2011-06-04,1,India,16.0,4.0,24,11,West Indies,11-13,4.0
1068,Darren Sammy,2011-09-23,2,England,20.0,0.0,18,7,West Indies,11-13,6.66666666667
1069,Darren Sammy,2011-09-25,2,England,9.0,2.0,12,8,West Indies,11-13,4.5
1070,Darren Sammy,2011-10-11,2,Bangladesh,27.0,1.0,27,11,West Indies,11-13,6.0
1071,Darren Sammy,2012-03-27,2,Australia,22.0,0.0,13,5,West Indies,11-13,10.1538461538
1072,Darren Sammy,2012-03-30,2,Australia,11.0,0.0,6,1,West Indies,11-13,11.0
1073,Darren Sammy,2012-06-24,2,England,22.0,0.0,18,4,West Indies,11-13,7.33333333333
1074,Darren Sammy,2012-06-30,2,New Zealand,13.0,1.0,12,4,West Indies,11-13,6.5
1075,Darren Sammy,2012-07-01,2,New Zealand,13.0,0.0,13,7,West Indies,11-13,6.0
1076,Darren Sammy,2012-09-22,2,Australia,15.0,0.0,12,5,West Indies,11-13,7.5
1077,Darren Sammy,2012-09-27,2,England,13.0,0.0,6,2,West Indies,11-13,13.0
1078,Darren Sammy,2012-09-29,2,Sri Lanka,27.0,0.0,25,11,West Indies,11-13,6.48
1079,Darren Sammy,2012-10-01,2,New Zealand,34.0,1.0,25,7,West Indies,11-13,8.16
1080,Darren Sammy,2012-10-05,2,Australia,11.0,0.0,6,1,West Indies,11-13,11.0
1081,Darren Sammy,2012-10-07,2,Sri Lanka,6.0,2.0,12,7,West Indies,11-13,3.0
1082,Darren Sammy,2012-12-10,2,Bangladesh,30.0,0.0,12,2,West Indies,11-13,15.0
1083,Darren Sammy,2013-02-13,2,Australia,29.0,1.0,19,2,West Indies,11-13,9.15789473684
1084,Darren Sammy,2013-03-02,1,Zimbabwe,32.0,0.0,26,10,West Indies,11-13,7.38461538462
1085,Darren Sammy,2013-03-03,2,Zimbabwe,13.0,0.0,12,2,West Indies,11-13,6.5
1086,Darren Sammy,2013-07-27,2,Pakistan,4.0,0.0,6,2,West Indies,11-13,4.0
1087,Darren Sammy,2013-07-28,1,Pakistan,20.0,1.0,24,13,West Indies,11-13,5.0
1088,Darren Sammy,2014-02-19,2,Ireland,16.0,0.0,18,9,West Indies,14-16,5.33333333333
1089,Darren Sammy,2014-02-21,2,Ireland,22.0,3.0,24,9,West Indies,14-16,5.5
1090,Darren Sammy,2014-03-09,2,England,12.0,0.0,6,0,West Indies,14-16,12.0
1091,Darren Sammy,2014-03-11,1,England,17.0,0.0,6,0,West Indies,14-16,17.0
1092,Darren Sammy,2014-03-13,1,England,14.0,0.0,12,5,West Indies,14-16,7.0
1093,Darren Sammy,2014-03-23,2,India,9.0,0.0,6,1,West Indies,14-16,9.0
1094,Darren Sammy,2014-03-25,2,Bangladesh,6.0,0.0,6,3,West Indies,14-16,6.0
1095,Darren Sammy,2014-03-28,1,Australia,16.0,0.0,6,1,West Indies,14-16,16.0
1096,Darren Sammy,2014-07-05,2,New Zealand,22.0,3.0,18,5,West Indies,14-16,7.33333333333
1097,Darren Sammy,2014-07-06,2,New Zealand,22.0,0.0,18,3,West Indies,14-16,7.33333333333
1098,Darren Sammy,2015-01-09,1,South Africa,17.0,0.0,12,2,West Indies,14-16,8.5
1099,Darren Sammy,2015-01-11,1,South Africa,17.0,0.0,6,0,West Indies,14-16,17.0
1100,Darren Sammy,2015-11-09,1,Sri Lanka,26.0,0.0,12,2,West Indies,14-16,13.0
1101,Darren Sammy,2015-11-11,2,Sri Lanka,17.0,0.0,12,3,West Indies,14-16,8.5
1102,Daryl Tuffey,2005-02-17,1,Australia,49.0,1.0,25,10,New Zealand,05-07,11.76
1103,Daryl Tuffey,2010-02-03,1,Bangladesh,16.0,2.0,24,14,New Zealand,08-10,4.0
1104,Daryl Tuffey,2010-02-26,2,Australia,27.0,0.0,12,2,New Zealand,08-10,13.5
1105,Dasun Shanaka,2016-02-09 00:00:00,1,India,15.0,3.0,19,9,Sri Lanka,14-16,4.73684210526
1106,Dasun Shanaka,2016-02-12 00:00:00,1,India,12.0,0.0,6,1,Sri Lanka,14-16,12.0
1107,Dasun Shanaka,2016-03-01 00:00:00,2,India,7.0,1.0,6,2,Sri Lanka,14-16,7.0
1108,Dasun Shanaka,2016-03-04 00:00:00,2,Pakistan,6.0,0.0,6,3,Sri Lanka,14-16,6.0
1109,David Bernard,2009-08-02,1,Bangladesh,16.0,1.0,25,16,West Indies,08-10,3.84
1110,David Hussey,2008-02-01,1,India,11.0,1.0,19,11,Australia,08-10,3.47368421053
1111,David Hussey,2009-01-11,2,South Africa,22.0,3.0,26,8,Australia,08-10,5.07692307692
1112,David Hussey,2009-01-13,1,South Africa,18.0,1.0,18,3,Australia,08-10,6.0
1113,David Hussey,2009-02-15,2,New Zealand,24.0,0.0,24,8,Australia,08-10,6.0
1114,David Hussey,2009-03-27,2,South Africa,21.0,2.0,24,10,Australia,08-10,5.25
1115,David Hussey,2009-03-29,1,South Africa,24.0,0.0,18,4,Australia,08-10,8.0
1116,David Hussey,2009-06-06,2,West Indies,15.0,0.0,7,3,Australia,08-10,12.8571428571
1117,David Hussey,2010-02-21,2,West Indies,4.0,0.0,6,2,Australia,08-10,4.0
1118,David Hussey,2010-02-26,1,New Zealand,6.0,0.0,6,1,Australia,08-10,6.0
1119,David Hussey,2010-02-28,1,New Zealand,21.0,0.0,18,9,Australia,08-10,7.0
1120,David Hussey,2010-05-02,2,Pakistan,12.0,1.0,12,4,Australia,08-10,6.0
1121,David Hussey,2010-05-05,2,Bangladesh,8.0,2.0,12,9,Australia,08-10,4.0
1122,David Hussey,2010-05-11,1,West Indies,3.0,2.0,6,4,Australia,08-10,3.0
1123,David Hussey,2010-05-14,1,Pakistan,21.0,1.0,20,6,Australia,08-10,6.3
1124,David Hussey,2010-07-05,1,Pakistan,32.0,2.0,25,7,Australia,08-10,7.68
1125,David Hussey,2010-07-06,1,Pakistan,15.0,3.0,19,9,Australia,08-10,4.73684210526
1126,David Hussey,2011-01-12,2,England,14.0,1.0,12,4,Australia,11-13,7.0
1127,David Hussey,2011-01-14,2,England,18.0,0.0,18,4,Australia,11-13,6.0
1128,David Hussey,2011-08-08,1,Sri Lanka,6.0,0.0,7,2,Australia,11-13,5.14285714286
1129,David Hussey,2011-10-13,1,South Africa,25.0,0.0,18,3,Australia,11-13,8.33333333333
1130,David Hussey,2011-10-16,2,South Africa,20.0,1.0,13,5,Australia,11-13,9.23076923077
1131,David Hussey,2012-02-01,2,India,4.0,2.0,12,8,Australia,11-13,2.0
1132,David Hussey,2012-02-03,2,India,8.0,0.0,12,6,Australia,11-13,4.0
1133,David Hussey,2012-09-07,1,Pakistan,7.0,0.0,6,3,Australia,11-13,7.0
1134,David Hussey,2012-10-05,1,West Indies,22.0,0.0,12,2,Australia,11-13,11.0
1135,David Wiese,2013-08-02,2,Sri Lanka,7.0,0.0,7,3,South Africa,11-13,6.0
1136,David Wiese,2013-08-04,2,Sri Lanka,25.0,1.0,24,7,South Africa,11-13,6.25
1137,David Wiese,2013-08-06,2,Sri Lanka,24.0,2.0,24,9,South Africa,11-13,6.0
1138,David Wiese,2013-11-22,1,Pakistan,24.0,0.0,18,4,South Africa,11-13,8.0
1139,David Wiese,2014-11-09,2,Australia,18.0,3.0,26,14,South Africa,14-16,4.15384615385
1140,David Wiese,2015-01-09,2,West Indies,20.0,1.0,14,6,South Africa,14-16,8.57142857143
1141,David Wiese,2015-01-11,2,West Indies,40.0,3.0,27,13,South Africa,14-16,8.88888888889
1142,David Wiese,2015-01-14,2,West Indies,21.0,5.0,26,12,South Africa,14-16,4.84615384615
1143,David Wiese,2015-07-05,2,Bangladesh,11.0,3.0,19,10,South Africa,14-16,3.47368421053
1144,David Wiese,2015-07-07,2,Bangladesh,17.0,0.0,12,3,South Africa,14-16,8.5
1145,David Wiese,2015-08-14,1,New Zealand,24.0,3.0,24,9,South Africa,14-16,6.0
1146,David Wiese,2015-08-16,1,New Zealand,25.0,0.0,25,10,South Africa,14-16,6.0
1147,David Wiese,2016-02-19 00:00:00,1,England,19.0,1.0,24,11,South Africa,14-16,4.75
1148,David Wiese,2016-02-21 00:00:00,1,England,40.0,0.0,18,5,South Africa,14-16,13.3333333333
1149,David Wiese,2016-03-04 00:00:00,1,Australia,16.0,2.0,24,12,South Africa,14-16,4.0
1150,David Wiese,2016-03-06 00:00:00,2,Australia,57.0,0.0,25,6,South Africa,14-16,13.68
1151,David Willey,2015-06-23,2,New Zealand,21.0,3.0,15,7,England,14-16,8.4
1152,David Willey,2015-08-31,2,Australia,34.0,2.0,24,9,England,14-16,8.5
1153,David Willey,2015-11-27,2,Pakistan,42.0,0.0,25,6,England,14-16,10.08
1154,David Willey,2015-11-30,2,Pakistan,32.0,7.0,28,13,England,14-16,6.85714285714
1155,David Willey,2016-02-19 00:00:00,2,South Africa,15.0,0.0,12,5,England,14-16,7.5
1156,Dawlat Ahmadzai,2010-02-01,2,Ireland,25.0,1.0,12,3,Afghanistan,08-10,12.5
1157,Dawlat Ahmadzai,2010-05-01,2,India,20.0,1.0,13,5,Afghanistan,08-10,9.23076923077
1158,Dawlat Zadran,2012-03-14,1,Netherlands,31.0,0.0,28,10,Afghanistan,11-13,6.64285714286
1159,Dawlat Zadran,2012-03-18,2,Canada,22.0,2.0,25,14,Afghanistan,11-13,5.28
1160,Dawlat Zadran,2012-03-24,2,Ireland,20.0,3.0,25,14,Afghanistan,11-13,4.8
1161,Dawlat Zadran,2012-09-19,1,India,19.0,1.0,26,14,Afghanistan,11-13,4.38461538462
1162,Dawlat Zadran,2012-09-21,1,England,22.0,1.0,24,12,Afghanistan,11-13,5.5
1163,Dawlat Zadran,2013-11-16,2,Scotland,23.0,2.0,24,8,Afghanistan,11-13,5.75
1164,Dawlat Zadran,2013-11-30,1,Ireland,51.0,1.0,25,9,Afghanistan,11-13,12.24
1165,Dawlat Zadran,2013-12-08,2,Pakistan,22.0,1.0,20,10,Afghanistan,11-13,6.6
1166,Dawlat Zadran,2014-03-16,2,Bangladesh,11.0,0.0,14,8,Afghanistan,14-16,4.71428571429
1167,Dawlat Zadran,2014-03-18,1,Hong Kong,19.0,2.0,20,13,Afghanistan,14-16,5.7
1168,Dawlat Zadran,2014-03-20,1,Nepal,22.0,1.0,19,7,Afghanistan,14-16,6.94736842105
1169,Dawlat Zadran,2015-07-09,2,Netherlands,16.0,3.0,23,13,Afghanistan,14-16,4.17391304348
1170,Dawlat Zadran,2015-07-10,1,United Arab Emirates,46.0,1.0,24,13,Afghanistan,14-16,11.5
1171,Dawlat Zadran,2015-07-12,2,Scotland,34.0,1.0,21,12,Afghanistan,14-16,9.71428571429
1172,Dawlat Zadran,2015-07-21,2,Hong Kong,29.0,0.0,25,12,Afghanistan,14-16,6.96
1173,Dawlat Zadran,2015-07-23,1,Papua New Guinea,24.0,1.0,24,11,Afghanistan,14-16,6.0
1174,Dawlat Zadran,2015-07-25,1,Oman,19.0,1.0,23,12,Afghanistan,14-16,4.95652173913
1175,Dawlat Zadran,2015-10-26,1,Zimbabwe,29.0,3.0,24,13,Afghanistan,14-16,7.25
1176,Dawlat Zadran,2015-10-28,1,Zimbabwe,24.0,2.0,24,13,Afghanistan,14-16,6.0
1177,Dawlat Zadran,2016-01-08 00:00:00,2,Zimbabwe,27.0,6.0,28,15,Afghanistan,14-16,5.78571428571
1178,Dawlat Zadran,2016-01-10 00:00:00,2,Zimbabwe,21.0,2.0,18,9,Afghanistan,14-16,7.0
1179,Dawlat Zadran,2016-02-19 00:00:00,1,United Arab Emirates,28.0,0.0,24,9,Afghanistan,14-16,7.0
1180,Dawlat Zadran,2016-02-20 00:00:00,1,Oman,25.0,1.0,26,10,Afghanistan,14-16,5.76923076923
1181,Dawlat Zadran,2016-02-22 00:00:00,2,Hong Kong,17.0,2.0,20,12,Afghanistan,14-16,5.1
1182,Deighton Butler,2006-02-16,2,New Zealand,21.0,0.0,19,10,West Indies,05-07,6.63157894737
1183,Devendra Bishoo,2011-04-21,2,Pakistan,16.0,4.0,25,15,West Indies,11-13,3.84
1184,Devendra Bishoo,2011-06-04,1,India,31.0,1.0,24,9,West Indies,11-13,7.75
1185,Devendra Bishoo,2011-09-23,2,England,26.0,0.0,26,9,West Indies,11-13,6.0
1186,Devendra Bishoo,2011-09-25,2,England,22.0,2.0,22,13,West Indies,11-13,6.0
1187,Devendra Bishoo,2015-11-09,1,Sri Lanka,11.0,0.0,6,0,West Indies,14-16,11.0
1188,Dewald Nel,2007-09-12,1,Pakistan,25.0,2.0,24,13,Scotland,05-07,6.25
1189,Dewald Nel,2008-08-02,2,Ireland,18.0,2.0,25,13,Scotland,08-10,4.32
1190,Dewald Nel,2008-08-03,1,Bermuda,12.0,3.0,24,16,Scotland,08-10,3.0
1191,Dewald Nel,2008-08-04,1,Kenya,26.0,4.0,45,32,Scotland,08-10,3.46666666667
1192,Dewald Nel,2010-02-01,2,Kenya,23.0,0.0,20,10,Scotland,08-10,6.9
1193,Dewald Nel,2010-02-04,2,Kenya,12.0,0.0,12,6,Scotland,08-10,6.0
1194,Dewald Nel,2010-02-10,1,Afghanistan,17.0,1.0,26,14,Scotland,08-10,3.92307692308
1195,Dewald Nel,2010-02-11,1,Ireland,17.0,0.0,21,12,Scotland,08-10,4.85714285714
1196,Dhammika Prasad,2011-08-06,2,Australia,37.0,0.0,18,5,Sri Lanka,11-13,12.3333333333
1197,Dilhara Fernando,2006-06-15,2,England,22.0,1.0,24,7,Sri Lanka,05-07,5.5
1198,Dilhara Fernando,2006-12-22,1,New Zealand,36.0,0.0,18,4,Sri Lanka,05-07,12.0
1199,Dilhara Fernando,2006-12-26,2,New Zealand,19.0,3.0,24,16,Sri Lanka,05-07,4.75
1200,Dilhara Fernando,2007-09-14,2,Kenya,14.0,0.0,23,17,Sri Lanka,05-07,3.65217391304
1201,Dilhara Fernando,2007-09-15,1,New Zealand,30.0,2.0,25,10,Sri Lanka,05-07,7.2
1202,Dilhara Fernando,2007-09-17,1,Pakistan,16.0,2.0,25,19,Sri Lanka,05-07,3.84
1203,Dilhara Fernando,2007-09-18,2,Bangladesh,21.0,2.0,18,9,Sri Lanka,05-07,7.0
1204,Dilhara Fernando,2007-09-20,2,Australia,12.0,0.0,18,12,Sri Lanka,05-07,4.0
1205,Dilhara Fernando,2008-10-10,1,Zimbabwe,25.0,0.0,20,9,Sri Lanka,08-10,7.5
1206,Dilhara Fernando,2008-10-11,2,Pakistan,29.0,1.0,26,11,Sri Lanka,08-10,6.69230769231
1207,Dilhara Fernando,2008-10-12,2,Canada,21.0,3.0,21,15,Sri Lanka,08-10,6.0
1208,Dilhara Fernando,2008-10-13,1,Pakistan,27.0,1.0,27,10,Sri Lanka,08-10,6.0
1209,Dilhara Fernando,2009-02-10,2,India,36.0,0.0,28,11,Sri Lanka,08-10,7.71428571429
1210,Dilhara Fernando,2009-12-09,2,India,25.0,1.0,19,8,Sri Lanka,08-10,7.89473684211
1211,Dilhara Fernando,2009-12-12,2,India,29.0,1.0,24,7,Sri Lanka,08-10,7.25
1212,Dilhara Fernando,2010-10-31,1,Australia,29.0,2.0,24,10,Sri Lanka,08-10,7.25
1213,Dilhara Fernando,2011-11-25,2,Pakistan,36.0,1.0,24,12,Sri Lanka,11-13,9.0
1214,Dilhara Fernando,2016-02-14 00:00:00,2,India,7.0,0.0,12,8,Sri Lanka,14-16,3.5
1215,Dilhara Lokuhettige,2008-10-10,1,Zimbabwe,31.0,0.0,25,10,Sri Lanka,08-10,7.44
1216,Dilhara Lokuhettige,2008-10-12,2,Canada,4.0,2.0,14,11,Sri Lanka,08-10,1.71428571429
1217,Dilruwan Perera,2011-08-06,2,Australia,25.0,3.0,25,12,Sri Lanka,11-13,6.0
1218,Dilruwan Perera,2011-08-08,2,Australia,26.0,0.0,18,8,Sri Lanka,11-13,8.66666666667
1219,Dilruwan Perera,2011-11-25,2,Pakistan,20.0,0.0,18,6,Sri Lanka,11-13,6.66666666667
1220,Dimitri Mascarenhas,2007-06-28,1,West Indies,38.0,2.0,25,7,England,05-07,9.12
1221,Dimitri Mascarenhas,2007-06-29,1,West Indies,31.0,0.0,19,4,England,05-07,9.78947368421
1222,Dimitri Mascarenhas,2007-09-13,2,Zimbabwe,18.0,3.0,24,12,England,05-07,4.5
1223,Dimitri Mascarenhas,2007-09-14,2,Australia,22.0,0.0,12,1,England,05-07,11.0
1224,Dimitri Mascarenhas,2007-09-16,1,South Africa,24.0,1.0,18,5,England,05-07,8.0
1225,Dimitri Mascarenhas,2007-09-18,1,New Zealand,43.0,1.0,24,8,England,05-07,10.75
1226,Dimitri Mascarenhas,2007-09-19,1,India,15.0,0.0,6,0,England,05-07,15.0
1227,Dimitri Mascarenhas,2008-02-05,2,New Zealand,19.0,3.0,24,12,England,08-10,4.75
1228,Dimitri Mascarenhas,2008-02-07,2,New Zealand,25.0,2.0,24,11,England,08-10,6.25
1229,Dimitri Mascarenhas,2008-06-13,1,New Zealand,10.0,0.0,12,7,England,08-10,5.0
1230,Dimitri Mascarenhas,2009-03-15,2,West Indies,17.0,0.0,24,11,England,08-10,4.25
1231,Dimitri Mascarenhas,2009-06-07,2,Pakistan,14.0,1.0,12,5,England,08-10,7.0
1232,Dimitri Mascarenhas,2009-06-11,2,South Africa,22.0,0.0,24,12,England,08-10,5.5
1233,Dimitri Mascarenhas,2009-06-14,2,India,9.0,1.0,6,3,England,08-10,9.0
1234,Dirk Nannes,2009-06-05,1,England,27.0,0.0,27,10,Netherlands,08-10,6.0
1235,Dirk Nannes,2009-06-09,1,Pakistan,26.0,1.0,24,9,Netherlands,08-10,6.5
1236,Dirk Nannes,2010-02-05,2,Pakistan,27.0,2.0,24,13,Netherlands,08-10,6.75
1237,Dirk Nannes,2010-02-21,2,West Indies,20.0,3.0,25,14,Netherlands,08-10,4.8
1238,Dirk Nannes,2010-02-26,1,New Zealand,22.0,2.0,24,15,Netherlands,08-10,5.5
1239,Dirk Nannes,2010-02-28,1,New Zealand,51.0,1.0,24,8,Netherlands,08-10,12.75
1240,Dirk Nannes,2010-05-02,2,Pakistan,38.0,3.0,26,13,Netherlands,08-10,8.76923076923
1241,Dirk Nannes,2010-05-05,2,Bangladesh,18.0,4.0,24,14,Netherlands,08-10,4.5
1242,Dirk Nannes,2010-05-07,2,India,25.0,3.0,24,13,Netherlands,08-10,6.25
1243,Dirk Nannes,2010-05-09,2,Sri Lanka,19.0,2.0,18,9,Netherlands,08-10,6.33333333333
1244,Dirk Nannes,2010-05-11,1,West Indies,18.0,1.0,19,9,Netherlands,08-10,5.68421052632
1245,Dirk Nannes,2010-05-14,1,Pakistan,30.0,1.0,26,13,Netherlands,08-10,6.92307692308
1246,Dirk Nannes,2010-05-16,2,England,29.0,0.0,24,11,Netherlands,08-10,7.25
1247,Dirk Nannes,2010-07-05,1,Pakistan,34.0,3.0,27,12,Netherlands,08-10,7.55555555556
1248,Dirk Nannes,2010-07-06,1,Pakistan,30.0,3.0,24,13,Netherlands,08-10,7.5
1249,Dirk Nannes,2010-10-31,2,Sri Lanka,27.0,1.0,19,7,Netherlands,08-10,8.52631578947
1250,Donald Tiripano,2016-01-08 00:00:00,1,Afghanistan,25.0,0.0,21,12,Zimbabwe,14-16,7.14285714286
1251,Donald Tiripano,2016-01-10 00:00:00,1,Afghanistan,33.0,1.0,27,13,Zimbabwe,14-16,7.33333333333
1252,Doug Bollinger,2011-10-13,1,South Africa,21.0,2.0,26,14,Australia,11-13,4.84615384615
1253,Doug Bollinger,2011-10-16,2,South Africa,35.0,1.0,25,12,Australia,11-13,8.4
1254,Doug Bollinger,2014-03-23,1,Pakistan,28.0,1.0,24,9,Australia,14-16,7.0
1255,Doug Bollinger,2014-03-28,2,West Indies,34.0,1.0,24,11,Australia,14-16,8.5
1256,Doug Bollinger,2014-03-30,1,India,24.0,1.0,24,12,Australia,14-16,6.0
1257,Doug Bollinger,2014-04-01,1,Bangladesh,31.0,1.0,24,8,Australia,14-16,7.75
1258,Doug Bollinger,2014-11-05,2,South Africa,22.0,1.0,18,11,Australia,14-16,7.33333333333
1259,Doug Bollinger,2014-11-07,1,South Africa,22.0,1.0,25,13,Australia,14-16,5.28
1260,Doug Bollinger,2014-11-09,1,South Africa,28.0,1.0,24,10,Australia,14-16,7.0
1261,Doug Bracewell,2011-10-15,1,Zimbabwe,25.0,1.0,25,14,New Zealand,11-13,6.0
1262,Doug Bracewell,2011-10-17,2,Zimbabwe,25.0,5.0,23,13,New Zealand,11-13,6.52173913043
1263,Doug Bracewell,2012-02-11,1,Zimbabwe,46.0,0.0,25,7,New Zealand,11-13,11.04
1264,Doug Bracewell,2012-02-17,1,South Africa,10.0,0.0,18,8,New Zealand,11-13,3.33333333333
1265,Doug Bracewell,2012-02-19,2,South Africa,37.0,0.0,12,3,New Zealand,11-13,18.5
1266,Doug Bracewell,2012-02-22,1,South Africa,27.0,1.0,25,11,New Zealand,11-13,6.48
1267,Doug Bracewell,2012-06-30,1,West Indies,45.0,1.0,26,12,New Zealand,11-13,10.3846153846
1268,Doug Bracewell,2012-07-01,1,West Indies,43.0,1.0,18,7,New Zealand,11-13,14.3333333333
1269,Doug Bracewell,2012-09-29,2,England,7.0,1.0,6,2,New Zealand,11-13,7.0
1270,Doug Bracewell,2012-10-01,1,West Indies,31.0,3.0,24,11,New Zealand,11-13,7.75
1271,Doug Bracewell,2012-12-21,2,South Africa,20.0,0.0,13,7,New Zealand,11-13,9.23076923077
1272,Doug Bracewell,2012-12-23,1,South Africa,32.0,3.0,19,6,New Zealand,11-13,10.1052631579
1273,Doug Bracewell,2012-12-26,1,South Africa,34.0,2.0,19,6,New Zealand,11-13,10.7368421053
1274,Doug Bracewell,2015-08-14,2,South Africa,17.0,1.0,18,10,New Zealand,14-16,5.66666666667
1275,Dougie Brown,2007-09-12,1,Pakistan,40.0,0.0,27,8,Scotland,05-07,8.88888888889
1276,Duncan Allan,2012-02-22,2,Ireland,9.0,0.0,6,1,Kenya,11-13,9.0
1277,Duncan Allan,2012-03-14,2,Ireland,21.0,0.0,6,1,Kenya,11-13,21.0
1278,Duncan Allan,2013-03-15,2,Canada,8.0,0.0,7,2,Kenya,11-13,6.85714285714
1279,Duncan Allan,2013-07-04,1,Scotland,12.0,0.0,12,6,Kenya,11-13,6.0
1280,Duncan Allan,2013-07-05,2,Scotland,7.0,1.0,7,3,Kenya,11-13,6.0
1281,Duncan Allan,2013-11-24,1,Afghanistan,8.0,2.0,12,5,Kenya,11-13,4.0
1282,Duncan Allan,2013-11-26,2,Canada,15.0,2.0,8,1,Kenya,11-13,11.25
1283,Dushmantha Chameera,2015-11-09,2,West Indies,28.0,1.0,20,10,Sri Lanka,14-16,8.4
1284,Dushmantha Chameera,2015-11-11,1,West Indies,33.0,1.0,20,8,Sri Lanka,14-16,9.9
1285,Dushmantha Chameera,2016-01-10 00:00:00,2,New Zealand,45.0,0.0,19,3,Sri Lanka,14-16,14.2105263158
1286,Dushmantha Chameera,2016-02-09 00:00:00,1,India,13.0,3.0,24,14,Sri Lanka,14-16,3.25
1287,Dushmantha Chameera,2016-02-12 00:00:00,1,India,36.0,2.0,26,9,Sri Lanka,14-16,8.30769230769
1288,Dushmantha Chameera,2016-02-14 00:00:00,2,India,14.0,1.0,12,5,Sri Lanka,14-16,7.0
1289,Dushmantha Chameera,2016-02-25 00:00:00,2,United Arab Emirates,15.0,0.0,23,15,Sri Lanka,14-16,3.91304347826
1290,Dushmantha Chameera,2016-02-28 00:00:00,1,Bangladesh,27.0,4.0,27,13,Sri Lanka,14-16,6.0
1291,Dushmantha Chameera,2016-03-01 00:00:00,2,India,26.0,0.0,25,9,Sri Lanka,14-16,6.24
1292,Dushmantha Chameera,2016-03-04 00:00:00,2,Pakistan,31.0,0.0,25,11,Sri Lanka,14-16,7.44
1293,Dwayne Bravo,2006-02-16,2,New Zealand,14.0,2.0,18,12,West Indies,05-07,4.66666666667
1294,Dwayne Bravo,2007-06-28,2,England,6.0,1.0,6,1,West Indies,05-07,6.0
1295,Dwayne Bravo,2007-09-11,2,South Africa,37.0,0.0,18,5,West Indies,05-07,12.3333333333
1296,Dwayne Bravo,2007-09-13,2,Bangladesh,33.0,0.0,13,2,West Indies,05-07,15.2307692308
1297,Dwayne Bravo,2007-12-16,1,South Africa,16.0,0.0,12,5,West Indies,05-07,8.0
1298,Dwayne Bravo,2008-06-20,1,Australia,12.0,1.0,12,5,West Indies,08-10,6.0
1299,Dwayne Bravo,2009-03-15,1,England,27.0,1.0,27,12,West Indies,08-10,6.0
1300,Dwayne Bravo,2009-06-06,1,Australia,29.0,1.0,26,11,West Indies,08-10,6.69230769231
1301,Dwayne Bravo,2009-06-10,1,Sri Lanka,26.0,0.0,27,14,West Indies,08-10,5.77777777778
1302,Dwayne Bravo,2009-06-12,1,India,38.0,4.0,24,9,West Indies,08-10,9.5
1303,Dwayne Bravo,2009-06-13,1,South Africa,24.0,0.0,12,3,West Indies,08-10,12.0
1304,Dwayne Bravo,2009-06-15,1,England,29.0,2.0,25,6,West Indies,08-10,6.96
1305,Dwayne Bravo,2009-06-19,1,Sri Lanka,32.0,2.0,18,7,West Indies,08-10,10.6666666667
