,bowler_name,date,inning,opposition,runs_conceded,wickets_taken,balls_bowled,num_dots,team,year,economy_rate
59,Abdur Razzak,2012-07-24,1,Scotland,31.0,2.0,25,10,Bangladesh,11-13,7.44
60,Abdur Razzak,2012-07-25,1,Netherlands,31.0,2.0,24,4,Bangladesh,11-13,7.75
61,Abdur Razzak,2012-07-26,2,Netherlands,23.0,2.0,24,17,Bangladesh,11-13,5.75
62,Abdur Razzak,2012-09-21,1,New Zealand,27.0,2.0,25,9,Bangladesh,11-13,6.48
63,Abdur Razzak,2012-09-25,2,Pakistan,30.0,0.0,24,7,Bangladesh,11-13,7.5
64,Abdur Razzak,2012-12-10,1,West Indies,31.0,0.0,19,9,Bangladesh,11-13,9.78947368421
65,Abdur Razzak,2013-03-31,1,Sri Lanka,33.0,1.0,26,10,Bangladesh,11-13,7.61538461538
66,Abdur Razzak,2013-05-11,1,Zimbabwe,35.0,0.0,24,8,Bangladesh,11-13,8.75
67,Abdur Razzak,2013-05-12,2,Zimbabwe,17.0,2.0,25,16,Bangladesh,11-13,4.08
68,Abdur Razzak,2013-11-06,1,New Zealand,19.0,1.0,12,3,Bangladesh,11-13,9.5
69,Abdur Razzak,2014-03-16,1,Afghanistan,20.0,3.0,24,12,Bangladesh,14-16,5.0
70,Abdur Razzak,2014-03-18,1,Nepal,11.0,0.0,13,5,Bangladesh,14-16,5.07692307692
71,Abdur Razzak,2014-03-20,2,Hong Kong,31.0,1.0,22,12,Bangladesh,14-16,8.45454545455
72,Abdur Razzak,2014-03-30,1,Pakistan,17.0,2.0,26,12,Bangladesh,14-16,3.92307692308
73,Abdur Razzak,2014-04-01,2,Australia,16.0,0.0,12,5,Bangladesh,14-16,8.0
74,Abdur Rehman,2007-02-02,2,South Africa,34.0,0.0,20,6,Pakistan,05-07,10.2
75,Abdur Rehman,2007-09-04,1,Kenya,7.0,2.0,18,12,Pakistan,05-07,2.33333333333
76,Abdur Rehman,2010-05-08,1,New Zealand,17.0,2.0,20,10,Pakistan,08-10,5.1
77,Abdur Rehman,2010-05-10,2,South Africa,33.0,2.0,26,9,Pakistan,08-10,7.61538461538
78,Abdur Rehman,2010-05-14,2,Australia,32.0,2.0,25,10,Pakistan,08-10,7.68
79,Abdur Rehman,2010-12-30,2,New Zealand,22.0,1.0,24,11,Pakistan,08-10,5.5
80,Abdur Rehman,2011-04-21,1,West Indies,21.0,3.0,25,15,Pakistan,11-13,5.04
81,Abdur Rehman,2013-11-13,2,South Africa,18.0,0.0,6,1,Pakistan,11-13,18.0
