batsman_name,runs_batter,balls,wicket,average,strike_rate
Cameron Boyce,4.0,7,1.0,4.0,57.1428571429
Cameron White,476.0,353,13.0,36.6153846154,134.844192635
Carlos Brathwaite,1.0,2,1.0,1.0,50.0
Carlton Baugh,2.0,2,1.0,2.0,100.0
Cephas Zhuwao,12.0,16,3.0,4.0,75.0
Chadwick Walton,9.0,8,1.0,9.0,112.5
Chamara Kapugedera,242.0,218,9.0,26.8888888889,111.009174312
Chamara Silva,58.0,46,2.0,29.0,126.086956522
Chaminda Vaas,12.0,14,0.0,inf,85.7142857143
Chamu Chibhabha,265.0,243,14.0,18.9285714286,109.053497942
Chanaka Welegedara,2.0,3,0.0,inf,66.6666666667
Charl Langeveldt,2.0,3,0.0,inf,66.6666666667
Charles Amini,8.0,17,2.0,4.0,47.0588235294
Charles Coventry,57.0,35,5.0,11.4,162.857142857
Chinthaka Jayasinghe,9.0,20,1.0,9.0,45.0
Chris Barnwell,44.0,21,1.0,44.0,209.523809524
Chris Cairns,3.0,14,2.0,1.5,21.4285714286
Chris Foggo,0.0,1,1.0,0.0,0.0
Chris Gayle,570.0,406,17.0,33.5294117647,140.39408867
Chris Jordan,45.0,46,4.0,11.25,97.8260869565
Chris Lynn,19.0,21,2.0,9.5,90.4761904762
Chris Martin,5.0,6,0.0,inf,83.3333333333
Chris Morris,25.0,17,2.0,12.5,147.058823529
Chris Mpofu,10.0,10,2.0,5.0,100.0
Chris Schofield,14.0,10,0.0,inf,140.0
Chris Woakes,32.0,23,0.0,inf,139.130434783
Christopher Carter,17.0,14,1.0,17.0,121.428571429
Clint McKay,13.0,15,1.0,13.0,86.6666666667
Colin Ingram,87.0,76,4.0,21.75,114.473684211
Colin Munro,158.0,95,6.0,26.3333333333,166.315789474
Colin Smith,57.0,50,2.0,28.5,114.0
Colin de Grandhomme,10.0,10,2.0,5.0,100.0
Collins Obuya,225.0,191,8.0,28.125,117.80104712
Con de Lange,1.0,2,1.0,1.0,50.0
Corey Anderson,74.0,64,5.0,14.8,115.625
Craig Ervine,96.0,117,4.0,24.0,82.0512820513
Craig Kieswetter,318.0,288,13.0,24.4615384615,110.416666667
Craig McMillan,24.0,28,2.0,12.0,85.7142857143
Craig Wallace,50.0,41,1.0,50.0,121.951219512
Craig Wright,14.0,19,1.0,14.0,73.6842105263
Daan van Bunge,34.0,39,5.0,6.8,87.1794871795
Dale Richards,0.0,1,1.0,0.0,0.0
Dale Steyn,6.0,11,2.0,3.0,54.5454545455
Damien Martyn,21.0,13,2.0,10.5,161.538461538
Daniel Christian,9.0,8,1.0,9.0,112.5
Daniel Flynn,23.0,21,2.0,11.5,109.523809524
Daniel Vettori,51.0,50,3.0,17.0,102.0
Danushka Gunathilaka,57.0,57,3.0,19.0,100.0
Danza Hyatt,14.0,7,0.0,inf,200.0
Darren Bravo,41.0,46,3.0,13.6666666667,89.1304347826
Darren Maddy,79.0,51,1.0,79.0,154.901960784
Darren Sammy,154.0,118,13.0,11.8461538462,130.508474576
Darron Reekers,35.0,22,3.0,11.6666666667,159.090909091
Daryl Tuffey,5.0,2,0.0,inf,250.0
Dasun Shanaka,44.0,41,3.0,14.6666666667,107.317073171
David Bernard,1.0,1,0.0,inf,100.0
David Hemp,0.0,2,1.0,0.0,0.0
David Hussey,228.0,197,13.0,17.5384615385,115.736040609
David Miller,241.0,191,9.0,26.7777777778,126.178010471
David Murphy,31.0,30,1.0,31.0,103.333333333
David Obuya,153.0,151,2.0,76.5,101.324503311
David Warner,811.0,581,30.0,27.0333333333,139.586919105
David Wiese,17.0,18,2.0,8.5,94.4444444444
Dawlat Zadran,37.0,18,4.0,9.25,205.555555556
Dean Brownlie,6.0,16,4.0,1.5,37.5
Denesh Ramdin,176.0,148,8.0,22.0,118.918918919
Devendra Bishoo,6.0,5,0.0,inf,120.0
Devon Smith,44.0,37,2.0,22.0,118.918918919
Dewald Nel,13.0,10,1.0,13.0,130.0
Dhananjaya de Silva,31.0,32,1.0,31.0,96.875
Dhiman Ghosh,1.0,2,0.0,inf,50.0
Dilshan Munaweera,13.0,14,1.0,13.0,92.8571428571
Dimitri Mascarenhas,35.0,32,2.0,17.5,109.375
Dinesh Chandimal,183.0,217,14.0,13.0714285714,84.331797235
Dinesh Karthik,52.0,41,2.0,26.0,126.829268293
Dinesh Mongia,38.0,45,2.0,19.0,84.4444444444
Dirk Nannes,18.0,15,2.0,9.0,120.0
Donald Tiripano,2.0,2,1.0,2.0,100.0
Doug Bollinger,1.0,1,0.0,inf,100.0
Doug Bracewell,47.0,29,3.0,15.6666666667,162.068965517
Dougie Brown,1.0,5,1.0,1.0,20.0
Duncan Allan,34.0,51,5.0,6.8,66.6666666667
Dushmantha Chameera,4.0,8,1.0,4.0,50.0
Dwayne Bravo,491.0,417,17.0,28.8823529412,117.745803357
Dwayne Smith,122.0,110,9.0,13.5555555556,110.909090909
Ed Joyce,228.0,273,8.0,28.5,83.5164835165
Edgar Schiferli,7.0,15,1.0,7.0,46.6666666667
Eion Katchay,8.0,13,1.0,8.0,61.5384615385
Elias Sunny,8.0,8,1.0,8.0,100.0
Elijah Otieno,15.0,29,2.0,7.5,51.724137931
Elton Chigumbura,304.0,214,18.0,16.8888888889,142.056074766
Eoin Morgan,638.0,522,20.0,31.9,122.222222222
Eric Szwarczynski,147.0,161,6.0,24.5,91.3043478261
Faf du Plessis,271.0,232,8.0,33.875,116.810344828
Fahad Tariq,16.0,21,3.0,5.33333333333,76.1904761905
Farhaan Behardien,101.0,88,5.0,20.2,114.772727273
Farhad Reza,33.0,35,3.0,11.0,94.2857142857
Farhan Ahmed,4.0,8,1.0,4.0,50.0
Farveez Maharoof,15.0,10,0.0,inf,150.0
Fawad Ahmed,3.0,5,0.0,inf,60.0
Fawad Alam,88.0,62,4.0,22.0,141.935483871
Fidel Edwards,3.0,4,0.0,inf,75.0
Floyd Reifer,22.0,20,1.0,22.0,110.0
Forster Mutizwa,22.0,17,0.0,inf,129.411764706
Fraser Watts,116.0,104,6.0,19.3333333333,111.538461538
Gareth Hopkins,19.0,15,2.0,9.5,126.666666667
Garnett Kruger,3.0,5,1.0,3.0,60.0
Gary Kidd,1.0,1,0.0,inf,100.0
Gary Wilson,377.0,412,19.0,19.8421052632,91.5048543689
Gautam Gambhir,459.0,383,16.0,28.6875,119.843342037
Gavin Hamilton,44.0,48,4.0,11.0,91.6666666667
Gayan Wijekoon,0.0,5,1.0,0.0,0.0
Geoff Barnett,51.0,66,2.0,25.5,77.2727272727
George Bailey,351.0,236,10.0,35.1,148.728813559
George Dockrell,12.0,21,5.0,2.4,57.1428571429
George Munsey,146.0,110,4.0,36.5,132.727272727
George O'Brien,7.0,7,2.0,3.5,100.0
Geraint Jones,14.0,11,0.0,inf,127.272727273
Gihan Rupasinghe,33.0,39,2.0,16.5,84.6153846154
Glenn Maxwell,325.0,210,14.0,23.2142857143,154.761904762
Glenn McGrath,5.0,12,1.0,5.0,41.6666666667
Glenn Rogers,1.0,3,0.0,inf,33.3333333333
Gordon Drummond,41.0,48,4.0,10.25,85.4166666667
Gordon Goudie,2.0,4,2.0,1.0,50.0
Graeme Cremer,44.0,61,6.0,7.33333333333,72.131147541
Graeme Smith,442.0,381,17.0,26.0,116.010498688
Graeme Swann,43.0,39,4.0,10.75,110.256410256
Grant Elliott,26.0,35,2.0,13.0,74.2857142857
Gulbadin Naib,162.0,128,7.0,23.1428571429,126.5625
Gyanendra Malla,71.0,69,4.0,17.75,102.898550725
Hamid Hassan,26.0,24,1.0,26.0,108.333333333
Hamilton Masakadza,480.0,457,20.0,24.0,105.032822757
Hamish Marshall,12.0,14,3.0,4.0,85.7142857143
Hamish Rutherford,18.0,11,1.0,18.0,163.636363636
Hammad Azam,33.0,32,2.0,16.5,103.125
Hamza Tariq,26.0,23,2.0,13.0,113.043478261
Harbhajan Singh,48.0,48,5.0,9.6,100.0
Hardik Pandya,2.0,6,2.0,1.0,33.3333333333
Haris Sohail,14.0,21,2.0,7.0,66.6666666667
Harvir Baidwan,22.0,22,6.0,3.66666666667,100.0
Haseeb Amjad,32.0,30,2.0,16.0,106.666666667
Hashim Amla,376.0,327,13.0,28.9230769231,114.98470948
Heino Kuhn,3.0,9,1.0,3.0,33.3333333333
Henry Davids,27.0,20,2.0,13.5,135.0
Henry Osinde,24.0,24,3.0,8.0,100.0
Herschelle Gibbs,175.0,160,11.0,15.9090909091,109.375
Hiral Patel,76.0,95,5.0,15.2,80.0
Hiren Varaiya,33.0,50,1.0,33.0,66.0
Iain Wardlaw,1.0,3,1.0,1.0,33.3333333333
Ian Bell,161.0,135,4.0,40.25,119.259259259
Ian Butler,3.0,7,2.0,1.5,42.8571428571
Imad Wasim,28.0,20,2.0,14.0,140.0
Imran Farhat,27.0,28,3.0,9.0,96.4285714286
Imran Khan,0.0,1,1.0,0.0,0.0
Imran Nazir,269.0,205,10.0,26.9,131.219512195
Imran Tahir,8.0,4,0.0,inf,200.0
Imrul Kayes,57.0,83,6.0,9.5,68.6746987952
Inzamam-ul-Haq,11.0,16,0.0,inf,68.75
Irfan Ahmed,59.0,66,6.0,9.83333333333,89.3939393939
Irfan Karim,14.0,28,2.0,7.0,50.0
Irfan Pathan,44.0,26,1.0,44.0,169.230769231
Irving Romaine,1.0,8,1.0,1.0,12.5
Ishant Sharma,5.0,2,0.0,inf,250.0
Isuru Udana,1.0,2,0.0,inf,50.0
Izatullah Dawlatzai,0.0,3,0.0,,0.0
Jack Vare,7.0,9,2.0,3.5,77.7777777778
Jacob Oram,277.0,178,11.0,25.1818181818,155.617977528
Jacques Kallis,312.0,274,8.0,39.0,113.868613139
Jacques Rudolph,6.0,7,0.0,inf,85.7142857143
Jade Dernbach,24.0,21,2.0,12.0,114.285714286
Jahurul Islam,29.0,22,2.0,14.5,131.818181818
James Anderson,1.0,1,0.0,inf,100.0
James Celestine,7.0,11,1.0,7.0,63.6363636364
James Faulkner,55.0,54,5.0,11.0,101.851851852
James Franklin,174.0,136,7.0,24.8571428571,127.941176471
James Hopes,48.0,43,2.0,24.0,111.627906977
James Muirhead,3.0,7,1.0,3.0,42.8571428571
James Neesham,51.0,38,4.0,12.75,134.210526316
James Ngoche,1.0,1,1.0,1.0,100.0
James Tredwell,31.0,19,2.0,15.5,163.157894737
Jamie Atkinson,133.0,124,7.0,19.0,107.258064516
Jamie Dalrymple,33.0,31,2.0,16.5,106.451612903
Jamie How,41.0,52,3.0,13.6666666667,78.8461538462
Jan Stander,29.0,27,4.0,7.25,107.407407407
Jason Gillespie,24.0,18,1.0,24.0,133.333333333
Jason Holder,2.0,4,1.0,2.0,50.0
Jatinder Singh,55.0,67,4.0,13.75,82.0895522388
Jean-Paul Duminy,656.0,563,16.0,41.0,116.518650089
Jeetan Patel,9.0,13,2.0,4.5,69.2307692308
Jeevan Mendis,29.0,35,3.0,9.66666666667,82.8571428571
Jeevantha Kulatunga,8.0,22,1.0,8.0,36.3636363636
Jeff Wilson,18.0,14,1.0,18.0,128.571428571
Jeffrey Vandersay,4.0,1,0.0,inf,400.0
Jehan Mubarak,29.0,30,2.0,14.5,96.6666666667
Jekon Edness,4.0,7,2.0,2.0,57.1428571429
Jeremy Bray,2.0,10,1.0,2.0,20.0
Jeremy Gordon,2.0,4,0.0,inf,50.0
Jeremy Snape,7.0,11,1.0,7.0,63.6363636364
Jeroen Smits,11.0,19,0.0,inf,57.8947368421
Jerome Taylor,43.0,38,4.0,10.75,113.157894737
Jesse Ryder,250.0,198,11.0,22.7272727273,126.262626263
Jimmy Hansra,73.0,74,4.0,18.25,98.6486486486
Jimmy Kamande,20.0,28,3.0,6.66666666667,71.4285714286
Joe Denly,15.0,18,2.0,7.5,83.3333333333
Joe Root,138.0,105,3.0,46.0,131.428571429
Johan Botha,118.0,96,6.0,19.6666666667,122.916666667
Johan van der Wath,2.0,6,1.0,2.0,33.3333333333
John Blain,0.0,1,1.0,0.0,0.0
John Davison,38.0,24,2.0,19.0,158.333333333
John Hastings,21.0,16,1.0,21.0,131.25
John Mooney,132.0,119,8.0,16.5,110.924369748
John Reva,9.0,12,2.0,4.5,75.0
Johnson Charles,46.0,46,5.0,9.2,100.0
Jon Lewis,1.0,5,1.0,1.0,20.0
Jonathan Trott,66.0,66,4.0,16.5,100.0
Jonny Bairstow,62.0,80,5.0,12.4,77.5
Jos Buttler,250.0,194,13.0,19.2307692308,128.865979381
Josh Davey,14.0,15,1.0,14.0,93.3333333333
Junaid Khan,3.0,4,0.0,inf,75.0
Junaid Siddique,70.0,44,3.0,23.3333333333,159.090909091
Junaid Siddiqui,27.0,24,3.0,9.0,112.5
Justin Kemp,152.0,100,0.0,inf,152.0
Justin Ontong,24.0,24,3.0,8.0,100.0
Kagiso Rabada,5.0,6,0.0,inf,83.3333333333
Kamran Akmal,285.0,244,15.0,19.0,116.803278689
Kane Richardson,9.0,7,1.0,9.0,128.571428571
Kane Williamson,562.0,436,11.0,51.0909090909,128.899082569
Karan KC,5.0,14,1.0,5.0,35.7142857143
Karim Sadiq,265.0,225,12.0,22.0833333333,117.777777778
Karun Jethi,4.0,17,2.0,2.0,23.5294117647
Kasun Rajitha,3.0,7,0.0,inf,42.8571428571
Kaushal Lokuarachchi,0.0,3,1.0,0.0,0.0
Kaushalya Weeraratne,12.0,10,1.0,12.0,120.0
Kedar Jadhav,5.0,6,0.0,inf,83.3333333333
Keith Dabengwa,8.0,11,2.0,4.0,72.7272727273
Kemar Roach,3.0,2,1.0,3.0,150.0
Kennedy Otieno,53.0,56,3.0,17.6666666667,94.6428571429
Kevin O'Brien,243.0,245,16.0,15.1875,99.1836734694
Kevin Pietersen,562.0,420,15.0,37.4666666667,133.80952381
Khalid Latif,9.0,25,3.0,3.0,36.0
Khawar Ali,44.0,51,3.0,14.6666666667,86.2745098039
Khurram Manzoor,0.0,2,1.0,0.0,0.0
Kieran Powell,12.0,14,1.0,12.0,85.7142857143
Kieron Pollard,231.0,190,13.0,17.7692307692,121.578947368
Kila Pala,41.0,31,1.0,41.0,132.258064516
Kinchit Shah,55.0,76,6.0,9.16666666667,72.3684210526
Kithuruwan Vithanage,1.0,4,1.0,1.0,25.0
Kumar Sangakkara,674.0,605,14.0,48.1428571429,111.404958678
Kusal Perera,179.0,152,10.0,17.9,117.763157895
Kyle Abbott,19.0,16,1.0,19.0,118.75
Kyle Coetzer,440.0,380,20.0,22.0,115.789473684
Kyle Jarvis,0.0,6,3.0,0.0,0.0
Kyle McCallan,2.0,8,2.0,1.0,25.0
Kyle Mills,61.0,65,5.0,12.2,93.8461538462
Lahiru Thirimanne,102.0,101,8.0,12.75,100.99009901
Lameck Onyango,4.0,4,0.0,inf,100.0
Lasith Malinga,13.0,37,6.0,2.16666666667,35.1351351351
Lega Siaka,16.0,17,3.0,5.33333333333,94.1176470588
Lendl Simmons,420.0,370,13.0,32.3076923077,113.513513514
Liton Das,49.0,47,4.0,12.25,104.255319149
Loa Nou,2.0,4,0.0,inf,50.0
Logan van Beek,2.0,8,1.0,2.0,25.0
Lonwabo Tsotsobe,1.0,8,1.0,1.0,12.5
Loots Bosman,165.0,120,5.0,33.0,137.5
Lou Vincent,69.0,63,3.0,23.0,109.523809524
Luke Jongwe,60.0,59,5.0,12.0,101.694915254
Luke Ronchi,75.0,57,5.0,15.0,131.578947368
Luke Wright,291.0,230,20.0,14.55,126.52173913
MS Dhoni,418.0,341,7.0,59.7142857143,122.580645161
Mahela Jayawardene,518.0,441,20.0,25.9,117.46031746
Mahela Udawatte,61.0,46,4.0,15.25,132.608695652
Mahmudullah,340.0,309,18.0,18.8888888889,110.03236246
Mahuru Dai,13.0,27,2.0,6.5,48.1481481481
Majid Haq,40.0,67,3.0,13.3333333333,59.7014925373
Makhaya Ntini,5.0,5,1.0,5.0,100.0
Malcolm Waller,181.0,141,8.0,22.625,128.368794326
Malinga Bandara,11.0,13,1.0,11.0,84.6153846154
Manish Pandey,0.0,3,1.0,0.0,0.0
Manny Aulakh,0.0,2,1.0,0.0,0.0
Marcus Stoinis,10.0,9,1.0,10.0,111.111111111
Marcus Trescothick,72.0,60,1.0,72.0,120.0
Mark Boucher,167.0,177,9.0,18.5555555556,94.3502824859
Mark Chapman,205.0,168,10.0,20.5,122.023809524
Mark Gillespie,4.0,7,1.0,4.0,57.1428571429
Mark Jonkman,1.0,8,1.0,1.0,12.5
Mark Watt,5.0,6,2.0,2.5,83.3333333333
Marlon Samuels,219.0,225,10.0,21.9,97.3333333333
Martin Guptill,882.0,720,23.0,38.347826087,122.5
Mashrafe Mortaza,213.0,159,14.0,15.2142857143,133.962264151
Mathew Sinclair,0.0,5,2.0,0.0,0.0
Matt Henry,10.0,6,1.0,10.0,166.666666667
Matt Machan,157.0,125,3.0,52.3333333333,125.6
Matt Prior,89.0,73,3.0,29.6666666667,121.917808219
Matthew Cross,235.0,154,8.0,29.375,152.597402597
Matthew Hayden,266.0,183,2.0,133.0,145.355191257
Matthew Wade,65.0,74,8.0,8.125,87.8378378378
Max O'Dowd,26.0,28,2.0,13.0,92.8571428571
Max Sorensen,24.0,36,3.0,8.0,66.6666666667
Mehrab Hossain jnr,6.0,8,0.0,inf,75.0
Mehran Khan,12.0,19,1.0,12.0,63.1578947368
Michael Carberry,7.0,9,1.0,7.0,77.7777777778
Michael Clarke,257.0,243,8.0,32.125,105.761316872
Michael Hussey,421.0,318,9.0,46.7777777778,132.389937107
Michael Kasprowicz,3.0,6,0.0,inf,50.0
Michael Leask,30.0,28,5.0,6.0,107.142857143
Michael Lumb,314.0,239,13.0,24.1538461538,131.380753138
Michael Rippon,27.0,28,2.0,13.5,96.4285714286
Michael Swart,243.0,240,10.0,24.3,101.25
Michael Vaughan,27.0,21,1.0,27.0,128.571428571
Michael Yardy,64.0,53,2.0,32.0,120.754716981
Milinda Siriwardana,144.0,101,4.0,36.0,142.574257426
Mirwais Ashraf,55.0,63,5.0,11.0,87.3015873016
Misbah-ul-Haq,418.0,411,12.0,34.8333333333,101.703163017
Mitchell Johnson,45.0,44,4.0,11.25,102.272727273
Mitchell Marsh,15.0,14,1.0,15.0,107.142857143
Mitchell McClenaghan,7.0,9,1.0,7.0,77.7777777778
Mitchell Santner,9.0,17,2.0,4.5,52.9411764706
Mitchell Starc,8.0,14,1.0,8.0,57.1428571429
Moeen Ali,13.0,18,3.0,4.33333333333,72.2222222222
Mohammad Amir,3.0,10,1.0,3.0,30.0
Mohammad Ashraful,338.0,255,13.0,26.0,132.549019608
Mohammad Asif,9.0,3,0.0,inf,300.0
Mohammad Hafeez,675.0,596,37.0,18.2432432432,113.255033557
Mohammad Iqbal,5.0,14,2.0,2.5,35.7142857143
Mohammad Irfan,3.0,5,0.0,inf,60.0
Mohammad Mithun,1.0,4,2.0,0.5,25.0
Mohammad Nabi,220.0,175,13.0,16.9230769231,125.714285714
Mohammad Nadeem,6.0,3,1.0,6.0,200.0
Mohammad Naveed,31.0,39,3.0,10.3333333333,79.4871794872
Mohammad Qazi,0.0,1,1.0,0.0,0.0
Mohammad Rizwan,57.0,62,5.0,11.4,91.935483871
Mohammad Salman,5.0,6,1.0,5.0,83.3333333333
Mohammad Sami,9.0,12,0.0,inf,75.0
Mohammad Shahzad,556.0,438,22.0,25.2727272727,126.940639269
Mohammad Yousuf,20.0,20,1.0,20.0,100.0
Mohit Sharma,3.0,3,0.0,inf,100.0
Mominul Haque,51.0,44,2.0,25.5,115.909090909
Monde Zondeki,0.0,1,1.0,0.0,0.0
Moneeb Iqbal,3.0,7,1.0,3.0,42.8571428571
Monty Panesar,1.0,2,1.0,1.0,50.0
Morne Morkel,8.0,8,2.0,4.0,100.0
Morne van Wyk,89.0,68,4.0,22.25,130.882352941
Morris Ouma,37.0,58,7.0,5.28571428571,63.7931034483
Mosaddek Hossain,15.0,20,1.0,15.0,75.0
Mudassar Bukhari,44.0,44,8.0,5.5,100.0
Muhammad Kaleem,11.0,24,3.0,3.66666666667,45.8333333333
Muhammad Usman,77.0,81,3.0,25.6666666667,95.0617283951
Mukhtar Ahmed,149.0,94,3.0,49.6666666667,158.510638298
