batsman_name,runs_batter,balls,wicket,strike_rate,average
Nawroz Mangal,86.0,86,5.0,100.0,17.2
Nazimuddin,11.0,16,1.0,68.75,11.0
Nehemiah Odhiambo,65.0,65,4.0,100.0,16.25
Neil Broom,6.0,6,1.0,100.0,6.0
Neil McCallum,3.0,5,0.0,60.0,inf
Niall O'Brien,73.0,89,3.0,82.0224719101,24.3333333333
Nic Maddinson,34.0,16,1.0,212.5,34.0
Niroshan Dickwella,1.0,2,1.0,50.0,1.0
Nitish Kumar,16.0,12,0.0,133.333333333,inf
Nizakat Khan,27.0,21,2.0,128.571428571,13.5
Nkrumah Bonner,2.0,12,0.0,16.6666666667,inf
Noor Ali Zadran,74.0,81,0.0,91.3580246914,inf
Oliver Pitcher,15.0,24,0.0,62.5,inf
Oronde Bascome,2.0,6,1.0,33.3333333333,2.0
Owais Shah,2.0,8,0.0,25.0,inf
Paras Khadka,11.0,25,2.0,44.0,5.5
Parthiv Patel,35.0,31,1.0,112.903225806,35.0
Paul Collingwood,11.0,12,0.0,91.6666666667,inf
Paul Stirling,102.0,92,9.0,110.869565217,11.3333333333
Peter Borren,26.0,35,1.0,74.2857142857,26.0
Peter Fulton,24.0,32,2.0,75.0,12.0
Peter Ingram,2.0,13,2.0,15.3846153846,1.0
Phil Mustard,53.0,30,1.0,176.666666667,53.0
Pradeep Airee,13.0,19,2.0,68.4210526316,6.5
Preston Mommsen,2.0,4,0.0,50.0,inf
Quinton de Kock,222.0,195,8.0,113.846153846,27.75
Raees Ahmadzai,4.0,1,0.0,400.0,inf
Rahil Ahmed,19.0,31,0.0,61.2903225806,inf
Rahul Dravid,2.0,5,0.0,40.0,inf
Rakep Patel,12.0,10,0.0,120.0,inf
Rameez Raja,1.0,2,1.0,50.0,1.0
Ramnaresh Sarwan,8.0,15,0.0,53.3333333333,inf
Ravi Bopara,85.0,87,5.0,97.7011494253,17.0
Reeza Hendricks,72.0,61,1.0,118.032786885,72.0
Regis Chakabva,0.0,3,1.0,0.0,0.0
Richard Levi,60.0,55,6.0,109.090909091,10.0
Richie Berrington,114.0,99,5.0,115.151515152,22.8
Richmond Mutumbami,23.0,22,0.0,104.545454545,inf
Ricky Ponting,106.0,87,4.0,121.83908046,26.5
Rilee Rossouw,28.0,21,2.0,133.333333333,14.0
Rizwan Cheema,102.0,82,4.0,124.390243902,25.5
Rob Nicol,45.0,56,4.0,80.3571428571,11.25
Robin Peterson,9.0,14,0.0,64.2857142857,inf
Robin Uthappa,31.0,45,2.0,68.8888888889,15.5
Rohan Mustafa,66.0,61,3.0,108.196721311,22.0
Rohit Sharma,231.0,181,4.0,127.624309392,57.75
Ross Taylor,66.0,65,3.0,101.538461538,22.0
Runako Morton,1.0,6,1.0,16.6666666667,1.0
Ruvindu Gunasekera,36.0,51,1.0,70.5882352941,36.0
Ryan Watson,89.0,63,4.0,141.26984127,22.25
Saad Nasim,3.0,7,0.0,42.8571428571,inf
Sabbir Rahman,38.0,28,1.0,135.714285714,38.0
Sagar Pun,65.0,76,4.0,85.5263157895,16.25
Salman Butt,200.0,195,4.0,102.564102564,50.0
Samiullah Shenwari,2.0,5,0.0,40.0,inf
Sanath Jayasuriya,283.0,232,9.0,121.982758621,31.4444444444
Sarfraz Ahmed,6.0,7,0.0,85.7142857143,inf
Scott Styris,12.0,11,0.0,109.090909091,inf
Sean Williams,50.0,32,0.0,156.25,inf
Seekkuge Prasanna,8.0,5,0.0,160.0,inf
Sese Bau,6.0,15,0.0,40.0,inf
Shabir Noori,12.0,12,0.0,100.0,inf
Shafiqullah,26.0,26,3.0,100.0,8.66666666667
Shahid Afridi,76.0,71,4.0,107.042253521,19.0
Shahzaib Hasan,58.0,71,6.0,81.6901408451,9.66666666667
Shaiman Anwar,29.0,33,1.0,87.8787878788,29.0
Shakib Al Hasan,148.0,113,5.0,130.973451327,29.6
Shamsur Rahman,3.0,7,3.0,42.8571428571,1.0
Shane Watson,268.0,221,8.0,121.266968326,33.5
Sharjeel Khan,17.0,14,2.0,121.428571429,8.5
Shaun Marsh,59.0,67,2.0,88.0597014925,29.5
Shaun Pollock,2.0,5,0.0,40.0,inf
Shehan Jayasuriya,18.0,23,2.0,78.2608695652,9.0
Shikhar Dhawan,103.0,93,6.0,110.752688172,17.1666666667
Shivnarine Chanderpaul,84.0,78,2.0,107.692307692,42.0
Shoaib Khan,9.0,16,2.0,56.25,4.5
Shoaib Malik,48.0,62,2.0,77.4193548387,24.0
Sikandar Raza,76.0,54,4.0,140.740740741,19.0
Simon Katich,2.0,2,0.0,100.0,inf
Sohaib Maqsood,20.0,37,3.0,54.0540540541,6.66666666667
Soumya Sarkar,42.0,38,2.0,110.526315789,21.0
Stephan Myburgh,161.0,179,8.0,89.9441340782,20.125
Stephen Fleming,37.0,21,0.0,176.19047619,inf
Steve Tikolo,70.0,63,3.0,111.111111111,23.3333333333
Steven Davies,22.0,16,0.0,137.5,inf
Steven Outerbridge,4.0,12,0.0,33.3333333333,inf
Stuart Matsikenyeri,25.0,25,2.0,100.0,12.5
Stuart Poynter,42.0,42,3.0,100.0,14.0
Subash Khakurel,50.0,64,3.0,78.125,16.6666666667
Suresh Raina,98.0,97,2.0,101.030927835,49.0
Swapnil Patil,41.0,43,1.0,95.3488372093,41.0
Tamim Iqbal,192.0,208,10.0,92.3076923077,19.2
Tanmay Mishra,35.0,60,3.0,58.3333333333,11.6666666667
Tanwir Afzal,3.0,7,0.0,42.8571428571,inf
Tatenda Taibu,39.0,43,3.0,90.6976744186,13.0
Thisara Perera,6.0,7,0.0,85.7142857143,inf
Thomas Odoyo,12.0,15,0.0,80.0,inf
Tillakaratne Dilshan,463.0,420,18.0,110.238095238,25.7222222222
Tim Gruijters,1.0,3,0.0,33.3333333333,inf
Tim Paine,16.0,8,0.0,200.0,inf
Tobias Visee,9.0,15,2.0,60.0,4.5
Tom Cooper,48.0,52,2.0,92.3076923077,24.0
Tom Latham,5.0,10,0.0,50.0,inf
Tony Ura,5.0,13,1.0,38.4615384615,5.0
Travis Birt,7.0,7,0.0,100.0,inf
Travis Dowlin,18.0,18,0.0,100.0,inf
Umar Akmal,29.0,43,0.0,67.4418604651,inf
Umar Amin,15.0,20,1.0,75.0,15.0
Upul Tharanga,78.0,72,4.0,108.333333333,19.5
Usman Ghani,75.0,72,2.0,104.166666667,37.5
Usman Khawaja,14.0,6,1.0,233.333333333,14.0
Usman Mushtaq,4.0,6,0.0,66.6666666667,inf
Vaibhav Wategaonkar,4.0,5,0.0,80.0,inf
Vani Morea,21.0,31,0.0,67.7419354839,inf
Vernon Philander,1.0,2,0.0,50.0,inf
Virat Kohli,224.0,190,4.0,117.894736842,56.0
Virender Sehwag,115.0,102,7.0,112.745098039,16.4285714286
Vusi Sibanda,97.0,87,5.0,111.494252874,19.4
Waqas Barkat,15.0,19,1.0,78.9473684211,15.0
Wesley Barresi,89.0,87,5.0,102.298850575,17.8
William Porterfield,198.0,183,12.0,108.196721311,16.5
Younis Khan,41.0,39,0.0,105.128205128,inf
Yusuf Pathan,15.0,8,1.0,187.5,15.0
Yuvraj Singh,38.0,41,1.0,92.6829268293,38.0
Zeeshan Maqsood,85.0,70,2.0,121.428571429,42.5
Zeeshan Siddiqui,12.0,11,0.0,109.090909091,inf
