,bowler_name,year,runs_conceded,balls_bowled,wickets_taken,num_dots,num_spells,team,average,wickets_per_spell,strike_rate,economy_rate,prop_dot
752,Rangana Herath,11-13,120.0,109,7.0,45,6,Sri Lanka,17.1428571429,1.16666666667,15.5714285714,6.60550458716,41.2844036697
753,Rangana Herath,14-16,151.0,163,11.0,71,7,Sri Lanka,13.7272727273,1.57142857143,14.8181818182,5.55828220859,43.5582822086
754,Rashid Khan,14-16,213.0,188,11.0,74,8,Afghanistan,19.3636363636,1.375,17.0909090909,6.79787234043,39.3617021277
755,Ravi Bopara,11-13,205.0,177,10.0,74,12,England,20.5,0.833333333333,17.7,6.94915254237,41.8079096045
756,Ravi Bopara,14-16,161.0,160,7.0,60,9,England,23.0,0.777777777778,22.8571428571,6.0375,37.5
757,Ravi Rampaul,05-07,141.0,103,5.0,45,4,West Indies,28.2,1.25,20.6,8.21359223301,43.6893203883
758,Ravi Rampaul,08-10,112.0,94,4.0,47,4,West Indies,28.0,1.0,23.5,7.14893617021,50.0
759,Ravi Rampaul,11-13,285.0,232,15.0,101,10,West Indies,19.0,1.5,15.4666666667,7.37068965517,43.5344827586
760,Ravi Rampaul,14-16,105.0,82,4.0,30,4,West Indies,26.25,1.0,20.5,7.68292682927,36.5853658537
761,Ravichandran Ashwin,08-10,68.0,50,2.0,16,2,India,34.0,1.0,25.0,8.16,32.0
762,Ravichandran Ashwin,11-13,483.0,405,13.0,162,17,India,37.1538461538,0.764705882353,31.1538461538,7.15555555556,40.0
763,Ravichandran Ashwin,14-16,400.0,448,37.0,218,19,India,10.8108108108,1.94736842105,12.1081081081,5.35714285714,48.6607142857
764,Ravindra Jadeja,08-10,226.0,190,4.0,79,9,India,56.5,0.444444444444,47.5,7.13684210526,41.5789473684
765,Ravindra Jadeja,11-13,118.0,115,3.0,50,6,India,39.3333333333,0.5,38.3333333333,6.15652173913,43.4782608696
766,Ravindra Jadeja,14-16,390.0,358,20.0,155,17,India,19.5,1.17647058824,17.9,6.53631284916,43.2960893855
767,Rawl Lewis,08-10,9.0,6,0.0,2,1,West Indies,inf,0.0,inf,9.0,33.3333333333
768,Ray Price,08-10,152.0,228,11.0,137,9,Zimbabwe,13.8181818182,1.22222222222,20.7272727273,4.0,60.0877192982
769,Ray Price,11-13,197.0,169,3.0,64,7,Zimbabwe,65.6666666667,0.428571428571,56.3333333333,6.99408284024,37.8698224852
770,Raza Hasan,11-13,148.0,160,7.0,78,7,Pakistan,21.1428571429,1.0,22.8571428571,5.55,48.75
771,Raza Hasan,14-16,64.0,73,4.0,38,3,Pakistan,16.0,1.33333333333,18.25,5.2602739726,52.0547945205
772,Raza-ur-Rehman,11-13,58.0,54,2.0,21,3,Canada,29.0,0.666666666667,27.0,6.44444444444,38.8888888889
773,Reece Topley,14-16,113.0,83,4.0,35,4,England,28.25,1.0,20.75,8.1686746988,42.1686746988
774,Regan West,08-10,137.0,119,3.0,39,5,Ireland,45.6666666667,0.6,39.6666666667,6.90756302521,32.7731092437
775,Richie Berrington,08-10,102.0,113,5.0,46,7,Scotland,20.4,0.714285714286,22.6,5.41592920354,40.7079646018
776,Richie Berrington,11-13,76.0,51,4.0,24,4,Scotland,19.0,1.0,12.75,8.94117647059,47.0588235294
777,Richie Berrington,14-16,110.0,94,5.0,38,7,Scotland,22.0,0.714285714286,18.8,7.02127659574,40.4255319149
778,Rizwan Cheema,08-10,172.0,148,5.0,49,7,Canada,34.4,0.714285714286,29.6,6.97297297297,33.1081081081
779,Rizwan Cheema,11-13,190.0,151,4.0,47,8,Canada,47.5,0.5,37.75,7.54966887417,31.1258278146
780,Rob Nicol,08-10,8.0,10,0.0,5,1,New Zealand,inf,0.0,inf,4.8,50.0
781,Rob Nicol,11-13,152.0,119,6.0,44,12,New Zealand,25.3333333333,0.5,19.8333333333,7.66386554622,36.974789916
782,Rob Taylor,11-13,81.0,62,1.0,22,4,Scotland,81.0,0.25,62.0,7.83870967742,35.4838709677
783,Rob Taylor,14-16,101.0,78,4.0,32,4,Scotland,25.25,1.0,19.5,7.76923076923,41.0256410256
784,Robin Peterson,05-07,40.0,29,3.0,10,2,South Africa,13.3333333333,1.5,9.66666666667,8.27586206897,34.4827586207
785,Robin Peterson,08-10,82.0,60,6.0,22,3,South Africa,13.6666666667,2.0,10.0,8.2,36.6666666667
786,Robin Peterson,11-13,294.0,250,15.0,108,13,South Africa,19.6,1.15384615385,16.6666666667,7.056,43.2
787,Robin Peterson,14-16,27.0,25,3.0,12,1,South Africa,9.0,3.0,8.33333333333,6.48,48.0
788,Robiul Islam,11-13,13.0,6,0.0,1,1,Bangladesh,inf,0.0,inf,13.0,16.6666666667
789,Rodney Trott,08-10,42.0,40,0.0,13,2,Bermuda,inf,0.0,inf,6.3,32.5
790,Roelof van der Merwe,08-10,296.0,269,15.0,111,13,South Africa,19.7333333333,1.15384615385,17.9333333333,6.60223048327,41.2639405204
791,Roelof van der Merwe,14-16,129.0,121,9.0,51,5,South Africa,14.3333333333,1.8,13.4444444444,6.39669421488,42.1487603306
792,Roger Telemachus,05-07,84.0,78,3.0,36,3,South Africa,28.0,1.0,26.0,6.46153846154,46.1538461538
793,Rohan Mustafa,14-16,308.0,276,16.0,110,15,United Arab Emirates,19.25,1.06666666667,17.25,6.69565217391,39.8550724638
794,Rohit Sharma,08-10,37.0,30,1.0,7,2,India,37.0,0.5,30.0,7.4,23.3333333333
795,Rohit Sharma,11-13,75.0,39,0.0,5,7,India,inf,0.0,inf,11.5384615385,12.8205128205
796,Rokhan Barakzai,14-16,54.0,46,5.0,18,3,Afghanistan,10.8,1.66666666667,9.2,7.04347826087,39.1304347826
797,Ronnie Hira,11-13,327.0,262,9.0,92,13,New Zealand,36.3333333333,0.692307692308,29.1111111111,7.48854961832,35.1145038168
798,Rory Kleinveldt,08-10,61.0,33,3.0,13,2,South Africa,20.3333333333,1.5,11.0,11.0909090909,39.3939393939
799,Rory Kleinveldt,11-13,103.0,94,6.0,45,4,South Africa,17.1666666667,1.5,15.6666666667,6.57446808511,47.8723404255
800,Ross Lyons,08-10,40.0,36,2.0,14,2,Scotland,20.0,1.0,18.0,6.66666666667,38.8888888889
801,Rubel Hossain,08-10,87.0,68,2.0,33,3,Bangladesh,43.5,0.666666666667,34.0,7.67647058824,48.5294117647
802,Rubel Hossain,11-13,143.0,87,4.0,30,4,Bangladesh,35.75,1.0,21.75,9.86206896552,34.4827586207
803,Rubel Hossain,14-16,66.0,56,2.0,20,3,Bangladesh,33.0,0.666666666667,28.0,7.07142857143,35.7142857143
804,Ruchira Perera,05-07,71.0,46,0.0,21,2,Sri Lanka,inf,0.0,inf,9.26086956522,45.652173913
805,Rusty Theron,08-10,110.0,97,10.0,38,4,South Africa,11.0,2.5,9.7,6.80412371134,39.175257732
806,Rusty Theron,11-13,144.0,104,5.0,30,5,South Africa,28.8,1.0,20.8,8.30769230769,28.8461538462
807,Ryan Campbell,14-16,25.0,25,1.0,7,1,Hong Kong,25.0,1.0,25.0,6.0,28.0
808,Ryan Harris,08-10,93.0,72,4.0,30,3,Australia,23.25,1.33333333333,18.0,7.75,41.6666666667
809,Ryan McLaren,08-10,139.0,124,10.0,53,5,South Africa,13.9,2.0,12.4,6.72580645161,42.7419354839
810,Ryan McLaren,11-13,139.0,126,8.0,52,5,South Africa,17.375,1.6,15.75,6.61904761905,41.2698412698
811,Ryan McLaren,14-16,43.0,24,1.0,8,2,South Africa,43.0,0.5,24.0,10.75,33.3333333333
812,Ryan Sidebottom,05-07,67.0,48,5.0,22,2,England,13.4,2.5,9.6,8.375,45.8333333333
813,Ryan Sidebottom,08-10,316.0,300,20.0,141,14,England,15.8,1.42857142857,15.0,6.32,47.0
814,Ryan Watson,08-10,89.0,62,3.0,22,5,Scotland,29.6666666667,0.6,20.6666666667,8.61290322581,35.4838709677
815,Ryan ten Doeschate,08-10,232.0,210,14.0,83,8,Netherlands,16.5714285714,1.75,15.0,6.62857142857,39.5238095238
816,Saad Nasim,14-16,12.0,6,0.0,2,1,Pakistan,inf,0.0,inf,12.0,33.3333333333
817,Sabbir Rahman,14-16,53.0,50,4.0,23,6,Bangladesh,13.25,0.666666666667,12.5,6.36,46.0
818,Sachin Tendulkar,05-07,12.0,15,2.0,8,1,India,6.0,2.0,7.5,4.8,53.3333333333
819,Sachithra Senanayake,11-13,150.0,172,14.0,77,8,Sri Lanka,10.7142857143,1.75,12.2857142857,5.23255813953,44.7674418605
820,Sachithra Senanayake,14-16,302.0,273,12.0,122,13,Sri Lanka,25.1666666667,0.923076923077,22.75,6.63736263736,44.6886446886
821,Saeed Ajmal,08-10,649.0,634,43.0,270,28,Pakistan,15.0930232558,1.53571428571,14.7441860465,6.14195583596,42.5867507886
822,Saeed Ajmal,11-13,690.0,712,42.0,327,30,Pakistan,16.4285714286,1.4,16.9523809524,5.81460674157,45.9269662921
823,Saeed Ajmal,14-16,136.0,111,4.0,50,5,Pakistan,34.0,0.8,27.75,7.35135135135,45.045045045
824,Safyaan Sharif,11-13,147.0,110,5.0,46,7,Scotland,29.4,0.714285714286,22.0,8.01818181818,41.8181818182
825,Safyaan Sharif,14-16,290.0,244,19.0,101,11,Scotland,15.2631578947,1.72727272727,12.8421052632,7.13114754098,41.393442623
826,Sagar Pun,14-16,131.0,141,6.0,53,8,Nepal,21.8333333333,0.75,23.5,5.57446808511,37.5886524823
827,Sajedul Islam,11-13,14.0,7,0.0,1,1,Bangladesh,inf,0.0,inf,12.0,14.2857142857
828,Sajid Mahmood,05-07,57.0,48,0.0,25,2,England,inf,0.0,inf,7.125,52.0833333333
829,Sajid Mahmood,08-10,89.0,45,1.0,15,2,England,89.0,0.5,45.0,11.8666666667,33.3333333333
830,Samit Patel,11-13,319.0,254,8.0,96,15,England,39.875,0.533333333333,31.75,7.53543307087,37.7952755906
831,Samiullah Shenwari,08-10,114.0,137,4.0,60,8,Afghanistan,28.5,0.5,34.25,4.99270072993,43.795620438
832,Samiullah Shenwari,11-13,223.0,246,18.0,112,13,Afghanistan,12.3888888889,1.38461538462,13.6666666667,5.43902439024,45.5284552846
833,Samiullah Shenwari,14-16,158.0,132,5.0,52,8,Afghanistan,31.6,0.625,26.4,7.18181818182,39.3939393939
834,Samuel Badree,11-13,225.0,238,13.0,119,10,West Indies,17.3076923077,1.3,18.3076923077,5.67226890756,50.0
835,Samuel Badree,14-16,233.0,284,20.0,156,12,West Indies,11.65,1.66666666667,14.2,4.92253521127,54.9295774648
836,Sanath Jayasuriya,05-07,154.0,126,10.0,45,6,Sri Lanka,15.4,1.66666666667,12.6,7.33333333333,35.7142857143
837,Sanath Jayasuriya,08-10,274.0,233,8.0,80,17,Sri Lanka,34.25,0.470588235294,29.125,7.05579399142,34.3347639485
838,Sanath Jayasuriya,11-13,16.0,19,2.0,8,1,Sri Lanka,8.0,2.0,9.5,5.05263157895,42.1052631579
839,Sandeep Sharma,14-16,68.0,47,1.0,20,2,India,68.0,0.5,47.0,8.68085106383,42.5531914894
840,Sanjayan Thuraisingam,08-10,41.0,50,2.0,25,3,Canada,20.5,0.666666666667,25.0,4.92,50.0
841,Sayed Shirzad,14-16,70.0,70,7.0,34,3,Afghanistan,10.0,2.33333333333,10.0,6.0,48.5714285714
842,Scott Boland,14-16,62.0,44,0.0,14,2,Australia,inf,0.0,inf,8.45454545455,31.8181818182
843,Scott Borthwick,11-13,15.0,24,1.0,12,1,England,15.0,1.0,24.0,3.75,50.0
844,Scott Styris,05-07,125.0,102,6.0,34,7,New Zealand,20.8333333333,0.857142857143,17.0,7.35294117647,33.3333333333
845,Scott Styris,08-10,220.0,211,14.0,81,14,New Zealand,15.7142857143,1.0,15.0714285714,6.25592417062,38.3886255924
846,Sean Abbott,14-16,44.0,39,1.0,15,3,Australia,44.0,0.333333333333,39.0,6.76923076923,38.4615384615
847,Sean Williams,11-13,49.0,36,0.0,9,3,Zimbabwe,inf,0.0,inf,8.16666666667,25.0
848,Sean Williams,14-16,405.0,345,16.0,116,17,Zimbabwe,25.3125,0.941176470588,21.5625,7.04347826087,33.6231884058
849,Seekkuge Prasanna,11-13,39.0,20,2.0,8,1,Sri Lanka,19.5,2.0,10.0,11.7,40.0
850,Seekkuge Prasanna,14-16,55.0,55,1.0,17,5,Sri Lanka,55.0,0.2,55.0,6.0,30.9090909091
851,Sese Bau,14-16,11.0,6,0.0,2,1,Papua New Guinea,inf,0.0,inf,11.0,33.3333333333
852,Shabbir Ahmed,05-07,16.0,15,0.0,8,1,Pakistan,inf,0.0,inf,6.4,53.3333333333
853,Shadeep Silva,14-16,58.0,42,2.0,16,2,United Arab Emirates,29.0,1.0,21.0,8.28571428571,38.0952380952
854,Shafiul Islam,08-10,64.0,56,3.0,19,3,Bangladesh,21.3333333333,1.0,18.6666666667,6.85714285714,33.9285714286
855,Shafiul Islam,11-13,199.0,172,9.0,75,8,Bangladesh,22.1111111111,1.125,19.1111111111,6.94186046512,43.6046511628
856,Shahadat Hossain,08-10,120.0,74,2.0,28,4,Bangladesh,60.0,0.5,37.0,9.72972972973,37.8378378378
857,Shahadat Hossain,11-13,53.0,25,0.0,8,1,Bangladesh,inf,0.0,inf,12.72,32.0
858,Shahid Afridi,05-07,254.0,232,14.0,91,10,Pakistan,18.1428571429,1.4,16.5714285714,6.56896551724,39.224137931
859,Shahid Afridi,08-10,701.0,741,41.0,319,32,Pakistan,17.0975609756,1.28125,18.0731707317,5.67611336032,43.0499325236
860,Shahid Afridi,11-13,660.0,575,24.0,197,27,Pakistan,27.5,0.888888888889,23.9583333333,6.88695652174,34.2608695652
861,Shahid Afridi,14-16,582.0,539,21.0,217,23,Pakistan,27.7142857143,0.913043478261,25.6666666667,6.47866419295,40.2597402597
862,Shakib Al Hasan,05-07,111.0,103,5.0,39,5,Bangladesh,22.2,1.0,20.6,6.46601941748,37.8640776699
863,Shakib Al Hasan,08-10,178.0,171,9.0,62,8,Bangladesh,19.7777777778,1.125,19.0,6.24561403509,36.2573099415
864,Shakib Al Hasan,11-13,325.0,289,18.0,120,12,Bangladesh,18.0555555556,1.5,16.0555555556,6.74740484429,41.5224913495
865,Shakib Al Hasan,14-16,491.0,465,20.0,189,21,Bangladesh,24.55,0.952380952381,23.25,6.33548387097,40.6451612903
866,Shakti Gauchan,14-16,168.0,181,10.0,93,8,Nepal,16.8,1.25,18.1,5.56906077348,51.3812154696
867,Shaminda Eranga,11-13,63.0,52,2.0,23,2,Sri Lanka,31.5,1.0,26.0,7.26923076923,44.2307692308
868,Shane Bond,05-07,234.0,216,13.0,114,9,New Zealand,18.0,1.44444444444,16.6153846154,6.5,52.7777777778
869,Shane Bond,08-10,293.0,264,13.0,128,11,New Zealand,22.5384615385,1.18181818182,20.3076923077,6.65909090909,48.4848484848
870,Shane Harwood,05-07,43.0,25,2.0,9,1,Australia,21.5,2.0,12.5,10.32,36.0
871,Shane Harwood,08-10,67.0,50,2.0,20,2,Australia,33.5,1.0,25.0,8.04,40.0
872,Shane Watson,05-07,52.0,40,2.0,13,2,Australia,26.0,1.0,20.0,7.8,32.5
