batsman_name,runs_batter,balls,wicket,average,strike_rate
William Porterfield,264.0,258,16.0,16.5,102.325581395
Xavier Doherty,7.0,9,1.0,7.0,77.7777777778
Yamin Ahmadzai,1.0,1,0.0,inf,100.0
Yasir Arafat,38.0,28,3.0,12.6666666667,135.714285714
Yasir Shah,11.0,7,0.0,inf,157.142857143
Younis Khan,278.0,209,9.0,30.8888888889,133.014354067
Yusuf Pathan,122.0,88,9.0,13.5555555556,138.636363636
Yuvraj Singh,581.0,419,21.0,27.6666666667,138.663484487
Zeeshan Maqsood,142.0,113,4.0,35.5,125.663716814
Zeeshan Siddiqui,23.0,25,3.0,7.66666666667,92.0
Ziaur Rahman,77.0,43,3.0,25.6666666667,179.069767442
Zubin Surkari,4.0,10,1.0,4.0,40.0
Zulfiqar Babar,11.0,6,0.0,inf,183.333333333
Zulqarnain Haider,23.0,32,3.0,7.66666666667,71.875
