batsman_name,runs_batter,balls,wicket,strike_rate,average
Mahela Udawatte,5.0,7,1.0,71.4285714286,5.0
Mahmudullah,89.0,122,9.0,72.9508196721,9.88888888889
Mahuru Dai,32.0,43,2.0,74.4186046512,16.0
Majid Haq,2.0,4,0.0,50.0,inf
Malcolm Waller,180.0,112,2.0,160.714285714,90.0
Malinga Bandara,1.0,2,1.0,50.0,1.0
Manish Pandey,15.0,17,0.0,88.2352941176,inf
Manoj Tiwary,14.0,16,1.0,87.5,14.0
Marcus North,11.0,11,0.0,100.0,inf
Marcus Trescothick,51.0,42,2.0,121.428571429,25.5
Mark Boucher,55.0,63,3.0,87.3015873016,18.3333333333
Mark Chapman,95.0,81,3.0,117.283950617,31.6666666667
Marlon Samuels,426.0,356,13.0,119.662921348,32.7692307692
Martin Guptill,306.0,239,11.0,128.033472803,27.8181818182
Marvan Atapattu,2.0,3,1.0,66.6666666667,2.0
Mashrafe Mortaza,18.0,11,1.0,163.636363636,18.0
Matt Machan,104.0,99,2.0,105.050505051,52.0
Matthew Cross,18.0,24,3.0,75.0,6.0
Matthew Hayden,1.0,4,1.0,25.0,1.0
Matthew Wade,76.0,60,0.0,126.666666667,inf
Max Sorensen,9.0,7,0.0,128.571428571,inf
Mehrab Hossain jnr,9.0,16,0.0,56.25,inf
Mehran Khan,7.0,4,0.0,175.0,inf
Michael Clarke,83.0,88,8.0,94.3181818182,10.375
Michael Hussey,78.0,79,5.0,98.7341772152,15.6
Michael Leask,48.0,41,2.0,117.073170732,24.0
Michael Lumb,59.0,44,4.0,134.090909091,14.75
Michael Rippon,27.0,28,1.0,96.4285714286,27.0
Michael Swart,150.0,117,4.0,128.205128205,37.5
Michael Vaughan,0.0,1,1.0,0.0,0.0
Michael Yardy,2.0,2,0.0,100.0,inf
Milinda Siriwardana,35.0,31,2.0,112.903225806,17.5
Mirwais Ashraf,5.0,8,1.0,62.5,5.0
Misbah-ul-Haq,126.0,142,1.0,88.7323943662,126.0
Mitchell Johnson,0.0,2,0.0,0.0,
Mitchell Marsh,12.0,17,0.0,70.5882352941,inf
Moeen Ali,55.0,30,2.0,183.333333333,27.5
Mohammad Ashraful,32.0,37,4.0,86.4864864865,8.0
Mohammad Hafeez,434.0,362,21.0,119.889502762,20.6666666667
Mohammad Iqbal,9.0,12,1.0,75.0,9.0
Mohammad Mithun,23.0,20,1.0,115.0,23.0
Mohammad Nabi,135.0,113,4.0,119.469026549,33.75
Mohammad Naveed,7.0,8,0.0,87.5,inf
Mohammad Rizwan,21.0,23,0.0,91.3043478261,inf
Mohammad Sami,2.0,11,0.0,18.1818181818,inf
Mohammad Shahzad,303.0,237,6.0,127.848101266,50.5
Mohammad Tauqir,4.0,4,1.0,100.0,4.0
Mohammad Yousuf,0.0,2,1.0,0.0,0.0
Moises Henriques,5.0,5,0.0,100.0,inf
Mominul Haque,1.0,2,0.0,50.0,inf
Moneeb Iqbal,4.0,10,0.0,40.0,inf
Morne van Wyk,46.0,34,0.0,135.294117647,inf
Morris Ouma,16.0,17,5.0,94.1176470588,3.2
Mudassar Bukhari,23.0,41,4.0,56.0975609756,5.75
Muhammad Kaleem,33.0,35,2.0,94.2857142857,16.5
Muhammad Usman,29.0,25,1.0,116.0,29.0
Mukhtar Ahmed,21.0,19,1.0,110.526315789,21.0
Murali Vijay,2.0,3,1.0,66.6666666667,2.0
Mushfiqur Rahim,196.0,165,8.0,118.787878788,24.5
Nadif Chowdhury,12.0,10,1.0,120.0,12.0
Naeem Islam,18.0,23,2.0,78.2608695652,9.0
Najibullah Zadran,89.0,59,0.0,150.847457627,inf
Narsingh Deonarine,27.0,29,1.0,93.1034482759,27.0
Nasir Hossain,53.0,56,1.0,94.6428571429,53.0
Nasir Jamshed,128.0,89,4.0,143.820224719,32.0
Nathan Astle,6.0,6,0.0,100.0,inf
Nathan Hauritz,2.0,8,1.0,25.0,2.0
Nathan McCullum,32.0,45,1.0,71.1111111111,32.0
Nathan Reardon,4.0,8,1.0,50.0,4.0
Navdeep Poonia,17.0,18,0.0,94.4444444444,inf
Nawroz Mangal,109.0,105,9.0,103.80952381,12.1111111111
Nazimuddin,0.0,3,1.0,0.0,0.0
Nehemiah Odhiambo,46.0,43,3.0,106.976744186,15.3333333333
Neil McCallum,26.0,21,0.0,123.80952381,inf
Nelson Odhiambo,26.0,30,0.0,86.6666666667,inf
Niall O'Brien,104.0,87,5.0,119.540229885,20.8
Nigel Jones,14.0,14,0.0,100.0,inf
Nikita Miller,2.0,3,0.0,66.6666666667,inf
Nitish Kumar,18.0,25,2.0,72.0,9.0
Nizakat Khan,31.0,22,0.0,140.909090909,inf
Nkrumah Bonner,25.0,25,1.0,100.0,25.0
Noor Ali Zadran,125.0,139,5.0,89.928057554,25.0
Norman Vanua,6.0,11,1.0,54.5454545455,6.0
Nuwan Kulasekara,3.0,3,0.0,100.0,inf
Oliver Pitcher,13.0,24,2.0,54.1666666667,6.5
Owais Shah,147.0,147,5.0,100.0,29.4
Paras Khadka,68.0,78,2.0,87.1794871795,34.0
Parthiv Patel,1.0,2,1.0,50.0,1.0
Paul Collingwood,222.0,172,6.0,129.069767442,37.0
Paul Stirling,42.0,25,1.0,168.0,42.0
Peter Borren,176.0,156,6.0,112.820512821,29.3333333333
Peter Fulton,41.0,45,3.0,91.1111111111,13.6666666667
Peter McGlashan,8.0,8,1.0,100.0,8.0
Peter Nevill,4.0,5,1.0,80.0,4.0
Peter Ongondo,0.0,1,1.0,0.0,0.0
Phil Mustard,7.0,8,1.0,87.5,7.0
Pieter Seelaar,13.0,14,3.0,92.8571428571,4.33333333333
Pradeep Airee,16.0,10,1.0,160.0,16.0
Praveen Kumar,6.0,10,1.0,60.0,6.0
Preston Mommsen,58.0,55,3.0,105.454545455,19.3333333333
Prosper Utseya,5.0,16,1.0,31.25,5.0
Quinton de Kock,118.0,99,7.0,119.191919192,16.8571428571
Raees Ahmadzai,37.0,43,1.0,86.0465116279,37.0
Ragheb Aga,67.0,75,3.0,89.3333333333,22.3333333333
Rahil Ahmed,19.0,20,2.0,95.0,9.5
Rahul Dravid,29.0,16,1.0,181.25,29.0
Rajesh Bhudia,10.0,10,0.0,100.0,inf
Rajesh Pulami,25.0,72,2.0,34.7222222222,12.5
Rakep Patel,91.0,106,6.0,85.8490566038,15.1666666667
Rameez Raja,18.0,20,0.0,90.0,inf
Ramesh David,2.0,11,1.0,18.1818181818,2.0
Ramnaresh Sarwan,42.0,42,3.0,100.0,14.0
Raqibul Hasan,19.0,28,1.0,67.8571428571,19.0
Ravi Bopara,99.0,106,4.0,93.3962264151,24.75
Ravichandran Ashwin,25.0,22,0.0,113.636363636,inf
Ravindra Jadeja,9.0,18,2.0,50.0,4.5
Rawl Lewis,0.0,4,1.0,0.0,0.0
Ray Price,2.0,3,0.0,66.6666666667,inf
Reeza Hendricks,49.0,53,2.0,92.4528301887,24.5
Regan West,1.0,1,1.0,100.0,1.0
Reinhardt Strydom,1.0,3,1.0,33.3333333333,1.0
Richie Berrington,120.0,116,5.0,103.448275862,24.0
Richmond Mutumbami,72.0,52,2.0,138.461538462,36.0
Ricky Ponting,169.0,124,5.0,136.290322581,33.8
Rilee Rossouw,37.0,32,1.0,115.625,37.0
Rizwan Cheema,18.0,22,3.0,81.8181818182,6.0
Rob Nicol,59.0,43,2.0,137.209302326,29.5
Rob Taylor,7.0,8,0.0,87.5,inf
Robin Peterson,26.0,14,1.0,185.714285714,26.0
Robin Uthappa,103.0,81,3.0,127.160493827,34.3333333333
Rodney Trott,2.0,8,0.0,25.0,inf
