batsman_name,runs_batter,balls,wicket,strike_rate,average
Kyle Mills,75.0,56,3.0,133.928571429,25.0
Lahiru Thirimanne,51.0,36,2.0,141.666666667,25.5
Lameck Onyango,12.0,16,2.0,75.0,6.0
Lasith Malinga,53.0,42,3.0,126.19047619,17.6666666667
Lendl Simmons,48.0,34,3.0,141.176470588,16.0
Liam Plunkett,1.0,2,1.0,50.0,1.0
Lonwabo Tsotsobe,1.0,2,0.0,50.0,inf
Loots Bosman,8.0,5,1.0,160.0,8.0
Luke Jongwe,0.0,2,2.0,0.0,0.0
Luke Pomersbach,15.0,7,1.0,214.285714286,15.0
Luke Ronchi,121.0,88,5.0,137.5,24.2
Luke Wright,135.0,69,5.0,195.652173913,27.0
MS Dhoni,374.0,246,11.0,152.032520325,34.0
Mahela Jayawardene,199.0,127,5.0,156.692913386,39.8
Mahmudullah,122.0,77,5.0,158.441558442,24.4
Majid Haq,22.0,28,1.0,78.5714285714,22.0
Makhaya Ntini,5.0,6,1.0,83.3333333333,5.0
Malcolm Waller,109.0,66,6.0,165.151515152,18.1666666667
Manish Pandey,4.0,2,1.0,200.0,4.0
Manjula Guruge,3.0,8,1.0,37.5,3.0
Marcus North,9.0,10,1.0,90.0,9.0
Mark Boucher,45.0,46,4.0,97.8260869565,11.25
Mark Chapman,19.0,19,2.0,100.0,9.5
Mark Gillespie,17.0,25,2.0,68.0,8.5
Mark Watt,11.0,6,0.0,183.333333333,inf
Marlon Samuels,218.0,119,8.0,183.193277311,27.25
Martin Guptill,82.0,46,3.0,178.260869565,27.3333333333
Mashrafe Mortaza,68.0,50,5.0,136.0,13.6
Matt Machan,56.0,42,1.0,133.333333333,56.0
Matt Prior,1.0,2,1.0,50.0,1.0
Matthew Cross,1.0,2,1.0,50.0,1.0
Matthew Wade,52.0,36,3.0,144.444444444,17.3333333333
Max O'Dowd,9.0,13,1.0,69.2307692308,9.0
Max Sorensen,50.0,29,0.0,172.413793103,inf
Mehrab Hossain jnr,1.0,3,1.0,33.3333333333,1.0
Mehran Khan,41.0,29,2.0,141.379310345,20.5
Michael Clarke,25.0,17,1.0,147.058823529,25.0
Michael Hussey,197.0,116,5.0,169.827586207,39.4
Michael Leask,0.0,1,1.0,0.0,0.0
Michael Mason,2.0,2,1.0,100.0,2.0
Michael Rippon,42.0,39,2.0,107.692307692,21.0
Michael Swart,18.0,17,1.0,105.882352941,18.0
Michael Yardy,30.0,17,0.0,176.470588235,inf
Milinda Siriwardana,20.0,20,2.0,100.0,10.0
Mirwais Ashraf,59.0,42,5.0,140.476190476,11.8
Misbah-ul-Haq,223.0,168,7.0,132.738095238,31.8571428571
Mitchell Johnson,64.0,51,5.0,125.490196078,12.8
Mitchell Marsh,72.0,43,4.0,167.441860465,18.0
Mitchell McClenaghan,0.0,3,1.0,0.0,0.0
Mitchell Santner,2.0,4,0.0,50.0,inf
Mitchell Starc,4.0,6,1.0,66.6666666667,4.0
Moeen Ali,18.0,22,2.0,81.8181818182,9.0
Mohammad Amir,38.0,42,6.0,90.4761904762,6.33333333333
Mohammad Ashraful,2.0,5,1.0,40.0,2.0
Mohammad Hafeez,37.0,29,3.0,127.586206897,12.3333333333
Mohammad Irfan,1.0,3,0.0,33.3333333333,inf
Mohammad Nabi,155.0,100,9.0,155.0,17.2222222222
Mohammad Nadeem,7.0,9,1.0,77.7777777778,7.0
Mohammad Nasim Baras,1.0,2,0.0,50.0,inf
Mohammad Naveed,54.0,42,4.0,128.571428571,13.5
Mohammad Rizwan,28.0,25,2.0,112.0,14.0
Mohammad Sami,6.0,7,1.0,85.7142857143,6.0
Mohammad Shahzad,84.0,64,5.0,131.25,16.8
Mohammad Tauqir,0.0,2,0.0,0.0,
Mohit Sharma,0.0,5,0.0,0.0,
Moises Henriques,8.0,9,1.0,88.8888888889,8.0
Mominul Haque,8.0,7,1.0,114.285714286,8.0
Moneeb Iqbal,39.0,31,2.0,125.806451613,19.5
Morne Morkel,8.0,5,0.0,160.0,inf
Morne van Wyk,44.0,18,0.0,244.444444444,inf
Morris Ouma,23.0,21,1.0,109.523809524,23.0
Mudassar Bukhari,76.0,63,4.0,120.634920635,19.0
Muhammad Kaleem,0.0,1,1.0,0.0,0.0
Muhammad Usman,47.0,27,2.0,174.074074074,23.5
Munaf Patel,0.0,1,1.0,0.0,0.0
Munir Dar,3.0,7,0.0,42.8571428571,inf
Mushfiqur Rahim,23.0,31,3.0,74.1935483871,7.66666666667
Mustafizur Rahman,1.0,1,0.0,100.0,inf
Muttiah Muralitharan,0.0,1,1.0,0.0,0.0
Nadeem Ahmed,16.0,13,1.0,123.076923077,16.0
Naeem Islam,7.0,10,1.0,70.0,7.0
Najibullah Zadran,115.0,67,6.0,171.641791045,19.1666666667
Naresh Budayair,2.0,4,1.0,50.0,2.0
Narsingh Deonarine,25.0,21,1.0,119.047619048,25.0
Nasir Hossain,104.0,87,5.0,119.540229885,20.8
Nasir Jamshed,1.0,2,1.0,50.0,1.0
