,inning,batting_team,bowling_team,batsman,bowler,batsman_name,batting_order,bowler_name,bat_right_handed,ovr,runs_batter,runs_w_extras,extras,x,y,z,landing_x,landing_y,ended_x,ended_y,ball_speed,cumul_runs,cumul_wickets,cumul_balls,wicket,wicket_method,who_out
0,1,Australia,England,8291,10617,Cameron White,1,Stuart Broad,y,0.1,0.0,0.0,0.0,180.0,199.0,4.0,-0.42,8.25,-0.04,1.18,83.644,0.0,0,1,False,,
1,1,Australia,England,8291,10617,Cameron White,1,Stuart Broad,y,0.2,0.0,0.0,0.0,109.0,160.0,7.0,-0.53,7.40,-0.44,1.03,82.047,0.0,0,2,False,,
2,1,Australia,England,8291,10617,Cameron White,1,Stuart Broad,y,0.3,1.0,1.0,0.0,126.0,252.0,5.0,-0.42,5.69,-0.33,0.80,84.043,1.0,0,3,False,,
3,1,Australia,England,5334,10617,Aaron Finch,2,Stuart Broad,y,0.4,1.0,1.0,0.0,195.0,243.0,4.0,-0.20,5.63,-0.04,0.77,81.847,2.0,0,4,False,,
4,1,Australia,England,8291,10617,Cameron White,1,Stuart Broad,y,0.5,1.0,1.0,0.0,299.0,214.0,3.0,-0.24,7.80,0.19,1.09,83.843,3.0,0,5,False,,
5,1,Australia,England,5334,10617,Aaron Finch,2,Stuart Broad,y,0.6,0.0,0.0,0.0,119.0,192.0,6.0,-0.37,7.47,-0.14,1.01,87.237,3.0,0,6,False,,
6,1,Australia,England,8291,288992,Cameron White,1,Chris Jordan,y,1.1,0.0,1.0,1.0,0.0,0.0,0.0,-0.14,7.62,0.44,1.03,81.248,4.0,0,7,False,,
7,1,Australia,England,8291,288992,Cameron White,1,Chris Jordan,y,1.1,0.0,0.0,0.0,160.0,174.0,6.0,-0.67,6.94,-0.52,0.94,83.344,4.0,0,7,False,,
8,1,Australia,England,8291,288992,Cameron White,1,Chris Jordan,y,1.2,0.0,0.0,0.0,253.0,217.0,3.0,-0.26,7.05,0.22,0.95,84.941,4.0,0,8,False,,
9,1,Australia,England,8291,288992,Cameron White,1,Chris Jordan,y,1.3,2.0,2.0,0.0,305.0,83.0,2.0,-0.49,7.67,-0.22,1.07,85.840,6.0,0,9,False,,
10,1,Australia,England,8291,288992,Cameron White,1,Chris Jordan,y,1.4,1.0,1.0,0.0,240.0,51.0,1.0,-0.49,11.58,0.10,1.48,83.943,7.0,0,10,False,,
11,1,Australia,England,5334,288992,Aaron Finch,2,Chris Jordan,y,1.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.13,6.74,0.27,0.91,84.941,7.0,0,11,False,,
12,1,Australia,England,5334,288992,Aaron Finch,2,Chris Jordan,y,1.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.14,7.15,0.32,0.99,86.139,7.0,0,12,False,,
13,1,Australia,England,8291,10617,Cameron White,1,Stuart Broad,y,2.1,0.0,0.0,0.0,180.0,199.0,4.0,-0.33,7.42,-0.06,1.04,83.644,7.0,0,13,False,,
14,1,Australia,England,8291,10617,Cameron White,1,Stuart Broad,y,2.2,4.0,4.0,0.0,159.0,356.0,5.0,-0.42,7.62,-0.15,1.04,85.939,11.0,0,14,False,,
15,1,Australia,England,8291,10617,Cameron White,1,Stuart Broad,y,2.3,4.0,4.0,0.0,342.0,244.0,3.0,-0.46,8.56,-0.16,1.24,85.440,15.0,0,15,False,,
16,1,Australia,England,8291,10617,Cameron White,1,Stuart Broad,y,2.4,1.0,1.0,0.0,89.0,65.0,8.0,-0.34,5.51,-0.27,0.75,86.538,16.0,0,16,False,,
17,1,Australia,England,5334,10617,Aaron Finch,2,Stuart Broad,y,2.5,1.0,1.0,0.0,154.0,253.0,5.0,-0.12,7.85,0.35,1.07,83.644,17.0,0,17,False,,
18,1,Australia,England,8291,10617,Cameron White,1,Stuart Broad,y,2.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.16,8.50,0.17,1.23,83.344,17.0,0,18,False,,
19,1,Australia,England,5334,288992,Aaron Finch,2,Chris Jordan,y,3.1,4.0,4.0,0.0,354.0,209.0,3.0,-0.45,10.30,0.17,1.54,85.640,21.0,0,19,False,,
20,1,Australia,England,5334,288992,Aaron Finch,2,Chris Jordan,y,3.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.44,9.29,-0.03,1.64,86.438,21.0,0,20,False,,
21,1,Australia,England,5334,288992,Aaron Finch,2,Chris Jordan,y,3.3,1.0,1.0,0.0,309.0,188.0,3.0,-0.42,9.68,-0.01,1.62,84.043,22.0,0,21,False,,
22,1,Australia,England,8291,288992,Cameron White,1,Chris Jordan,y,3.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.20,7.97,0.53,1.10,86.538,22.0,0,22,False,,
23,1,Australia,England,8291,288992,Cameron White,1,Chris Jordan,y,3.5,0.0,1.0,1.0,0.0,0.0,0.0,0.47,3.45,0.87,0.46,87.137,23.0,0,23,False,,
24,1,Australia,England,5334,288992,Aaron Finch,2,Chris Jordan,y,3.6,1.0,1.0,0.0,303.0,126.0,2.0,-0.00,4.02,0.30,0.54,88.235,24.0,0,24,False,,
25,1,Australia,England,5334,9310,Aaron Finch,2,Tim Bresnan,y,4.1,0.0,0.0,0.0,206.0,210.0,4.0,-0.34,6.69,0.03,0.94,80.150,24.0,0,25,False,,
26,1,Australia,England,5334,9310,Aaron Finch,2,Tim Bresnan,y,4.2,1.0,1.0,0.0,257.0,211.0,3.0,-0.32,8.66,0.18,1.28,80.549,25.0,0,26,False,,
27,1,Australia,England,8291,9310,Cameron White,1,Tim Bresnan,y,4.3,0.0,0.0,0.0,0.0,0.0,0.0,-0.35,9.37,0.17,1.43,80.050,25.0,0,27,False,,
28,1,Australia,England,8291,9310,Cameron White,1,Tim Bresnan,y,4.4,0.0,0.0,0.0,206.0,221.0,4.0,-0.02,8.44,0.76,1.19,79.352,25.0,0,28,False,,
29,1,Australia,England,8291,9310,Cameron White,1,Tim Bresnan,y,4.5,1.0,1.0,0.0,145.0,193.0,6.0,-0.45,8.78,-0.04,1.31,83.145,26.0,0,29,False,,
30,1,Australia,England,5334,9310,Aaron Finch,2,Tim Bresnan,y,4.6,1.0,1.0,0.0,119.0,132.0,7.0,-0.41,7.79,-0.08,1.10,82.146,27.0,0,30,False,,
31,1,Australia,England,5334,311158,Aaron Finch,2,Ben Stokes,y,5.1,0.0,0.0,0.0,162.0,192.0,5.0,-0.06,7.49,0.37,1.04,81.248,27.0,0,31,False,,
32,1,Australia,England,5334,311158,Aaron Finch,2,Ben Stokes,y,5.2,6.0,6.0,0.0,347.0,38.0,2.0,-0.02,7.36,0.41,1.03,83.743,33.0,0,32,False,,
33,1,Australia,England,5334,311158,Aaron Finch,2,Ben Stokes,y,5.3,2.0,2.0,0.0,309.0,131.0,2.0,-0.18,8.24,0.48,1.14,83.743,35.0,0,33,False,,
34,1,Australia,England,5334,311158,Aaron Finch,2,Ben Stokes,y,5.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.29,5.87,-0.13,0.81,85.640,35.0,0,34,False,,
35,1,Australia,England,5334,311158,Aaron Finch,2,Ben Stokes,y,5.5,6.0,6.0,0.0,250.0,354.0,4.0,-0.18,5.07,-0.02,0.70,85.241,41.0,0,35,False,,
36,1,Australia,England,5334,311158,Aaron Finch,2,Ben Stokes,y,5.6,0.0,0.0,0.0,130.0,122.0,7.0,-0.65,7.68,-0.32,1.07,85.840,41.0,0,36,False,,
37,1,Australia,England,8291,9310,Cameron White,1,Tim Bresnan,y,6.1,1.0,1.0,0.0,130.0,42.0,8.0,-0.62,6.63,-0.57,0.97,74.361,42.0,0,37,False,,
38,1,Australia,England,5334,9310,Aaron Finch,2,Tim Bresnan,y,6.2,6.0,6.0,0.0,320.0,313.0,4.0,-0.61,5.60,-0.49,0.78,81.847,48.0,0,38,False,,
39,1,Australia,England,5334,9310,Aaron Finch,2,Tim Bresnan,y,6.3,0.0,0.0,0.0,211.0,210.0,4.0,-0.28,6.63,0.05,0.92,81.348,48.0,0,39,False,,
40,1,Australia,England,5334,9310,Aaron Finch,2,Tim Bresnan,y,6.4,0.0,0.0,0.0,213.0,225.0,4.0,-0.50,9.07,-0.29,1.08,81.348,48.0,1,40,True,caught,Aaron Finch
41,1,Australia,England,325026,9310,Glenn Maxwell,3,Tim Bresnan,y,6.5,1.0,1.0,0.0,294.0,128.0,2.0,-0.42,8.44,-0.11,1.20,83.045,49.0,1,41,False,,
42,1,Australia,England,8291,9310,Cameron White,1,Tim Bresnan,y,6.6,1.0,1.0,0.0,205.0,258.0,4.0,-0.28,6.25,-0.02,0.87,82.646,50.0,1,42,False,,
43,1,Australia,England,8291,311158,Cameron White,1,Ben Stokes,y,7.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.79,6.94,-0.73,0.95,86.938,50.0,1,43,False,,
44,1,Australia,England,8291,311158,Cameron White,1,Ben Stokes,y,7.2,1.0,1.0,0.0,303.0,218.0,3.0,0.02,3.19,0.31,0.43,83.344,51.0,1,44,False,,
45,1,Australia,England,325026,311158,Glenn Maxwell,3,Ben Stokes,y,7.3,0.0,0.0,0.0,0.0,0.0,0.0,-0.64,7.37,-0.54,1.00,85.241,51.0,1,45,False,,
46,1,Australia,England,325026,311158,Glenn Maxwell,3,Ben Stokes,y,7.4,0.0,1.0,1.0,0.0,0.0,0.0,-0.21,7.65,0.35,1.05,84.941,52.0,1,46,False,,
