,inning,batting_team,bowling_team,batsman,bowler,batsman_name,batting_order,bowler_name,bat_right_handed,ovr,runs_batter,runs_w_extras,extras,x,y,z,landing_x,landing_y,ended_x,ended_y,ball_speed,cumul_runs,cumul_wickets,cumul_balls,wicket,wicket_method,who_out
0,1,West Indies,New Zealand,53118,232364,Dwayne Smith,1,Tim Southee,y,0.1,1.0,1.0,0.0,64.0,163.0,7.0,-0.19,6.65,-0.23,0.73,81.079,1.0,0,1,False,,
1,1,West Indies,New Zealand,53116,232364,Lendl Simmons,2,Tim Southee,y,0.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.29,6.13,-0.37,0.88,82.420,1.0,0,2,False,,
2,1,West Indies,New Zealand,53116,232364,Lendl Simmons,2,Tim Southee,y,0.3,1.0,1.0,0.0,220.0,117.0,1.0,-0.05,7.77,0.26,0.87,-2.237,2.0,0,3,False,,
3,1,West Indies,New Zealand,53118,232364,Dwayne Smith,1,Tim Southee,y,0.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.37,5.95,-0.53,0.65,82.461,2.0,0,4,False,,
4,1,West Indies,New Zealand,53118,232364,Dwayne Smith,1,Tim Southee,y,0.5,4.0,4.0,0.0,218.0,5.0,1.0,0.04,6.68,0.35,0.81,80.465,6.0,0,5,False,,
5,1,West Indies,New Zealand,53118,232364,Dwayne Smith,1,Tim Southee,y,0.6,1.0,1.0,0.0,51.0,177.0,6.0,-0.08,5.90,0.02,0.64,-2.237,7.0,0,6,False,,
6,1,West Indies,New Zealand,53118,277912,Dwayne Smith,1,Trent Boult,y,1.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.27,8.35,-0.85,1.21,-2.237,7.0,0,7,False,,
7,1,West Indies,New Zealand,53118,277912,Dwayne Smith,1,Trent Boult,y,1.2,0.0,0.0,0.0,160.0,189.0,5.0,0.03,8.38,-0.17,1.10,-2.237,7.0,0,8,False,,
8,1,West Indies,New Zealand,53118,277912,Dwayne Smith,1,Trent Boult,y,1.3,0.0,0.0,0.0,129.0,176.0,6.0,-0.00,6.81,-0.30,0.68,-2.237,7.0,0,9,False,,
9,1,West Indies,New Zealand,53118,277912,Dwayne Smith,1,Trent Boult,y,1.4,0.0,0.0,0.0,123.0,169.0,6.0,0.07,8.12,-0.32,1.04,-2.237,7.0,0,10,False,,
10,1,West Indies,New Zealand,53118,277912,Dwayne Smith,1,Trent Boult,y,1.5,1.0,1.0,0.0,85.0,52.0,8.0,-0.15,7.86,-0.65,0.94,-2.237,8.0,0,11,False,,
11,1,West Indies,New Zealand,53116,277912,Lendl Simmons,2,Trent Boult,y,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.05,4.48,-0.04,0.48,-2.237,8.0,1,12,True,leg before wicket,Lendl Simmons
12,1,West Indies,New Zealand,53118,232364,Dwayne Smith,1,Tim Southee,y,2.1,0.0,0.0,0.0,182.0,190.0,4.0,-0.16,7.92,-0.02,1.11,-2.237,8.0,1,13,False,,
13,1,West Indies,New Zealand,53118,232364,Dwayne Smith,1,Tim Southee,y,2.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.34,7.89,-0.31,1.10,82.537,8.0,1,14,False,,
14,1,West Indies,New Zealand,53118,232364,Dwayne Smith,1,Tim Southee,y,2.3,1.0,1.0,0.0,300.0,192.0,3.0,-0.29,8.23,-0.14,1.15,84.210,9.0,1,15,False,,
15,1,West Indies,New Zealand,51862,232364,Andre Fletcher,3,Tim Southee,y,2.4,1.0,1.0,0.0,208.0,210.0,4.0,-0.21,7.13,-0.06,0.85,-2.237,10.0,1,16,False,,
16,1,West Indies,New Zealand,53118,232364,Dwayne Smith,1,Tim Southee,y,2.5,0.0,0.0,0.0,327.0,201.0,3.0,-0.46,8.60,-0.37,1.19,81.295,10.0,2,17,True,caught,Dwayne Smith
17,1,West Indies,New Zealand,51862,232364,Andre Fletcher,3,Tim Southee,y,2.6,0.0,0.0,0.0,169.0,182.0,5.0,-0.32,6.82,-0.17,0.78,78.807,10.0,2,18,False,,
18,1,West Indies,New Zealand,277472,277912,Darren Bravo,4,Trent Boult,n,3.1,1.0,1.0,0.0,92.0,84.0,7.0,0.22,8.46,-0.07,0.87,-2.237,11.0,2,19,False,,
19,1,West Indies,New Zealand,51862,277912,Andre Fletcher,3,Trent Boult,y,3.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.20,6.40,-0.66,0.80,-2.237,11.0,2,20,False,,
20,1,West Indies,New Zealand,51862,277912,Andre Fletcher,3,Trent Boult,y,3.3,0.0,0.0,0.0,217.0,118.0,1.0,-0.02,5.00,-0.27,0.43,-2.237,11.0,2,21,False,,
21,1,West Indies,New Zealand,51862,277912,Andre Fletcher,3,Trent Boult,y,3.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.08,7.32,-0.68,0.82,-2.237,11.0,2,22,False,,
22,1,West Indies,New Zealand,51862,277912,Andre Fletcher,3,Trent Boult,y,3.5,1.0,1.0,0.0,133.0,246.0,5.0,-0.36,3.81,-0.71,0.46,-2.237,12.0,2,23,False,,
23,1,West Indies,New Zealand,277472,277912,Darren Bravo,4,Trent Boult,n,3.6,6.0,6.0,0.0,247.0,16.0,1.0,0.59,11.20,0.57,1.81,-2.237,18.0,2,24,False,,
24,1,West Indies,New Zealand,51862,355269,Andre Fletcher,3,James Neesham,y,4.1,1.0,1.0,0.0,218.0,121.0,1.0,-0.09,8.66,0.49,1.26,73.405,19.0,2,25,False,,
25,1,West Indies,New Zealand,277472,355269,Darren Bravo,4,James Neesham,n,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.40,7.32,1.13,0.77,73.598,19.0,2,26,False,,
26,1,West Indies,New Zealand,277472,355269,Darren Bravo,4,James Neesham,n,4.3,1.0,1.0,0.0,265.0,199.0,3.0,0.15,5.80,0.50,0.59,79.263,20.0,2,27,False,,
27,1,West Indies,New Zealand,51862,355269,Andre Fletcher,3,James Neesham,y,4.4,0.0,1.0,1.0,224.0,125.0,2.0,-0.19,7.55,0.29,0.94,81.772,21.0,2,28,False,,
28,1,West Indies,New Zealand,277472,355269,Darren Bravo,4,James Neesham,n,4.5,1.0,1.0,0.0,55.0,200.0,6.0,-0.18,9.18,0.23,1.20,-2.237,22.0,2,29,False,,
29,1,West Indies,New Zealand,51862,355269,Andre Fletcher,3,James Neesham,y,4.6,0.0,0.0,0.0,141.0,191.0,6.0,-0.48,6.08,-0.27,0.61,-2.237,22.0,2,30,False,,
30,1,West Indies,New Zealand,277472,277912,Darren Bravo,4,Trent Boult,n,5.1,0.0,1.0,1.0,0.0,0.0,0.0,0.02,6.33,-0.31,0.73,86.141,23.0,2,31,False,,
31,1,West Indies,New Zealand,277472,277912,Darren Bravo,4,Trent Boult,n,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.43,8.18,0.14,1.04,83.772,23.0,2,31,False,,
