,inning,batting_team,bowling_team,batsman,bowler,batsman_name,bowler_name,ovr,runs_batter,runs_w_extras,extras,x,y,z,cumul_runs,wicket,wicket_method,who_out
0,1,Afghanistan,Canada,319758,212175,Karim Sadiq,Henry Osinde,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,
1,1,Afghanistan,Canada,319758,212175,Karim Sadiq,Henry Osinde,0.2,4.0,4.0,0.0,0.0,0.0,0.0,4.0,False,,
2,1,Afghanistan,Canada,319758,212175,Karim Sadiq,Henry Osinde,0.3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,False,,
3,1,Afghanistan,Canada,319758,212175,Karim Sadiq,Henry Osinde,0.4,1.0,1.0,0.0,0.0,0.0,0.0,5.0,False,,
4,1,Afghanistan,Canada,307653,212175,Shabir Noori,Henry Osinde,0.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,False,,
5,1,Afghanistan,Canada,307653,212175,Shabir Noori,Henry Osinde,0.6,0.0,0.0,0.0,0.0,0.0,0.0,5.0,False,,
6,1,Afghanistan,Canada,319758,494847,Karim Sadiq,Junaid Siddiqui,1.1,4.0,4.0,0.0,0.0,0.0,0.0,9.0,False,,
7,1,Afghanistan,Canada,319758,494847,Karim Sadiq,Junaid Siddiqui,1.2,0.0,0.0,0.0,0.0,0.0,0.0,9.0,False,,
8,1,Afghanistan,Canada,319758,494847,Karim Sadiq,Junaid Siddiqui,1.3,4.0,4.0,0.0,0.0,0.0,0.0,13.0,False,,
9,1,Afghanistan,Canada,319758,494847,Karim Sadiq,Junaid Siddiqui,1.4,0.0,1.0,1.0,0.0,0.0,0.0,14.0,False,,
10,1,Afghanistan,Canada,319758,494847,Karim Sadiq,Junaid Siddiqui,1.4,4.0,4.0,0.0,0.0,0.0,0.0,18.0,False,,
11,1,Afghanistan,Canada,319758,494847,Karim Sadiq,Junaid Siddiqui,1.5,1.0,1.0,0.0,0.0,0.0,0.0,19.0,False,,
12,1,Afghanistan,Canada,307653,494847,Shabir Noori,Junaid Siddiqui,1.6,0.0,0.0,0.0,0.0,0.0,0.0,19.0,False,,
13,1,Afghanistan,Canada,319758,212175,Karim Sadiq,Henry Osinde,2.1,0.0,0.0,0.0,0.0,0.0,0.0,19.0,False,,
14,1,Afghanistan,Canada,319758,212175,Karim Sadiq,Henry Osinde,2.2,1.0,1.0,0.0,0.0,0.0,0.0,20.0,False,,
15,1,Afghanistan,Canada,307653,212175,Shabir Noori,Henry Osinde,2.3,0.0,0.0,0.0,0.0,0.0,0.0,20.0,False,,
16,1,Afghanistan,Canada,307653,212175,Shabir Noori,Henry Osinde,2.4,0.0,0.0,0.0,0.0,0.0,0.0,20.0,False,,
17,1,Afghanistan,Canada,307653,212175,Shabir Noori,Henry Osinde,2.5,1.0,1.0,0.0,0.0,0.0,0.0,21.0,False,,
18,1,Afghanistan,Canada,319758,212175,Karim Sadiq,Henry Osinde,2.6,1.0,1.0,0.0,0.0,0.0,0.0,22.0,False,,
19,1,Afghanistan,Canada,319758,43726,Karim Sadiq,Zahid Hussain,3.1,1.0,1.0,0.0,0.0,0.0,0.0,23.0,False,,
20,1,Afghanistan,Canada,307653,43726,Shabir Noori,Zahid Hussain,3.2,1.0,1.0,0.0,0.0,0.0,0.0,24.0,False,,
21,1,Afghanistan,Canada,319758,43726,Karim Sadiq,Zahid Hussain,3.3,0.0,0.0,0.0,0.0,0.0,0.0,24.0,False,,
22,1,Afghanistan,Canada,319758,43726,Karim Sadiq,Zahid Hussain,3.4,0.0,0.0,0.0,0.0,0.0,0.0,24.0,False,,
23,1,Afghanistan,Canada,319758,43726,Karim Sadiq,Zahid Hussain,3.5,0.0,0.0,0.0,0.0,0.0,0.0,24.0,False,,
24,1,Afghanistan,Canada,319758,43726,Karim Sadiq,Zahid Hussain,3.6,0.0,0.0,0.0,0.0,0.0,0.0,24.0,False,,
25,1,Afghanistan,Canada,307653,212175,Shabir Noori,Henry Osinde,4.1,1.0,1.0,0.0,0.0,0.0,0.0,25.0,False,,
26,1,Afghanistan,Canada,319758,212175,Karim Sadiq,Henry Osinde,4.2,0.0,0.0,0.0,0.0,0.0,0.0,25.0,False,,
27,1,Afghanistan,Canada,319758,212175,Karim Sadiq,Henry Osinde,4.3,2.0,2.0,0.0,0.0,0.0,0.0,27.0,False,,
28,1,Afghanistan,Canada,319758,212175,Karim Sadiq,Henry Osinde,4.4,6.0,6.0,0.0,0.0,0.0,0.0,33.0,False,,
29,1,Afghanistan,Canada,319758,212175,Karim Sadiq,Henry Osinde,4.5,1.0,1.0,0.0,0.0,0.0,0.0,34.0,False,,
30,1,Afghanistan,Canada,307653,212175,Shabir Noori,Henry Osinde,4.6,4.0,4.0,0.0,0.0,0.0,0.0,38.0,False,,
31,1,Afghanistan,Canada,319758,43726,Karim Sadiq,Zahid Hussain,5.1,1.0,1.0,0.0,0.0,0.0,0.0,39.0,False,,
32,1,Afghanistan,Canada,307653,43726,Shabir Noori,Zahid Hussain,5.2,2.0,2.0,0.0,0.0,0.0,0.0,41.0,False,,
33,1,Afghanistan,Canada,307653,43726,Shabir Noori,Zahid Hussain,5.3,2.0,2.0,0.0,0.0,0.0,0.0,43.0,False,,
34,1,Afghanistan,Canada,307653,43726,Shabir Noori,Zahid Hussain,5.4,1.0,1.0,0.0,0.0,0.0,0.0,44.0,False,,
35,1,Afghanistan,Canada,319758,43726,Karim Sadiq,Zahid Hussain,5.5,4.0,4.0,0.0,0.0,0.0,0.0,48.0,False,,
36,1,Afghanistan,Canada,319758,43726,Karim Sadiq,Zahid Hussain,5.6,0.0,0.0,0.0,0.0,0.0,0.0,48.0,False,,
37,1,Afghanistan,Canada,307653,494847,Shabir Noori,Junaid Siddiqui,6.1,0.0,0.0,0.0,0.0,0.0,0.0,48.0,False,,
38,1,Afghanistan,Canada,307653,494847,Shabir Noori,Junaid Siddiqui,6.2,1.0,1.0,0.0,0.0,0.0,0.0,49.0,False,,
