,inning,batting_team,bowling_team,batsman,bowler,batsman_name,batting_order,bowler_name,ovr,runs_batter,runs_w_extras,extras,x,y,z,cumul_runs,cumul_wickets,cumul_balls,wicket,wicket_method,who_out
0,1,Canada,Ireland,307075,6038,Ruvindu Gunasekera,1,Trent Johnston,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,False,,
1,1,Canada,Ireland,307075,6038,Ruvindu Gunasekera,1,Trent Johnston,0.2,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,2,False,,
2,1,Canada,Ireland,414248,6038,Hiral Patel,2,Trent Johnston,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3,False,,
3,1,Canada,Ireland,414248,6038,Hiral Patel,2,Trent Johnston,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,4,False,,
4,1,Canada,Ireland,414248,6038,Hiral Patel,2,Trent Johnston,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,5,True,caught,Hiral Patel
5,1,Canada,Ireland,348129,6038,Nitish Kumar,3,Trent Johnston,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,6,False,,
6,1,Canada,Ireland,307075,24599,Ruvindu Gunasekera,1,Boyd Rankin,1.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,7,False,,
7,1,Canada,Ireland,307075,24599,Ruvindu Gunasekera,1,Boyd Rankin,1.2,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1,8,False,,
8,1,Canada,Ireland,307075,24599,Ruvindu Gunasekera,1,Boyd Rankin,1.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,8,False,,
9,1,Canada,Ireland,307075,24599,Ruvindu Gunasekera,1,Boyd Rankin,1.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,9,False,,
10,1,Canada,Ireland,307075,24599,Ruvindu Gunasekera,1,Boyd Rankin,1.4,4.0,4.0,0.0,0.0,0.0,0.0,6.0,1,10,False,,
11,1,Canada,Ireland,307075,24599,Ruvindu Gunasekera,1,Boyd Rankin,1.5,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1,11,False,,
12,1,Canada,Ireland,307075,24599,Ruvindu Gunasekera,1,Boyd Rankin,1.6,4.0,4.0,0.0,0.0,0.0,0.0,10.0,1,12,False,,
13,1,Canada,Ireland,348129,6038,Nitish Kumar,3,Trent Johnston,2.1,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1,13,False,,
14,1,Canada,Ireland,348129,6038,Nitish Kumar,3,Trent Johnston,2.2,1.0,1.0,0.0,0.0,0.0,0.0,11.0,1,14,False,,
15,1,Canada,Ireland,307075,6038,Ruvindu Gunasekera,1,Trent Johnston,2.3,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1,15,False,,
16,1,Canada,Ireland,307075,6038,Ruvindu Gunasekera,1,Trent Johnston,2.4,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1,16,False,,
17,1,Canada,Ireland,307075,6038,Ruvindu Gunasekera,1,Trent Johnston,2.5,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1,17,False,,
18,1,Canada,Ireland,307075,6038,Ruvindu Gunasekera,1,Trent Johnston,2.6,1.0,1.0,0.0,0.0,0.0,0.0,12.0,1,18,False,,
19,1,Canada,Ireland,307075,24599,Ruvindu Gunasekera,1,Boyd Rankin,3.1,1.0,1.0,0.0,0.0,0.0,0.0,13.0,1,19,False,,
20,1,Canada,Ireland,348129,24599,Nitish Kumar,3,Boyd Rankin,3.2,1.0,1.0,0.0,0.0,0.0,0.0,14.0,1,20,False,,
21,1,Canada,Ireland,307075,24599,Ruvindu Gunasekera,1,Boyd Rankin,3.3,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1,21,False,,
22,1,Canada,Ireland,307075,24599,Ruvindu Gunasekera,1,Boyd Rankin,3.4,1.0,1.0,0.0,0.0,0.0,0.0,15.0,1,22,False,,
23,1,Canada,Ireland,348129,24599,Nitish Kumar,3,Boyd Rankin,3.5,1.0,1.0,0.0,0.0,0.0,0.0,16.0,1,23,False,,
24,1,Canada,Ireland,307075,24599,Ruvindu Gunasekera,1,Boyd Rankin,3.6,1.0,1.0,0.0,0.0,0.0,0.0,17.0,1,24,False,,
25,1,Canada,Ireland,307075,6038,Ruvindu Gunasekera,1,Trent Johnston,4.1,1.0,1.0,0.0,0.0,0.0,0.0,18.0,1,25,False,,
26,1,Canada,Ireland,348129,6038,Nitish Kumar,3,Trent Johnston,4.2,1.0,1.0,0.0,0.0,0.0,0.0,19.0,1,26,False,,
