,inning,batting_team,bowling_team,batsman,bowler,batsman_name,bowler_name,ovr,runs_batter,runs_w_extras,extras,x,y,z,cumul_runs,wicket,wicket_method,who_out
0,1,New Zealand,Sri Lanka,37737,50804,Brendon McCullum,Chaminda Vaas,0.1,0.0,4.0,4.0,0.0,0.0,0.0,4.0,False,,
1,1,New Zealand,Sri Lanka,37737,50804,Brendon McCullum,Chaminda Vaas,0.2,1.0,1.0,0.0,128.0,189.0,6.0,5.0,False,,
2,1,New Zealand,Sri Lanka,37000,50804,Stephen Fleming,Chaminda Vaas,0.3,0.0,0.0,0.0,0.0,0.0,0.0,5.0,False,,
3,1,New Zealand,Sri Lanka,37000,50804,Stephen Fleming,Chaminda Vaas,0.4,1.0,1.0,0.0,35.0,169.0,6.0,6.0,False,,
4,1,New Zealand,Sri Lanka,37737,50804,Brendon McCullum,Chaminda Vaas,0.5,0.0,0.0,0.0,110.0,198.0,6.0,6.0,False,,
5,1,New Zealand,Sri Lanka,37737,50804,Brendon McCullum,Chaminda Vaas,0.6,6.0,6.0,0.0,26.0,317.0,6.0,12.0,False,,
6,1,New Zealand,Sri Lanka,37000,49638,Stephen Fleming,Farveez Maharoof,1.1,4.0,4.0,0.0,351.0,203.0,3.0,16.0,False,,
7,1,New Zealand,Sri Lanka,37000,49638,Stephen Fleming,Farveez Maharoof,1.2,4.0,4.0,0.0,225.0,18.0,1.0,20.0,False,,
8,1,New Zealand,Sri Lanka,37000,49638,Stephen Fleming,Farveez Maharoof,1.3,4.0,4.0,0.0,220.0,15.0,1.0,24.0,False,,
9,1,New Zealand,Sri Lanka,37000,49638,Stephen Fleming,Farveez Maharoof,1.4,1.0,1.0,0.0,266.0,47.0,1.0,25.0,False,,
10,1,New Zealand,Sri Lanka,37737,49638,Brendon McCullum,Farveez Maharoof,1.5,4.0,4.0,0.0,267.0,42.0,1.0,29.0,False,,
11,1,New Zealand,Sri Lanka,37737,49638,Brendon McCullum,Farveez Maharoof,1.6,0.0,0.0,0.0,131.0,163.0,7.0,29.0,False,,
12,1,New Zealand,Sri Lanka,37000,50804,Stephen Fleming,Chaminda Vaas,2.1,0.0,0.0,0.0,0.0,0.0,0.0,29.0,False,,
13,1,New Zealand,Sri Lanka,37000,50804,Stephen Fleming,Chaminda Vaas,2.2,1.0,1.0,0.0,147.0,245.0,5.0,30.0,False,,
14,1,New Zealand,Sri Lanka,37737,50804,Brendon McCullum,Chaminda Vaas,2.3,0.0,0.0,0.0,110.0,157.0,7.0,30.0,False,,
15,1,New Zealand,Sri Lanka,37737,50804,Brendon McCullum,Chaminda Vaas,2.4,1.0,1.0,0.0,208.0,257.0,4.0,31.0,False,,
16,1,New Zealand,Sri Lanka,37000,50804,Stephen Fleming,Chaminda Vaas,2.5,2.0,2.0,0.0,146.0,250.0,5.0,33.0,False,,
17,1,New Zealand,Sri Lanka,37000,50804,Stephen Fleming,Chaminda Vaas,2.6,0.0,0.0,0.0,144.0,145.0,7.0,33.0,False,,
18,1,New Zealand,Sri Lanka,37737,48835,Brendon McCullum,Dilhara Fernando,3.1,4.0,4.0,0.0,129.0,338.0,5.0,37.0,False,,
19,1,New Zealand,Sri Lanka,37737,48835,Brendon McCullum,Dilhara Fernando,3.2,1.0,1.0,0.0,214.0,253.0,4.0,38.0,False,,
20,1,New Zealand,Sri Lanka,37000,48835,Stephen Fleming,Dilhara Fernando,3.3,4.0,4.0,0.0,22.0,189.0,6.0,42.0,False,,
21,1,New Zealand,Sri Lanka,37000,48835,Stephen Fleming,Dilhara Fernando,3.4,0.0,0.0,0.0,0.0,0.0,0.0,42.0,False,,
22,1,New Zealand,Sri Lanka,37000,48835,Stephen Fleming,Dilhara Fernando,3.5,1.0,1.0,0.0,108.0,173.0,6.0,43.0,False,,
23,1,New Zealand,Sri Lanka,37737,48835,Brendon McCullum,Dilhara Fernando,3.6,6.0,6.0,0.0,359.0,157.0,2.0,49.0,False,,
24,1,New Zealand,Sri Lanka,37000,50804,Stephen Fleming,Chaminda Vaas,4.1,0.0,0.0,0.0,145.0,118.0,8.0,49.0,False,,
25,1,New Zealand,Sri Lanka,37000,50804,Stephen Fleming,Chaminda Vaas,4.2,0.0,0.0,0.0,0.0,0.0,0.0,49.0,False,,
26,1,New Zealand,Sri Lanka,37000,50804,Stephen Fleming,Chaminda Vaas,4.3,2.0,2.0,0.0,61.0,224.0,6.0,51.0,False,,
27,1,New Zealand,Sri Lanka,37000,50804,Stephen Fleming,Chaminda Vaas,4.4,2.0,2.0,0.0,69.0,222.0,6.0,53.0,False,,
28,1,New Zealand,Sri Lanka,37000,50804,Stephen Fleming,Chaminda Vaas,4.5,2.0,2.0,0.0,45.0,229.0,6.0,55.0,False,,
29,1,New Zealand,Sri Lanka,37000,50804,Stephen Fleming,Chaminda Vaas,4.6,4.0,4.0,0.0,305.0,300.0,4.0,59.0,False,,
30,1,New Zealand,Sri Lanka,37737,48835,Brendon McCullum,Dilhara Fernando,5.1,1.0,1.0,0.0,213.0,245.0,4.0,60.0,False,,
31,1,New Zealand,Sri Lanka,37000,48835,Stephen Fleming,Dilhara Fernando,5.2,4.0,4.0,0.0,348.0,163.0,2.0,64.0,False,,
32,1,New Zealand,Sri Lanka,37000,48835,Stephen Fleming,Dilhara Fernando,5.3,1.0,1.0,0.0,34.0,148.0,7.0,65.0,False,,
33,1,New Zealand,Sri Lanka,37737,48835,Brendon McCullum,Dilhara Fernando,5.4,0.0,0.0,0.0,181.0,202.0,4.0,65.0,False,,
34,1,New Zealand,Sri Lanka,37737,48835,Brendon McCullum,Dilhara Fernando,5.5,0.0,0.0,0.0,232.0,198.0,3.0,65.0,False,,
35,1,New Zealand,Sri Lanka,37737,48835,Brendon McCullum,Dilhara Fernando,5.6,1.0,1.0,0.0,141.0,241.0,5.0,66.0,False,,
36,1,New Zealand,Sri Lanka,37737,49636,Brendon McCullum,Muttiah Muralitharan,6.1,6.0,6.0,0.0,295.0,344.0,4.0,72.0,False,,
37,1,New Zealand,Sri Lanka,37737,49636,Brendon McCullum,Muttiah Muralitharan,6.2,0.0,0.0,0.0,204.0,194.0,4.0,72.0,False,,
38,1,New Zealand,Sri Lanka,37737,49636,Brendon McCullum,Muttiah Muralitharan,6.3,6.0,6.0,0.0,360.0,158.0,2.0,78.0,False,,
39,1,New Zealand,Sri Lanka,37737,49636,Brendon McCullum,Muttiah Muralitharan,6.4,1.0,1.0,0.0,310.0,191.0,3.0,79.0,False,,
40,1,New Zealand,Sri Lanka,37000,49636,Stephen Fleming,Muttiah Muralitharan,6.5,1.0,1.0,0.0,226.0,180.0,3.0,80.0,False,,
41,1,New Zealand,Sri Lanka,37737,49636,Brendon McCullum,Muttiah Muralitharan,6.6,0.0,0.0,0.0,174.0,203.0,5.0,80.0,False,,
42,1,New Zealand,Sri Lanka,37000,49638,Stephen Fleming,Farveez Maharoof,7.1,0.0,0.0,0.0,241.0,205.0,3.0,80.0,False,,
43,1,New Zealand,Sri Lanka,37000,49638,Stephen Fleming,Farveez Maharoof,7.2,0.0,0.0,0.0,0.0,0.0,0.0,80.0,True,bowled,37000
44,1,New Zealand,Sri Lanka,37004,49638,James Franklin,Farveez Maharoof,7.3,0.0,0.0,0.0,0.0,0.0,0.0,80.0,False,,
45,1,New Zealand,Sri Lanka,37004,49638,James Franklin,Farveez Maharoof,7.4,1.0,1.0,0.0,237.0,58.0,1.0,81.0,False,,
46,1,New Zealand,Sri Lanka,37737,49638,Brendon McCullum,Farveez Maharoof,7.5,1.0,1.0,0.0,224.0,185.0,3.0,82.0,False,,
47,1,New Zealand,Sri Lanka,37004,49638,James Franklin,Farveez Maharoof,7.6,0.0,0.0,0.0,0.0,0.0,0.0,82.0,False,,
48,1,New Zealand,Sri Lanka,37737,49636,Brendon McCullum,Muttiah Muralitharan,8.1,0.0,0.0,0.0,311.0,256.0,3.0,82.0,True,caught,37737
49,1,New Zealand,Sri Lanka,37004,49636,James Franklin,Muttiah Muralitharan,8.2,0.0,1.0,1.0,0.0,0.0,0.0,83.0,False,,
50,1,New Zealand,Sri Lanka,38699,49636,Ross Taylor,Muttiah Muralitharan,8.3,1.0,1.0,0.0,157.0,119.0,8.0,84.0,False,,
51,1,New Zealand,Sri Lanka,37004,49636,James Franklin,Muttiah Muralitharan,8.4,0.0,0.0,0.0,0.0,0.0,0.0,84.0,False,,
52,1,New Zealand,Sri Lanka,37004,49636,James Franklin,Muttiah Muralitharan,8.5,4.0,4.0,0.0,15.0,167.0,6.0,88.0,False,,
53,1,New Zealand,Sri Lanka,37004,49636,James Franklin,Muttiah Muralitharan,8.6,0.0,1.0,1.0,0.0,0.0,0.0,89.0,False,,
54,1,New Zealand,Sri Lanka,37004,49636,James Franklin,Muttiah Muralitharan,8.6,1.0,1.0,0.0,234.0,287.0,4.0,90.0,False,,
55,1,New Zealand,Sri Lanka,37004,49638,James Franklin,Farveez Maharoof,9.1,0.0,0.0,0.0,231.0,158.0,2.0,90.0,False,,
56,1,New Zealand,Sri Lanka,37004,49638,James Franklin,Farveez Maharoof,9.2,4.0,4.0,0.0,171.0,353.0,5.0,94.0,False,,
57,1,New Zealand,Sri Lanka,37004,49638,James Franklin,Farveez Maharoof,9.3,0.0,0.0,0.0,244.0,169.0,3.0,94.0,False,,
58,1,New Zealand,Sri Lanka,37004,49638,James Franklin,Farveez Maharoof,9.4,6.0,6.0,0.0,226.0,357.0,4.0,100.0,False,,
59,1,New Zealand,Sri Lanka,37004,49638,James Franklin,Farveez Maharoof,9.5,1.0,1.0,0.0,235.0,144.0,2.0,101.0,False,,
60,1,New Zealand,Sri Lanka,38699,49638,Ross Taylor,Farveez Maharoof,9.6,0.0,0.0,0.0,243.0,187.0,3.0,101.0,False,,
61,1,New Zealand,Sri Lanka,37004,49636,James Franklin,Muttiah Muralitharan,10.1,0.0,0.0,0.0,0.0,0.0,0.0,101.0,False,,
62,1,New Zealand,Sri Lanka,37004,49636,James Franklin,Muttiah Muralitharan,10.2,1.0,1.0,0.0,132.0,124.0,7.0,102.0,False,,
63,1,New Zealand,Sri Lanka,38699,49636,Ross Taylor,Muttiah Muralitharan,10.3,0.0,0.0,0.0,0.0,0.0,0.0,102.0,False,,
64,1,New Zealand,Sri Lanka,38699,49636,Ross Taylor,Muttiah Muralitharan,10.4,0.0,0.0,0.0,0.0,0.0,0.0,102.0,False,,
65,1,New Zealand,Sri Lanka,38699,49636,Ross Taylor,Muttiah Muralitharan,10.5,1.0,1.0,0.0,207.0,131.0,1.0,103.0,False,,
66,1,New Zealand,Sri Lanka,37004,49636,James Franklin,Muttiah Muralitharan,10.6,0.0,2.0,2.0,0.0,0.0,0.0,105.0,False,,
67,1,New Zealand,Sri Lanka,38699,49636,Ross Taylor,Muttiah Muralitharan,10.6,1.0,1.0,0.0,207.0,127.0,1.0,106.0,False,,
68,1,New Zealand,Sri Lanka,38699,49209,Ross Taylor,Sanath Jayasuriya,11.1,0.0,0.0,0.0,187.0,200.0,4.0,106.0,False,,
69,1,New Zealand,Sri Lanka,38699,49209,Ross Taylor,Sanath Jayasuriya,11.2,0.0,0.0,0.0,0.0,0.0,0.0,106.0,False,,
70,1,New Zealand,Sri Lanka,38699,49209,Ross Taylor,Sanath Jayasuriya,11.3,1.0,1.0,0.0,239.0,176.0,3.0,107.0,False,,
71,1,New Zealand,Sri Lanka,37004,49209,James Franklin,Sanath Jayasuriya,11.4,0.0,0.0,0.0,0.0,0.0,0.0,107.0,True,leg before wicket,37004
72,1,New Zealand,Sri Lanka,36185,49209,Nathan Astle,Sanath Jayasuriya,11.5,1.0,1.0,0.0,205.0,122.0,1.0,108.0,False,,
73,1,New Zealand,Sri Lanka,38699,49209,Ross Taylor,Sanath Jayasuriya,11.6,0.0,0.0,0.0,0.0,0.0,0.0,108.0,False,,
74,1,New Zealand,Sri Lanka,36185,48835,Nathan Astle,Dilhara Fernando,12.1,1.0,1.0,0.0,157.0,296.0,5.0,109.0,False,,
75,1,New Zealand,Sri Lanka,38699,48835,Ross Taylor,Dilhara Fernando,12.2,2.0,2.0,0.0,33.0,155.0,7.0,111.0,False,,
76,1,New Zealand,Sri Lanka,38699,48835,Ross Taylor,Dilhara Fernando,12.3,4.0,4.0,0.0,25.0,228.0,6.0,115.0,False,,
77,1,New Zealand,Sri Lanka,38699,48835,Ross Taylor,Dilhara Fernando,12.4,4.0,4.0,0.0,349.0,200.0,3.0,119.0,False,,
78,1,New Zealand,Sri Lanka,38699,48835,Ross Taylor,Dilhara Fernando,12.5,2.0,2.0,0.0,232.0,320.0,4.0,121.0,False,,
79,1,New Zealand,Sri Lanka,38699,48835,Ross Taylor,Dilhara Fernando,12.6,0.0,1.0,1.0,0.0,0.0,0.0,122.0,False,,
80,1,New Zealand,Sri Lanka,38699,49209,Ross Taylor,Sanath Jayasuriya,13.1,1.0,1.0,0.0,235.0,313.0,4.0,123.0,False,,
81,1,New Zealand,Sri Lanka,36185,49209,Nathan Astle,Sanath Jayasuriya,13.2,1.0,1.0,0.0,311.0,131.0,2.0,124.0,False,,
82,1,New Zealand,Sri Lanka,38699,49209,Ross Taylor,Sanath Jayasuriya,13.3,3.0,3.0,0.0,243.0,303.0,4.0,127.0,False,,
83,1,New Zealand,Sri Lanka,36185,49209,Nathan Astle,Sanath Jayasuriya,13.4,1.0,1.0,0.0,221.0,120.0,1.0,128.0,False,,
84,1,New Zealand,Sri Lanka,38699,49209,Ross Taylor,Sanath Jayasuriya,13.5,1.0,1.0,0.0,245.0,309.0,4.0,129.0,False,,
85,1,New Zealand,Sri Lanka,36185,49209,Nathan Astle,Sanath Jayasuriya,13.6,1.0,1.0,0.0,244.0,171.0,3.0,130.0,False,,
86,1,New Zealand,Sri Lanka,36185,49636,Nathan Astle,Muttiah Muralitharan,14.1,1.0,1.0,0.0,205.0,120.0,1.0,131.0,False,,
87,1,New Zealand,Sri Lanka,38699,49636,Ross Taylor,Muttiah Muralitharan,14.2,0.0,0.0,0.0,129.0,192.0,6.0,131.0,False,,
88,1,New Zealand,Sri Lanka,38699,49636,Ross Taylor,Muttiah Muralitharan,14.3,0.0,0.0,0.0,0.0,0.0,0.0,131.0,False,,
89,1,New Zealand,Sri Lanka,38699,49636,Ross Taylor,Muttiah Muralitharan,14.4,0.0,0.0,0.0,0.0,0.0,0.0,131.0,True,leg before wicket,38699
90,1,New Zealand,Sri Lanka,37698,49636,James Marshall,Muttiah Muralitharan,14.5,0.0,0.0,0.0,128.0,190.0,6.0,131.0,False,,
91,1,New Zealand,Sri Lanka,37698,49636,James Marshall,Muttiah Muralitharan,14.6,0.0,1.0,1.0,0.0,0.0,0.0,132.0,False,,
92,1,New Zealand,Sri Lanka,37698,49209,James Marshall,Sanath Jayasuriya,15.1,1.0,1.0,0.0,57.0,224.0,6.0,133.0,False,,
93,1,New Zealand,Sri Lanka,36185,49209,Nathan Astle,Sanath Jayasuriya,15.2,0.0,0.0,0.0,182.0,179.0,4.0,133.0,False,,
94,1,New Zealand,Sri Lanka,36185,49209,Nathan Astle,Sanath Jayasuriya,15.3,0.0,1.0,1.0,0.0,0.0,0.0,134.0,False,,
95,1,New Zealand,Sri Lanka,36185,49209,Nathan Astle,Sanath Jayasuriya,15.3,1.0,1.0,0.0,50.0,200.0,6.0,135.0,False,,
96,1,New Zealand,Sri Lanka,37698,49209,James Marshall,Sanath Jayasuriya,15.4,0.0,0.0,0.0,231.0,202.0,3.0,135.0,True,caught,37698
97,1,New Zealand,Sri Lanka,37770,49209,Peter McGlashan,Sanath Jayasuriya,15.5,0.0,0.0,0.0,0.0,0.0,0.0,135.0,False,,
98,1,New Zealand,Sri Lanka,37770,49209,Peter McGlashan,Sanath Jayasuriya,15.6,0.0,0.0,0.0,143.0,195.0,6.0,135.0,False,,
99,1,New Zealand,Sri Lanka,36185,49289,Nathan Astle,Mahela Jayawardene,16.1,1.0,1.0,0.0,335.0,171.0,3.0,136.0,False,,
100,1,New Zealand,Sri Lanka,37770,49289,Peter McGlashan,Mahela Jayawardene,16.2,1.0,1.0,0.0,137.0,119.0,8.0,137.0,False,,
101,1,New Zealand,Sri Lanka,36185,49289,Nathan Astle,Mahela Jayawardene,16.3,4.0,4.0,0.0,301.0,292.0,4.0,141.0,False,,
102,1,New Zealand,Sri Lanka,36185,49289,Nathan Astle,Mahela Jayawardene,16.4,1.0,1.0,0.0,157.0,328.0,5.0,142.0,False,,
