,inning,batting_team,bowling_team,batsman,bowler,batsman_name,bowler_name,ovr,runs_batter,runs_w_extras,extras,x,y,z,cumul_runs,cumul_wickets,cumul_balls,wicket,wicket_method,who_out
0,1,Sri Lanka,Pakistan,48472,290948,Tillakaratne Dilshan,Mohammad Amir,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,False,,
1,1,Sri Lanka,Pakistan,48472,290948,Tillakaratne Dilshan,Mohammad Amir,0.2,0.0,0.0,0.0,123.0,154.0,7.0,0.0,0,2,False,,
2,1,Sri Lanka,Pakistan,48472,290948,Tillakaratne Dilshan,Mohammad Amir,0.3,0.0,0.0,0.0,115.0,184.0,6.0,0.0,0,3,False,,
3,1,Sri Lanka,Pakistan,48472,290948,Tillakaratne Dilshan,Mohammad Amir,0.4,0.0,0.0,0.0,178.0,137.0,8.0,0.0,0,4,False,,
4,1,Sri Lanka,Pakistan,48472,290948,Tillakaratne Dilshan,Mohammad Amir,0.5,0.0,0.0,0.0,242.0,102.0,1.0,0.0,1,5,True,caught,48472
5,1,Sri Lanka,Pakistan,49209,290948,Sanath Jayasuriya,Mohammad Amir,0.6,0.0,0.0,0.0,239.0,155.0,2.0,0.0,1,6,False,,
6,1,Sri Lanka,Pakistan,49633,39836,Jehan Mubarak,Abdul Razzaq,1.1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1,7,False,,
7,1,Sri Lanka,Pakistan,49209,39836,Sanath Jayasuriya,Abdul Razzaq,1.2,1.0,1.0,0.0,256.0,58.0,1.0,2.0,1,8,False,,
8,1,Sri Lanka,Pakistan,49633,39836,Jehan Mubarak,Abdul Razzaq,1.3,0.0,0.0,0.0,241.0,223.0,3.0,2.0,2,9,True,caught,49633
9,1,Sri Lanka,Pakistan,49209,39836,Sanath Jayasuriya,Abdul Razzaq,1.4,0.0,0.0,0.0,165.0,198.0,5.0,2.0,2,10,False,,
