,inning,batting_team,bowling_team,batsman,bowler,batsman_name,batting_order,bowler_name,bat_right_handed,ovr,runs_batter,runs_w_extras,extras,x,y,z,landing_x,landing_y,ended_x,ended_y,ball_speed,cumul_runs,cumul_wickets,cumul_balls,wicket,wicket_method,who_out
0,1,Bangladesh,Pakistan,56194,41434,Tamim Iqbal,1,Mohammad Hafeez,n,0.1,1.0,1.0,0.0,281.0,121.0,2.0,0.01,5.65,0.03,0.69,57.193,1.0,0,1,False,,
1,1,Bangladesh,Pakistan,55988,41434,Mohammad Ashraful,2,Mohammad Hafeez,y,0.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.42,6.24,0.02,0.72,53.652,1.0,0,2,False,,
2,1,Bangladesh,Pakistan,55988,41434,Mohammad Ashraful,2,Mohammad Hafeez,y,0.3,0.0,0.0,0.0,148.0,192.0,6.0,-0.34,5.09,-0.17,0.53,55.764,1.0,0,3,False,,
3,1,Bangladesh,Pakistan,55988,41434,Mohammad Ashraful,2,Mohammad Hafeez,y,0.4,4.0,4.0,0.0,353.0,130.0,2.0,-0.57,6.62,-0.41,0.78,57.840,5.0,0,4,False,,
4,1,Bangladesh,Pakistan,55988,41434,Mohammad Ashraful,2,Mohammad Hafeez,y,0.5,2.0,2.0,0.0,335.0,224.0,3.0,-0.41,5.11,-0.29,0.76,57.102,7.0,0,5,False,,
5,1,Bangladesh,Pakistan,55988,41434,Mohammad Ashraful,2,Mohammad Hafeez,y,0.6,0.0,0.0,0.0,178.0,192.0,5.0,-0.24,5.38,-0.06,0.54,58.327,7.0,0,6,False,,
6,1,Bangladesh,Pakistan,56194,43265,Tamim Iqbal,1,Sohail Tanvir,n,1.1,1.0,2.0,1.0,133.0,259.0,5.0,0.26,4.39,-0.04,0.50,79.252,9.0,0,7,False,,
7,1,Bangladesh,Pakistan,55988,43265,Mohammad Ashraful,2,Sohail Tanvir,y,1.1,4.0,4.0,0.0,288.0,36.0,1.0,-0.84,7.80,-0.82,0.86,82.477,13.0,0,7,False,,
8,1,Bangladesh,Pakistan,55988,43265,Mohammad Ashraful,2,Sohail Tanvir,y,1.2,0.0,0.0,0.0,138.0,177.0,6.0,-0.02,6.60,-0.59,0.76,83.278,13.0,0,8,False,,
9,1,Bangladesh,Pakistan,55988,43265,Mohammad Ashraful,2,Sohail Tanvir,y,1.3,0.0,0.0,0.0,193.0,195.0,4.0,-0.15,5.75,-0.71,0.57,81.749,13.0,0,9,False,,
10,1,Bangladesh,Pakistan,55988,43265,Mohammad Ashraful,2,Sohail Tanvir,y,1.4,0.0,0.0,0.0,116.0,150.0,7.0,0.05,7.18,-0.55,0.83,83.332,13.0,0,10,False,,
11,1,Bangladesh,Pakistan,55988,43265,Mohammad Ashraful,2,Sohail Tanvir,y,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.00,8.07,-0.88,1.09,82.771,13.0,0,11,False,,
12,1,Bangladesh,Pakistan,55988,43265,Mohammad Ashraful,2,Sohail Tanvir,y,1.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.06,6.47,-0.76,0.68,82.452,13.0,0,12,False,,
13,1,Bangladesh,Pakistan,56194,43524,Tamim Iqbal,1,Umar Gul,n,2.1,0.0,0.0,0.0,174.0,196.0,5.0,0.20,6.80,0.52,0.68,87.337,13.0,0,13,False,,
14,1,Bangladesh,Pakistan,56194,43524,Tamim Iqbal,1,Umar Gul,n,2.2,4.0,4.0,0.0,56.0,309.0,5.0,-0.10,9.27,0.22,1.11,89.233,17.0,0,14,False,,
15,1,Bangladesh,Pakistan,56194,43524,Tamim Iqbal,1,Umar Gul,n,2.3,0.0,5.0,5.0,0.0,0.0,0.0,0.05,9.19,1.04,0.95,88.531,22.0,0,15,False,,
16,1,Bangladesh,Pakistan,56194,43524,Tamim Iqbal,1,Umar Gul,n,2.3,0.0,0.0,0.0,0.0,0.0,0.0,-0.12,9.48,0.12,1.08,88.458,22.0,0,15,False,,
17,1,Bangladesh,Pakistan,56194,43524,Tamim Iqbal,1,Umar Gul,n,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.02,8.33,0.64,0.87,88.462,22.0,0,16,False,,
