,inning,batting_team,bowling_team,batsman,bowler,batsman_name,batting_order,bowler_name,ovr,runs_batter,runs_w_extras,extras,x,y,z,cumul_runs,cumul_wickets,cumul_balls,wicket,wicket_method,who_out
0,1,India,England,28763,8608,Gautam Gambhir,1,James Anderson,0.1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,1,False,,
1,1,India,England,28763,8608,Gautam Gambhir,1,James Anderson,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,False,,
2,1,India,England,28763,8608,Gautam Gambhir,1,James Anderson,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,2,False,,
3,1,India,England,28763,8608,Gautam Gambhir,1,James Anderson,0.3,1.0,1.0,0.0,144.0,154.0,7.0,2.0,0,3,False,,
4,1,India,England,35263,8608,Virender Sehwag,2,James Anderson,0.4,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0,4,False,,
5,1,India,England,35263,8608,Virender Sehwag,2,James Anderson,0.4,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0,4,False,,
6,1,India,England,35263,8608,Virender Sehwag,2,James Anderson,0.4,0.0,4.0,4.0,0.0,0.0,0.0,8.0,0,4,False,,
7,1,India,England,35263,8608,Virender Sehwag,2,James Anderson,0.5,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0,5,False,,
8,1,India,England,35263,8608,Virender Sehwag,2,James Anderson,0.6,0.0,1.0,1.0,0.0,0.0,0.0,9.0,0,6,False,,
9,1,India,England,35263,10617,Virender Sehwag,2,Stuart Broad,1.1,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0,7,False,,
10,1,India,England,35263,10617,Virender Sehwag,2,Stuart Broad,1.2,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0,8,False,,
11,1,India,England,35263,10617,Virender Sehwag,2,Stuart Broad,1.3,1.0,1.0,0.0,247.0,141.0,2.0,10.0,0,9,False,,
12,1,India,England,28763,10617,Gautam Gambhir,1,Stuart Broad,1.4,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0,10,False,,
13,1,India,England,28763,10617,Gautam Gambhir,1,Stuart Broad,1.5,1.0,1.0,0.0,242.0,47.0,1.0,11.0,0,11,False,,
14,1,India,England,35263,10617,Virender Sehwag,2,Stuart Broad,1.6,0.0,1.0,1.0,0.0,0.0,0.0,12.0,0,12,False,,
15,1,India,England,35263,10617,Virender Sehwag,2,Stuart Broad,1.6,1.0,1.0,0.0,162.0,184.0,5.0,13.0,0,12,False,,
16,1,India,England,35263,12856,Virender Sehwag,2,Andrew Flintoff,2.1,2.0,2.0,0.0,220.0,18.0,1.0,15.0,0,13,False,,
