,inning,batting_team,bowling_team,batsman,bowler,batsman_name,bowler_name,ovr,runs_batter,runs_w_extras,extras,x,y,z,cumul_runs,cumul_wickets,cumul_balls,wicket,wicket_method,who_out
0,1,Australia,England,219889,210283,David Warner,Steven Finn,0.1,0.0,0.0,0.0,127.0,189.0,6.0,0.0,0,1,False,,
1,1,Australia,England,219889,210283,David Warner,Steven Finn,0.2,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0,2,False,,
2,1,Australia,England,219889,210283,David Warner,Steven Finn,0.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,3,False,,
3,1,Australia,England,219889,210283,David Warner,Steven Finn,0.4,1.0,1.0,0.0,76.0,69.0,7.0,3.0,0,4,False,,
4,1,Australia,England,5334,210283,Aaron Finch,Steven Finn,0.5,6.0,6.0,0.0,351.0,210.0,3.0,9.0,0,5,False,,
5,1,Australia,England,5334,210283,Aaron Finch,Steven Finn,0.6,1.0,1.0,0.0,146.0,242.0,5.0,10.0,0,6,False,,
6,1,Australia,England,5334,10617,Aaron Finch,Stuart Broad,1.1,1.0,1.0,0.0,210.0,234.0,4.0,11.0,0,7,False,,
7,1,Australia,England,219889,10617,David Warner,Stuart Broad,1.2,0.0,0.0,0.0,206.0,109.0,1.0,11.0,1,8,True,caught,219889
8,1,Australia,England,5334,10617,Aaron Finch,Stuart Broad,1.3,4.0,4.0,0.0,148.0,8.0,8.0,15.0,1,9,False,,
9,1,Australia,England,5334,10617,Aaron Finch,Stuart Broad,1.4,0.0,0.0,0.0,128.0,181.0,6.0,15.0,1,10,False,,
10,1,Australia,England,5334,10617,Aaron Finch,Stuart Broad,1.5,1.0,1.0,0.0,326.0,125.0,2.0,16.0,1,11,False,,
11,1,Australia,England,6683,10617,Shaun Marsh,Stuart Broad,1.6,0.0,0.0,0.0,239.0,151.0,2.0,16.0,1,12,False,,
12,1,Australia,England,5334,210283,Aaron Finch,Steven Finn,2.1,0.0,1.0,1.0,0.0,0.0,0.0,17.0,1,13,False,,
13,1,Australia,England,5334,210283,Aaron Finch,Steven Finn,2.1,4.0,4.0,0.0,329.0,90.0,2.0,21.0,1,13,False,,
14,1,Australia,England,5334,210283,Aaron Finch,Steven Finn,2.2,4.0,4.0,0.0,216.0,354.0,4.0,25.0,1,14,False,,
