,inning,batting_team,bowling_team,batsman,bowler,batsman_name,bowler_name,ovr,runs_batter,runs_w_extras,extras,x,y,z,cumul_runs,wicket,wicket_method,who_out
0,1,Pakistan,New Zealand,259410,450860,Ahmed Shehzad,Adam Milne,0.1,4.0,4.0,0.0,110.0,23.0,8.0,4.0,False,,
1,1,Pakistan,New Zealand,259410,450860,Ahmed Shehzad,Adam Milne,0.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,False,,
2,1,Pakistan,New Zealand,259410,450860,Ahmed Shehzad,Adam Milne,0.3,0.0,0.0,0.0,121.0,141.0,7.0,4.0,False,,
3,1,Pakistan,New Zealand,259410,450860,Ahmed Shehzad,Adam Milne,0.4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,False,,
4,1,Pakistan,New Zealand,259410,450860,Ahmed Shehzad,Adam Milne,0.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,False,,
5,1,Pakistan,New Zealand,259410,450860,Ahmed Shehzad,Adam Milne,0.6,1.0,1.0,0.0,101.0,139.0,7.0,5.0,False,,
6,1,Pakistan,New Zealand,259410,37740,Ahmed Shehzad,Kyle Mills,1.1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,False,,
7,1,Pakistan,New Zealand,259410,37740,Ahmed Shehzad,Kyle Mills,1.2,0.0,0.0,0.0,0.0,0.0,0.0,5.0,False,,
8,1,Pakistan,New Zealand,259410,37740,Ahmed Shehzad,Kyle Mills,1.3,0.0,0.0,0.0,145.0,179.0,6.0,5.0,False,,
9,1,Pakistan,New Zealand,259410,37740,Ahmed Shehzad,Kyle Mills,1.4,4.0,4.0,0.0,174.0,358.0,5.0,9.0,False,,
10,1,Pakistan,New Zealand,259410,37740,Ahmed Shehzad,Kyle Mills,1.5,0.0,0.0,0.0,187.0,194.0,4.0,9.0,False,,
11,1,Pakistan,New Zealand,259410,37740,Ahmed Shehzad,Kyle Mills,1.6,4.0,4.0,0.0,332.0,99.0,2.0,13.0,False,,
12,1,Pakistan,New Zealand,41434,450860,Mohammad Hafeez,Adam Milne,2.1,1.0,1.0,0.0,205.0,244.0,4.0,14.0,False,,
13,1,Pakistan,New Zealand,259410,450860,Ahmed Shehzad,Adam Milne,2.2,0.0,0.0,0.0,0.0,0.0,0.0,14.0,False,,
14,1,Pakistan,New Zealand,259410,450860,Ahmed Shehzad,Adam Milne,2.3,4.0,4.0,0.0,345.0,244.0,3.0,18.0,False,,
15,1,Pakistan,New Zealand,259410,450860,Ahmed Shehzad,Adam Milne,2.4,4.0,4.0,0.0,322.0,284.0,3.0,22.0,False,,
16,1,Pakistan,New Zealand,259410,450860,Ahmed Shehzad,Adam Milne,2.5,4.0,4.0,0.0,315.0,300.0,3.0,26.0,False,,
17,1,Pakistan,New Zealand,259410,450860,Ahmed Shehzad,Adam Milne,2.6,2.0,2.0,0.0,16.0,187.0,6.0,28.0,False,,
18,1,Pakistan,New Zealand,41434,37740,Mohammad Hafeez,Kyle Mills,3.1,4.0,4.0,0.0,312.0,64.0,2.0,32.0,False,,
19,1,Pakistan,New Zealand,41434,37740,Mohammad Hafeez,Kyle Mills,3.2,1.0,1.0,0.0,124.0,185.0,6.0,33.0,False,,
20,1,Pakistan,New Zealand,259410,37740,Ahmed Shehzad,Kyle Mills,3.3,1.0,1.0,0.0,285.0,177.0,3.0,34.0,False,,
21,1,Pakistan,New Zealand,41434,37740,Mohammad Hafeez,Kyle Mills,3.4,0.0,0.0,0.0,121.0,185.0,6.0,34.0,False,,
22,1,Pakistan,New Zealand,41434,37740,Mohammad Hafeez,Kyle Mills,3.5,0.0,0.0,0.0,109.0,197.0,6.0,34.0,False,,
23,1,Pakistan,New Zealand,41434,37740,Mohammad Hafeez,Kyle Mills,3.6,0.0,0.0,0.0,123.0,139.0,7.0,34.0,False,,
24,1,Pakistan,New Zealand,259410,232364,Ahmed Shehzad,Tim Southee,4.1,4.0,4.0,0.0,14.0,216.0,6.0,38.0,False,,
25,1,Pakistan,New Zealand,259410,232364,Ahmed Shehzad,Tim Southee,4.2,4.0,4.0,0.0,339.0,252.0,3.0,42.0,False,,
26,1,Pakistan,New Zealand,259410,232364,Ahmed Shehzad,Tim Southee,4.3,4.0,4.0,0.0,17.0,240.0,6.0,46.0,False,,
27,1,Pakistan,New Zealand,259410,232364,Ahmed Shehzad,Tim Southee,4.4,1.0,1.0,0.0,328.0,241.0,3.0,47.0,False,,
28,1,Pakistan,New Zealand,41434,232364,Mohammad Hafeez,Tim Southee,4.5,4.0,4.0,0.0,76.0,43.0,8.0,51.0,False,,
29,1,Pakistan,New Zealand,41434,232364,Mohammad Hafeez,Tim Southee,4.6,0.0,0.0,0.0,236.0,126.0,2.0,51.0,False,,
30,1,Pakistan,New Zealand,259410,37740,Ahmed Shehzad,Kyle Mills,5.1,1.0,1.0,0.0,225.0,234.0,4.0,52.0,False,,
31,1,Pakistan,New Zealand,41434,37740,Mohammad Hafeez,Kyle Mills,5.2,4.0,4.0,0.0,300.0,52.0,2.0,56.0,False,,
32,1,Pakistan,New Zealand,41434,37740,Mohammad Hafeez,Kyle Mills,5.3,4.0,4.0,0.0,144.0,354.0,5.0,60.0,False,,
33,1,Pakistan,New Zealand,41434,37740,Mohammad Hafeez,Kyle Mills,5.4,4.0,4.0,0.0,265.0,27.0,1.0,64.0,False,,
34,1,Pakistan,New Zealand,41434,37740,Mohammad Hafeez,Kyle Mills,5.5,0.0,0.0,0.0,120.0,195.0,6.0,64.0,False,,
35,1,Pakistan,New Zealand,41434,37740,Mohammad Hafeez,Kyle Mills,5.6,0.0,0.0,0.0,105.0,196.0,6.0,64.0,False,,
36,1,Pakistan,New Zealand,259410,232364,Ahmed Shehzad,Tim Southee,6.1,1.0,1.0,0.0,275.0,217.0,3.0,65.0,False,,
37,1,Pakistan,New Zealand,41434,232364,Mohammad Hafeez,Tim Southee,6.2,1.0,1.0,0.0,101.0,67.0,8.0,66.0,False,,
38,1,Pakistan,New Zealand,259410,232364,Ahmed Shehzad,Tim Southee,6.3,1.0,1.0,0.0,286.0,247.0,3.0,67.0,False,,
39,1,Pakistan,New Zealand,41434,232364,Mohammad Hafeez,Tim Southee,6.4,6.0,6.0,0.0,360.0,213.0,3.0,73.0,False,,
40,1,Pakistan,New Zealand,41434,232364,Mohammad Hafeez,Tim Southee,6.5,2.0,2.0,0.0,313.0,84.0,2.0,75.0,False,,
41,1,Pakistan,New Zealand,41434,232364,Mohammad Hafeez,Tim Southee,6.6,1.0,1.0,0.0,267.0,239.0,3.0,76.0,False,,
42,1,Pakistan,New Zealand,41434,37749,Mohammad Hafeez,Nathan McCullum,7.1,1.0,1.0,0.0,137.0,129.0,7.0,77.0,False,,
43,1,Pakistan,New Zealand,259410,37749,Ahmed Shehzad,Nathan McCullum,7.2,0.0,0.0,0.0,183.0,199.0,4.0,77.0,False,,
44,1,Pakistan,New Zealand,259410,37749,Ahmed Shehzad,Nathan McCullum,7.3,1.0,1.0,0.0,131.0,130.0,7.0,78.0,False,,
45,1,Pakistan,New Zealand,41434,37749,Mohammad Hafeez,Nathan McCullum,7.4,1.0,1.0,0.0,125.0,128.0,7.0,79.0,False,,
46,1,Pakistan,New Zealand,259410,37749,Ahmed Shehzad,Nathan McCullum,7.5,1.0,1.0,0.0,138.0,185.0,6.0,80.0,False,,
47,1,Pakistan,New Zealand,41434,37749,Mohammad Hafeez,Nathan McCullum,7.6,0.0,0.0,0.0,0.0,0.0,0.0,80.0,False,,
48,1,Pakistan,New Zealand,259410,37004,Ahmed Shehzad,James Franklin,8.1,1.0,1.0,0.0,142.0,277.0,5.0,81.0,False,,
49,1,Pakistan,New Zealand,41434,37004,Mohammad Hafeez,James Franklin,8.2,0.0,0.0,0.0,129.0,127.0,7.0,81.0,False,,
