,inning,batting_team,bowling_team,batsman,bowler,batsman_name,bowler_name,ovr,runs_batter,runs_w_extras,extras,x,y,z,cumul_runs,cumul_wickets,cumul_balls,wicket,wicket_method,who_out
0,1,Pakistan,Zimbabwe,41434,55820,Mohammad Hafeez,Prosper Utseya,0.1,1.0,1.0,0.0,116.0,192.0,6.0,1.0,0,1,False,,
1,1,Pakistan,Zimbabwe,316397,55820,Asad Shafiq,Prosper Utseya,0.2,0.0,0.0,0.0,150.0,191.0,6.0,1.0,0,2,False,,
2,1,Pakistan,Zimbabwe,316397,55820,Asad Shafiq,Prosper Utseya,0.3,1.0,1.0,0.0,248.0,292.0,4.0,2.0,0,3,False,,
3,1,Pakistan,Zimbabwe,41434,55820,Mohammad Hafeez,Prosper Utseya,0.4,4.0,4.0,0.0,13.0,141.0,7.0,6.0,0,4,False,,
4,1,Pakistan,Zimbabwe,41434,55820,Mohammad Hafeez,Prosper Utseya,0.5,4.0,4.0,0.0,340.0,117.0,2.0,10.0,0,5,False,,
5,1,Pakistan,Zimbabwe,41434,55820,Mohammad Hafeez,Prosper Utseya,0.6,0.0,0.0,0.0,178.0,188.0,5.0,10.0,0,6,False,,
6,1,Pakistan,Zimbabwe,316397,332996,Asad Shafiq,Kyle Jarvis,1.1,0.0,0.0,0.0,152.0,175.0,6.0,10.0,0,7,False,,
7,1,Pakistan,Zimbabwe,316397,332996,Asad Shafiq,Kyle Jarvis,1.2,1.0,1.0,0.0,237.0,136.0,2.0,11.0,0,8,False,,
8,1,Pakistan,Zimbabwe,41434,332996,Mohammad Hafeez,Kyle Jarvis,1.3,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0,9,False,,
9,1,Pakistan,Zimbabwe,41434,332996,Mohammad Hafeez,Kyle Jarvis,1.4,1.0,1.0,0.0,227.0,156.0,2.0,12.0,0,10,False,,
10,1,Pakistan,Zimbabwe,316397,332996,Asad Shafiq,Kyle Jarvis,1.5,1.0,1.0,0.0,108.0,80.0,8.0,13.0,0,11,False,,
11,1,Pakistan,Zimbabwe,41434,332996,Mohammad Hafeez,Kyle Jarvis,1.6,0.0,0.0,0.0,141.0,252.0,5.0,13.0,0,12,False,,
12,1,Pakistan,Zimbabwe,316397,55354,Asad Shafiq,Chamu Chibhabha,2.1,4.0,4.0,0.0,290.0,40.0,1.0,17.0,0,13,False,,
13,1,Pakistan,Zimbabwe,316397,55354,Asad Shafiq,Chamu Chibhabha,2.2,0.0,0.0,0.0,106.0,184.0,6.0,17.0,0,14,False,,
14,1,Pakistan,Zimbabwe,316397,55354,Asad Shafiq,Chamu Chibhabha,2.3,0.0,0.0,0.0,151.0,118.0,8.0,17.0,0,15,False,,
