,inning,batting_team,bowling_team,batsman,bowler,batsman_name,bowler_name,ovr,runs_batter,runs_w_extras,extras,x,y,z,cumul_runs,cumul_wickets,cumul_balls,wicket,wicket_method,who_out
0,1,Sri Lanka,New Zealand,50747,37004,Upul Tharanga,James Franklin,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,False,,
1,1,Sri Lanka,New Zealand,50747,37004,Upul Tharanga,James Franklin,0.2,0.0,0.0,0.0,224.0,176.0,3.0,0.0,0,2,False,,
2,1,Sri Lanka,New Zealand,50747,37004,Upul Tharanga,James Franklin,0.3,0.0,0.0,0.0,183.0,159.0,1.0,0.0,1,3,True,bowled,50747
3,1,Sri Lanka,New Zealand,49289,37004,Mahela Jayawardene,James Franklin,0.4,1.0,2.0,1.0,252.0,188.0,3.0,2.0,1,4,False,,
4,1,Sri Lanka,New Zealand,209457,37004,Chamara Kapugedera,James Franklin,0.4,1.0,1.0,0.0,147.0,238.0,5.0,3.0,1,4,False,,
5,1,Sri Lanka,New Zealand,49289,37004,Mahela Jayawardene,James Franklin,0.5,4.0,4.0,0.0,239.0,18.0,1.0,7.0,1,5,False,,
6,1,Sri Lanka,New Zealand,49289,37004,Mahela Jayawardene,James Franklin,0.6,2.0,2.0,0.0,280.0,65.0,1.0,9.0,1,6,False,,
7,1,Sri Lanka,New Zealand,209457,37701,Chamara Kapugedera,Michael Mason,1.1,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1,7,False,,
8,1,Sri Lanka,New Zealand,209457,37701,Chamara Kapugedera,Michael Mason,1.2,4.0,4.0,0.0,120.0,22.0,8.0,13.0,1,8,False,,
9,1,Sri Lanka,New Zealand,209457,37701,Chamara Kapugedera,Michael Mason,1.3,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1,9,False,,
10,1,Sri Lanka,New Zealand,209457,37701,Chamara Kapugedera,Michael Mason,1.4,1.0,1.0,0.0,143.0,246.0,5.0,14.0,1,10,False,,
11,1,Sri Lanka,New Zealand,49289,37701,Mahela Jayawardene,Michael Mason,1.5,2.0,2.0,0.0,32.0,125.0,7.0,16.0,1,11,False,,
12,1,Sri Lanka,New Zealand,49289,37701,Mahela Jayawardene,Michael Mason,1.6,0.0,1.0,1.0,0.0,0.0,0.0,17.0,1,12,False,,
13,1,Sri Lanka,New Zealand,49289,37701,Mahela Jayawardene,Michael Mason,1.6,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1,12,False,,
14,1,Sri Lanka,New Zealand,209457,37004,Chamara Kapugedera,James Franklin,2.1,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1,13,False,,
15,1,Sri Lanka,New Zealand,209457,37004,Chamara Kapugedera,James Franklin,2.2,6.0,6.0,0.0,237.0,356.0,4.0,23.0,1,14,False,,
16,1,Sri Lanka,New Zealand,209457,37004,Chamara Kapugedera,James Franklin,2.3,0.0,1.0,1.0,235.0,125.0,2.0,24.0,1,15,False,,
17,1,Sri Lanka,New Zealand,49289,37004,Mahela Jayawardene,James Franklin,2.4,0.0,0.0,0.0,192.0,186.0,4.0,24.0,1,16,False,,
18,1,Sri Lanka,New Zealand,49289,37004,Mahela Jayawardene,James Franklin,2.5,0.0,0.0,0.0,116.0,180.0,6.0,24.0,2,17,True,caught,49289
19,1,Sri Lanka,New Zealand,50710,37004,Kumar Sangakkara,James Franklin,2.6,0.0,0.0,0.0,229.0,191.0,3.0,24.0,2,18,False,,
20,1,Sri Lanka,New Zealand,209457,37701,Chamara Kapugedera,Michael Mason,3.1,0.0,1.0,1.0,0.0,0.0,0.0,25.0,2,19,False,,
21,1,Sri Lanka,New Zealand,209457,37701,Chamara Kapugedera,Michael Mason,3.1,0.0,0.0,0.0,0.0,0.0,0.0,25.0,2,19,False,,
22,1,Sri Lanka,New Zealand,209457,37701,Chamara Kapugedera,Michael Mason,3.2,0.0,1.0,1.0,0.0,0.0,0.0,26.0,2,20,False,,
23,1,Sri Lanka,New Zealand,209457,37701,Chamara Kapugedera,Michael Mason,3.2,0.0,0.0,0.0,116.0,160.0,7.0,26.0,2,20,False,,
24,1,Sri Lanka,New Zealand,209457,37701,Chamara Kapugedera,Michael Mason,3.3,0.0,0.0,0.0,191.0,182.0,4.0,26.0,2,21,False,,
25,1,Sri Lanka,New Zealand,209457,37701,Chamara Kapugedera,Michael Mason,3.4,0.0,0.0,0.0,67.0,80.0,7.0,26.0,3,22,True,caught,209457
26,1,Sri Lanka,New Zealand,50710,37701,Kumar Sangakkara,Michael Mason,3.5,0.0,0.0,0.0,0.0,0.0,0.0,26.0,3,23,False,,
27,1,Sri Lanka,New Zealand,50710,37701,Kumar Sangakkara,Michael Mason,3.6,0.0,0.0,0.0,155.0,179.0,6.0,26.0,3,24,False,,
28,1,Sri Lanka,New Zealand,48124,37004,Marvan Atapattu,James Franklin,4.1,1.0,1.0,0.0,228.0,179.0,3.0,27.0,3,25,False,,
29,1,Sri Lanka,New Zealand,50710,37004,Kumar Sangakkara,James Franklin,4.2,1.0,1.0,0.0,259.0,48.0,1.0,28.0,3,26,False,,
30,1,Sri Lanka,New Zealand,48124,37004,Marvan Atapattu,James Franklin,4.3,0.0,0.0,0.0,159.0,182.0,6.0,28.0,3,27,False,,
31,1,Sri Lanka,New Zealand,48124,37004,Marvan Atapattu,James Franklin,4.4,0.0,0.0,0.0,0.0,0.0,0.0,28.0,3,28,False,,
32,1,Sri Lanka,New Zealand,48124,37004,Marvan Atapattu,James Franklin,4.5,1.0,1.0,0.0,323.0,116.0,2.0,29.0,3,29,False,,
33,1,Sri Lanka,New Zealand,50710,37004,Kumar Sangakkara,James Franklin,4.6,1.0,1.0,0.0,147.0,239.0,5.0,30.0,3,30,False,,
34,1,Sri Lanka,New Zealand,50710,37701,Kumar Sangakkara,Michael Mason,5.1,0.0,0.0,0.0,250.0,188.0,3.0,30.0,3,31,False,,
35,1,Sri Lanka,New Zealand,50710,37701,Kumar Sangakkara,Michael Mason,5.2,0.0,1.0,1.0,0.0,0.0,0.0,31.0,3,32,False,,
36,1,Sri Lanka,New Zealand,48124,37701,Marvan Atapattu,Michael Mason,5.3,1.0,1.0,0.0,249.0,192.0,3.0,32.0,3,33,False,,
37,1,Sri Lanka,New Zealand,50710,37701,Kumar Sangakkara,Michael Mason,5.4,4.0,4.0,0.0,39.0,268.0,6.0,36.0,3,34,False,,
38,1,Sri Lanka,New Zealand,50710,37701,Kumar Sangakkara,Michael Mason,5.5,4.0,4.0,0.0,16.0,160.0,7.0,40.0,3,35,False,,
39,1,Sri Lanka,New Zealand,50710,37701,Kumar Sangakkara,Michael Mason,5.6,0.0,0.0,0.0,135.0,232.0,5.0,40.0,3,36,False,,
