,inning,batting_team,bowling_team,batsman,bowler,batsman_name,batting_order,bowler_name,ovr,runs_batter,runs_w_extras,extras,x,y,z,cumul_runs,cumul_wickets,cumul_balls,wicket,wicket_method,who_out
0,1,Australia,Sri Lanka,8180,49764,Shane Watson,1,Angelo Mathews,0.1,1.0,1.0,0.0,201.0,144.0,1.0,1.0,0,1,False,,
1,1,Australia,Sri Lanka,219889,49764,David Warner,2,Angelo Mathews,0.2,0.0,0.0,0.0,256.0,161.0,2.0,1.0,0,2,False,,
2,1,Australia,Sri Lanka,219889,49764,David Warner,2,Angelo Mathews,0.3,0.0,0.0,0.0,253.0,204.0,3.0,1.0,0,3,False,,
3,1,Australia,Sri Lanka,219889,49764,David Warner,2,Angelo Mathews,0.4,0.0,0.0,0.0,267.0,160.0,2.0,1.0,1,4,True,caught,David Warner
4,1,Australia,Sri Lanka,7133,49764,Ricky Ponting,3,Angelo Mathews,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,5,False,,
5,1,Australia,Sri Lanka,7133,49764,Ricky Ponting,3,Angelo Mathews,0.6,0.0,0.0,0.0,105.0,157.0,7.0,1.0,1,6,False,,
6,1,Australia,Sri Lanka,8180,49209,Shane Watson,1,Sanath Jayasuriya,1.1,1.0,1.0,0.0,241.0,315.0,4.0,2.0,1,7,False,,
7,1,Australia,Sri Lanka,7133,49209,Ricky Ponting,3,Sanath Jayasuriya,1.2,0.0,0.0,0.0,263.0,165.0,2.0,2.0,1,8,False,,
8,1,Australia,Sri Lanka,7133,49209,Ricky Ponting,3,Sanath Jayasuriya,1.3,1.0,1.0,0.0,217.0,106.0,1.0,3.0,1,9,False,,
9,1,Australia,Sri Lanka,8180,49209,Shane Watson,1,Sanath Jayasuriya,1.4,1.0,1.0,0.0,221.0,258.0,4.0,4.0,1,10,False,,
10,1,Australia,Sri Lanka,7133,49209,Ricky Ponting,3,Sanath Jayasuriya,1.5,4.0,4.0,0.0,17.0,249.0,6.0,8.0,1,11,False,,
11,1,Australia,Sri Lanka,7133,49209,Ricky Ponting,3,Sanath Jayasuriya,1.6,0.0,0.0,0.0,112.0,220.0,6.0,8.0,1,12,False,,
12,1,Australia,Sri Lanka,8180,49764,Shane Watson,1,Angelo Mathews,2.1,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1,13,False,,
13,1,Australia,Sri Lanka,8180,49764,Shane Watson,1,Angelo Mathews,2.2,1.0,1.0,0.0,250.0,154.0,2.0,9.0,1,14,False,,
14,1,Australia,Sri Lanka,7133,49764,Ricky Ponting,3,Angelo Mathews,2.3,4.0,4.0,0.0,218.0,11.0,1.0,13.0,1,15,False,,
15,1,Australia,Sri Lanka,7133,49764,Ricky Ponting,3,Angelo Mathews,2.4,3.0,3.0,0.0,31.0,213.0,6.0,16.0,1,16,False,,
16,1,Australia,Sri Lanka,8180,49764,Shane Watson,1,Angelo Mathews,2.5,0.0,0.0,0.0,247.0,149.0,2.0,16.0,1,17,False,,
17,1,Australia,Sri Lanka,8180,49764,Shane Watson,1,Angelo Mathews,2.6,0.0,1.0,1.0,0.0,0.0,0.0,17.0,1,18,False,,
18,1,Australia,Sri Lanka,8180,49764,Shane Watson,1,Angelo Mathews,2.6,0.0,0.0,0.0,118.0,152.0,7.0,17.0,1,18,False,,
19,1,Australia,Sri Lanka,7133,328026,Ricky Ponting,3,Isuru Udana,3.1,1.0,1.0,0.0,161.0,266.0,5.0,18.0,1,19,False,,
20,1,Australia,Sri Lanka,8180,328026,Shane Watson,1,Isuru Udana,3.2,4.0,4.0,0.0,223.0,346.0,4.0,22.0,1,20,False,,
21,1,Australia,Sri Lanka,8180,328026,Shane Watson,1,Isuru Udana,3.3,4.0,4.0,0.0,48.0,65.0,7.0,26.0,1,21,False,,
22,1,Australia,Sri Lanka,8180,328026,Shane Watson,1,Isuru Udana,3.4,6.0,6.0,0.0,334.0,292.0,3.0,32.0,1,22,False,,
23,1,Australia,Sri Lanka,8180,328026,Shane Watson,1,Isuru Udana,3.5,0.0,0.0,0.0,0.0,0.0,0.0,32.0,1,23,False,,
24,1,Australia,Sri Lanka,8180,328026,Shane Watson,1,Isuru Udana,3.6,0.0,0.0,0.0,0.0,0.0,0.0,32.0,1,24,False,,
25,1,Australia,Sri Lanka,7133,49758,Ricky Ponting,3,Lasith Malinga,4.1,4.0,4.0,0.0,346.0,159.0,2.0,36.0,1,25,False,,
26,1,Australia,Sri Lanka,7133,49758,Ricky Ponting,3,Lasith Malinga,4.2,4.0,4.0,0.0,16.0,147.0,7.0,40.0,1,26,False,,
27,1,Australia,Sri Lanka,7133,49758,Ricky Ponting,3,Lasith Malinga,4.3,4.0,4.0,0.0,255.0,334.0,4.0,44.0,1,27,False,,
28,1,Australia,Sri Lanka,7133,49758,Ricky Ponting,3,Lasith Malinga,4.4,0.0,2.0,2.0,0.0,0.0,0.0,46.0,1,28,False,,
29,1,Australia,Sri Lanka,8180,49758,Shane Watson,1,Lasith Malinga,4.4,0.0,0.0,0.0,109.0,163.0,7.0,46.0,1,28,False,,
30,1,Australia,Sri Lanka,8180,49758,Shane Watson,1,Lasith Malinga,4.5,0.0,0.0,0.0,0.0,0.0,0.0,46.0,1,29,False,,
31,1,Australia,Sri Lanka,8180,49758,Shane Watson,1,Lasith Malinga,4.6,1.0,1.0,0.0,205.0,260.0,4.0,47.0,1,30,False,,
32,1,Australia,Sri Lanka,8180,268739,Shane Watson,1,Ajantha Mendis,5.1,0.0,0.0,0.0,0.0,0.0,0.0,47.0,1,31,False,,
33,1,Australia,Sri Lanka,8180,268739,Shane Watson,1,Ajantha Mendis,5.2,0.0,0.0,0.0,126.0,221.0,5.0,47.0,1,32,False,,
34,1,Australia,Sri Lanka,8180,268739,Shane Watson,1,Ajantha Mendis,5.3,1.0,1.0,0.0,284.0,252.0,3.0,48.0,1,33,False,,
35,1,Australia,Sri Lanka,7133,268739,Ricky Ponting,3,Ajantha Mendis,5.4,0.0,0.0,0.0,109.0,163.0,7.0,48.0,1,34,False,,
36,1,Australia,Sri Lanka,7133,268739,Ricky Ponting,3,Ajantha Mendis,5.5,0.0,0.0,0.0,126.0,218.0,6.0,48.0,1,35,False,,
