,inning,batting_team,bowling_team,batsman,bowler,batsman_name,bowler_name,ovr,runs_batter,runs_w_extras,extras,x,y,z,cumul_runs,wicket,wicket_method,who_out
0,1,Bangladesh,Australia,56194,311592,Tamim Iqbal,Mitchell Starc,0.1,1.0,1.0,0.0,306.0,96.0,2.0,1.0,False,,
1,1,Bangladesh,Australia,380354,311592,Anamul Haque,Mitchell Starc,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,,
2,1,Bangladesh,Australia,380354,311592,Anamul Haque,Mitchell Starc,0.3,0.0,0.0,0.0,210.0,246.0,4.0,1.0,False,,
3,1,Bangladesh,Australia,380354,311592,Anamul Haque,Mitchell Starc,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,,
4,1,Bangladesh,Australia,380354,311592,Anamul Haque,Mitchell Starc,0.5,0.0,0.0,0.0,197.0,195.0,4.0,1.0,False,,
5,1,Bangladesh,Australia,380354,311592,Anamul Haque,Mitchell Starc,0.6,0.0,0.0,0.0,149.0,165.0,6.0,1.0,False,,
6,1,Bangladesh,Australia,56194,261354,Tamim Iqbal,Nathan Coulter-Nile,1.1,0.0,0.0,0.0,202.0,216.0,4.0,1.0,False,,
7,1,Bangladesh,Australia,56194,261354,Tamim Iqbal,Nathan Coulter-Nile,1.2,0.0,1.0,1.0,0.0,0.0,0.0,2.0,False,,
8,1,Bangladesh,Australia,56194,261354,Tamim Iqbal,Nathan Coulter-Nile,1.2,0.0,0.0,0.0,239.0,170.0,3.0,2.0,False,,
9,1,Bangladesh,Australia,56194,261354,Tamim Iqbal,Nathan Coulter-Nile,1.3,0.0,1.0,1.0,0.0,0.0,0.0,3.0,False,,
10,1,Bangladesh,Australia,56194,261354,Tamim Iqbal,Nathan Coulter-Nile,1.3,1.0,1.0,0.0,39.0,189.0,6.0,4.0,False,,
11,1,Bangladesh,Australia,380354,261354,Anamul Haque,Nathan Coulter-Nile,1.4,0.0,0.0,0.0,164.0,118.0,8.0,4.0,True,caught,380354
12,1,Bangladesh,Australia,56143,261354,Shakib Al Hasan,Nathan Coulter-Nile,1.5,0.0,0.0,0.0,242.0,168.0,3.0,4.0,False,,
13,1,Bangladesh,Australia,56143,261354,Shakib Al Hasan,Nathan Coulter-Nile,1.6,0.0,0.0,0.0,165.0,252.0,5.0,4.0,False,,
14,1,Bangladesh,Australia,56194,311592,Tamim Iqbal,Mitchell Starc,2.1,0.0,1.0,1.0,0.0,0.0,0.0,5.0,False,,
15,1,Bangladesh,Australia,56194,311592,Tamim Iqbal,Mitchell Starc,2.1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,False,,
16,1,Bangladesh,Australia,56194,311592,Tamim Iqbal,Mitchell Starc,2.2,0.0,0.0,0.0,0.0,0.0,0.0,5.0,False,,
17,1,Bangladesh,Australia,56194,311592,Tamim Iqbal,Mitchell Starc,2.3,0.0,0.0,0.0,241.0,191.0,3.0,5.0,False,,
18,1,Bangladesh,Australia,56194,311592,Tamim Iqbal,Mitchell Starc,2.4,0.0,0.0,0.0,0.0,0.0,0.0,5.0,False,,
19,1,Bangladesh,Australia,56194,311592,Tamim Iqbal,Mitchell Starc,2.5,3.0,3.0,0.0,346.0,213.0,3.0,8.0,False,,
20,1,Bangladesh,Australia,56143,311592,Shakib Al Hasan,Mitchell Starc,2.6,4.0,4.0,0.0,346.0,234.0,3.0,12.0,False,,
21,1,Bangladesh,Australia,56194,261354,Tamim Iqbal,Nathan Coulter-Nile,3.1,0.0,0.0,0.0,0.0,0.0,0.0,12.0,False,,
22,1,Bangladesh,Australia,56194,261354,Tamim Iqbal,Nathan Coulter-Nile,3.2,0.0,0.0,0.0,208.0,248.0,4.0,12.0,True,caught,56194
23,1,Bangladesh,Australia,56029,261354,Mushfiqur Rahim,Nathan Coulter-Nile,3.3,0.0,0.0,0.0,118.0,170.0,6.0,12.0,False,,
24,1,Bangladesh,Australia,56029,261354,Mushfiqur Rahim,Nathan Coulter-Nile,3.4,1.0,1.0,0.0,79.0,106.0,7.0,13.0,False,,
25,1,Bangladesh,Australia,56143,261354,Shakib Al Hasan,Nathan Coulter-Nile,3.5,0.0,0.0,0.0,0.0,0.0,0.0,13.0,False,,
26,1,Bangladesh,Australia,56143,261354,Shakib Al Hasan,Nathan Coulter-Nile,3.6,0.0,0.0,0.0,256.0,180.0,3.0,13.0,False,,
27,1,Bangladesh,Australia,56029,4508,Mushfiqur Rahim,Doug Bollinger,4.1,0.0,0.0,0.0,223.0,193.0,3.0,13.0,False,,
28,1,Bangladesh,Australia,56029,4508,Mushfiqur Rahim,Doug Bollinger,4.2,0.0,0.0,0.0,186.0,203.0,4.0,13.0,False,,
29,1,Bangladesh,Australia,56029,4508,Mushfiqur Rahim,Doug Bollinger,4.3,1.0,1.0,0.0,86.0,71.0,7.0,14.0,False,,
