,inning,batting_team,bowling_team,batsman,bowler,batsman_name,batting_order,bowler_name,ovr,runs_batter,runs_w_extras,extras,x,y,z,cumul_runs,cumul_wickets,cumul_balls,wicket,wicket_method,who_out
0,1,West Indies,Ireland,53118,531953,Dwayne Smith,1,Max Sorensen,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,False,,
1,1,West Indies,Ireland,53118,531953,Dwayne Smith,1,Max Sorensen,0.2,4.0,4.0,0.0,0.0,0.0,0.0,4.0,0,2,False,,
2,1,West Indies,Ireland,53118,531953,Dwayne Smith,1,Max Sorensen,0.3,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0,3,False,,
3,1,West Indies,Ireland,51862,531953,Andre Fletcher,2,Max Sorensen,0.4,1.0,1.0,0.0,0.0,0.0,0.0,6.0,0,4,False,,
4,1,West Indies,Ireland,53118,531953,Dwayne Smith,1,Max Sorensen,0.5,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0,5,False,,
5,1,West Indies,Ireland,53118,531953,Dwayne Smith,1,Max Sorensen,0.6,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0,6,False,,
6,1,West Indies,Ireland,51862,17134,Andre Fletcher,2,Tim Murtagh,1.1,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0,7,False,,
7,1,West Indies,Ireland,51862,17134,Andre Fletcher,2,Tim Murtagh,1.2,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0,8,False,,
8,1,West Indies,Ireland,51862,17134,Andre Fletcher,2,Tim Murtagh,1.3,6.0,6.0,0.0,0.0,0.0,0.0,12.0,0,9,False,,
9,1,West Indies,Ireland,51862,17134,Andre Fletcher,2,Tim Murtagh,1.4,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0,10,False,,
10,1,West Indies,Ireland,51862,17134,Andre Fletcher,2,Tim Murtagh,1.5,1.0,1.0,0.0,0.0,0.0,0.0,13.0,0,11,False,,
11,1,West Indies,Ireland,53118,17134,Dwayne Smith,1,Tim Murtagh,1.6,1.0,1.0,0.0,0.0,0.0,0.0,14.0,0,12,False,,
12,1,West Indies,Ireland,53118,531953,Dwayne Smith,1,Max Sorensen,2.1,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0,13,False,,
13,1,West Indies,Ireland,53118,531953,Dwayne Smith,1,Max Sorensen,2.2,1.0,1.0,0.0,0.0,0.0,0.0,15.0,0,14,False,,
14,1,West Indies,Ireland,51862,531953,Andre Fletcher,2,Max Sorensen,2.3,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0,15,False,,
15,1,West Indies,Ireland,51862,531953,Andre Fletcher,2,Max Sorensen,2.4,6.0,6.0,0.0,0.0,0.0,0.0,21.0,0,16,False,,
16,1,West Indies,Ireland,51862,531953,Andre Fletcher,2,Max Sorensen,2.5,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0,17,False,,
17,1,West Indies,Ireland,51862,531953,Andre Fletcher,2,Max Sorensen,2.6,2.0,2.0,0.0,0.0,0.0,0.0,23.0,0,18,False,,
18,1,West Indies,Ireland,53118,348034,Dwayne Smith,1,George Dockrell,3.1,1.0,1.0,0.0,0.0,0.0,0.0,24.0,0,19,False,,
19,1,West Indies,Ireland,51862,348034,Andre Fletcher,2,George Dockrell,3.2,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0,20,False,,
20,1,West Indies,Ireland,51862,348034,Andre Fletcher,2,George Dockrell,3.3,2.0,2.0,0.0,0.0,0.0,0.0,26.0,0,21,False,,
21,1,West Indies,Ireland,51862,348034,Andre Fletcher,2,George Dockrell,3.4,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0,22,False,,
22,1,West Indies,Ireland,51862,348034,Andre Fletcher,2,George Dockrell,3.5,1.0,1.0,0.0,0.0,0.0,0.0,27.0,0,23,False,,
23,1,West Indies,Ireland,53118,348034,Dwayne Smith,1,George Dockrell,3.6,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0,24,False,,
24,1,West Indies,Ireland,51862,293983,Andre Fletcher,2,Alex Cusack,4.1,0.0,0.0,0.0,0.0,0.0,0.0,27.0,1,25,True,caught,Andre Fletcher
25,1,West Indies,Ireland,52983,293983,Marlon Samuels,3,Alex Cusack,4.2,0.0,0.0,0.0,0.0,0.0,0.0,27.0,1,26,False,,
26,1,West Indies,Ireland,52983,293983,Marlon Samuels,3,Alex Cusack,4.3,0.0,0.0,0.0,0.0,0.0,0.0,27.0,1,27,False,,
27,1,West Indies,Ireland,52983,293983,Marlon Samuels,3,Alex Cusack,4.4,0.0,0.0,0.0,0.0,0.0,0.0,27.0,1,28,False,,
28,1,West Indies,Ireland,52983,293983,Marlon Samuels,3,Alex Cusack,4.5,0.0,0.0,0.0,0.0,0.0,0.0,27.0,1,29,False,,
29,1,West Indies,Ireland,52983,293983,Marlon Samuels,3,Alex Cusack,4.6,0.0,0.0,0.0,0.0,0.0,0.0,27.0,1,30,False,,
30,1,West Indies,Ireland,53118,348034,Dwayne Smith,1,George Dockrell,5.1,0.0,0.0,0.0,0.0,0.0,0.0,27.0,1,31,False,,
31,1,West Indies,Ireland,53118,348034,Dwayne Smith,1,George Dockrell,5.2,0.0,0.0,0.0,0.0,0.0,0.0,27.0,1,32,False,,
32,1,West Indies,Ireland,53118,348034,Dwayne Smith,1,George Dockrell,5.3,2.0,2.0,0.0,0.0,0.0,0.0,29.0,1,33,False,,
33,1,West Indies,Ireland,53118,348034,Dwayne Smith,1,George Dockrell,5.4,0.0,0.0,0.0,0.0,0.0,0.0,29.0,1,34,False,,
34,1,West Indies,Ireland,53118,348034,Dwayne Smith,1,George Dockrell,5.5,1.0,1.0,0.0,0.0,0.0,0.0,30.0,1,35,False,,
35,1,West Indies,Ireland,52983,348034,Marlon Samuels,3,George Dockrell,5.6,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1,36,False,,
36,1,West Indies,Ireland,53118,293983,Dwayne Smith,1,Alex Cusack,6.1,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1,37,False,,
37,1,West Indies,Ireland,53118,293983,Dwayne Smith,1,Alex Cusack,6.2,0.0,0.0,0.0,0.0,0.0,0.0,30.0,2,38,True,caught,Dwayne Smith
38,1,West Indies,Ireland,53116,293983,Lendl Simmons,4,Alex Cusack,6.3,0.0,0.0,0.0,0.0,0.0,0.0,30.0,2,39,False,,
39,1,West Indies,Ireland,53116,293983,Lendl Simmons,4,Alex Cusack,6.4,1.0,1.0,0.0,0.0,0.0,0.0,31.0,2,40,False,,
40,1,West Indies,Ireland,52983,293983,Marlon Samuels,3,Alex Cusack,6.5,1.0,1.0,0.0,0.0,0.0,0.0,32.0,2,41,False,,
41,1,West Indies,Ireland,53116,293983,Lendl Simmons,4,Alex Cusack,6.6,0.0,0.0,0.0,0.0,0.0,0.0,32.0,2,42,False,,
42,1,West Indies,Ireland,52983,17134,Marlon Samuels,3,Tim Murtagh,7.1,0.0,0.0,0.0,0.0,0.0,0.0,32.0,2,43,False,,
43,1,West Indies,Ireland,52983,17134,Marlon Samuels,3,Tim Murtagh,7.2,0.0,0.0,0.0,0.0,0.0,0.0,32.0,2,44,False,,
44,1,West Indies,Ireland,52983,17134,Marlon Samuels,3,Tim Murtagh,7.3,1.0,1.0,0.0,0.0,0.0,0.0,33.0,2,45,False,,
