,inning,batting_team,bowling_team,batsman,bowler,batsman_name,bowler_name,ovr,runs_batter,runs_w_extras,extras,x,y,z,cumul_runs,wicket,wicket_method,who_out
0,1,West Indies,Australia,53118,272465,Dwayne Smith,James Pattinson,0.1,0.0,5.0,5.0,0.0,0.0,0.0,5.0,False,,
1,1,West Indies,Australia,53118,272465,Dwayne Smith,James Pattinson,0.1,0.0,0.0,0.0,245.0,172.0,3.0,5.0,False,,
2,1,West Indies,Australia,53118,272465,Dwayne Smith,James Pattinson,0.2,0.0,0.0,0.0,230.0,199.0,3.0,5.0,False,,
3,1,West Indies,Australia,53118,272465,Dwayne Smith,James Pattinson,0.3,0.0,0.0,0.0,154.0,235.0,5.0,5.0,False,,
4,1,West Indies,Australia,53118,272465,Dwayne Smith,James Pattinson,0.4,4.0,4.0,0.0,344.0,249.0,3.0,9.0,False,,
5,1,West Indies,Australia,53118,272465,Dwayne Smith,James Pattinson,0.5,1.0,1.0,0.0,275.0,59.0,1.0,10.0,False,,
6,1,West Indies,Australia,333066,272465,Johnson Charles,James Pattinson,0.6,4.0,4.0,0.0,344.0,228.0,3.0,14.0,False,,
7,1,West Indies,Australia,53118,6278,Dwayne Smith,Brett Lee,1.1,0.0,0.0,0.0,150.0,239.0,5.0,14.0,False,,
8,1,West Indies,Australia,53118,6278,Dwayne Smith,Brett Lee,1.2,4.0,4.0,0.0,5.0,201.0,6.0,18.0,False,,
9,1,West Indies,Australia,53118,6278,Dwayne Smith,Brett Lee,1.3,1.0,1.0,0.0,231.0,196.0,3.0,19.0,False,,
10,1,West Indies,Australia,333066,6278,Johnson Charles,Brett Lee,1.4,6.0,6.0,0.0,11.0,163.0,7.0,25.0,False,,
11,1,West Indies,Australia,333066,6278,Johnson Charles,Brett Lee,1.5,4.0,4.0,0.0,19.0,139.0,7.0,29.0,False,,
12,1,West Indies,Australia,333066,6278,Johnson Charles,Brett Lee,1.6,0.0,0.0,0.0,0.0,0.0,0.0,29.0,False,,
13,1,West Indies,Australia,53118,6903,Dwayne Smith,Clint McKay,2.1,0.0,0.0,0.0,163.0,190.0,5.0,29.0,False,,
14,1,West Indies,Australia,53118,6903,Dwayne Smith,Clint McKay,2.2,1.0,1.0,0.0,176.0,237.0,5.0,30.0,False,,
15,1,West Indies,Australia,333066,6903,Johnson Charles,Clint McKay,2.3,1.0,1.0,0.0,125.0,120.0,7.0,31.0,False,,
16,1,West Indies,Australia,53118,6903,Dwayne Smith,Clint McKay,2.4,1.0,1.0,0.0,255.0,239.0,3.0,32.0,False,,
17,1,West Indies,Australia,333066,6903,Johnson Charles,Clint McKay,2.5,0.0,0.0,0.0,0.0,0.0,0.0,32.0,False,,
18,1,West Indies,Australia,333066,6903,Johnson Charles,Clint McKay,2.6,2.0,2.0,0.0,45.0,152.0,7.0,34.0,False,,
19,1,West Indies,Australia,53118,5017,Dwayne Smith,Xavier Doherty,3.1,1.0,1.0,0.0,297.0,237.0,3.0,35.0,False,,
20,1,West Indies,Australia,333066,5017,Johnson Charles,Xavier Doherty,3.2,1.0,1.0,0.0,251.0,64.0,1.0,36.0,False,,
21,1,West Indies,Australia,53118,5017,Dwayne Smith,Xavier Doherty,3.3,0.0,0.0,0.0,113.0,161.0,7.0,36.0,False,,
22,1,West Indies,Australia,53118,5017,Dwayne Smith,Xavier Doherty,3.4,1.0,1.0,0.0,202.0,102.0,1.0,37.0,False,,
23,1,West Indies,Australia,333066,5017,Johnson Charles,Xavier Doherty,3.5,1.0,1.0,0.0,212.0,339.0,4.0,38.0,False,,
24,1,West Indies,Australia,53118,5017,Dwayne Smith,Xavier Doherty,3.6,0.0,0.0,0.0,108.0,165.0,6.0,38.0,False,,
25,1,West Indies,Australia,333066,6903,Johnson Charles,Clint McKay,4.1,4.0,4.0,0.0,344.0,127.0,2.0,42.0,False,,
26,1,West Indies,Australia,333066,6903,Johnson Charles,Clint McKay,4.2,0.0,1.0,1.0,0.0,0.0,0.0,43.0,False,,
27,1,West Indies,Australia,333066,6903,Johnson Charles,Clint McKay,4.2,0.0,0.0,0.0,0.0,0.0,0.0,43.0,False,,
28,1,West Indies,Australia,333066,6903,Johnson Charles,Clint McKay,4.3,0.0,0.0,0.0,116.0,152.0,7.0,43.0,False,,
29,1,West Indies,Australia,333066,6903,Johnson Charles,Clint McKay,4.4,4.0,4.0,0.0,256.0,20.0,1.0,47.0,False,,
30,1,West Indies,Australia,333066,6903,Johnson Charles,Clint McKay,4.5,0.0,0.0,0.0,131.0,134.0,7.0,47.0,False,,
31,1,West Indies,Australia,333066,6903,Johnson Charles,Clint McKay,4.6,0.0,0.0,0.0,0.0,0.0,0.0,47.0,False,,
32,1,West Indies,Australia,53118,5017,Dwayne Smith,Xavier Doherty,5.1,4.0,4.0,0.0,44.0,288.0,6.0,51.0,False,,
33,1,West Indies,Australia,53118,5017,Dwayne Smith,Xavier Doherty,5.2,1.0,1.0,0.0,328.0,138.0,2.0,52.0,False,,
34,1,West Indies,Australia,333066,5017,Johnson Charles,Xavier Doherty,5.3,4.0,4.0,0.0,355.0,247.0,3.0,56.0,False,,
35,1,West Indies,Australia,333066,5017,Johnson Charles,Xavier Doherty,5.4,1.0,1.0,0.0,102.0,285.0,5.0,57.0,False,,
36,1,West Indies,Australia,53118,5017,Dwayne Smith,Xavier Doherty,5.5,4.0,4.0,0.0,8.0,218.0,6.0,61.0,False,,
37,1,West Indies,Australia,53118,5017,Dwayne Smith,Xavier Doherty,5.6,4.0,4.0,0.0,285.0,341.0,4.0,65.0,False,,
38,1,West Indies,Australia,333066,8180,Johnson Charles,Shane Watson,6.1,1.0,1.0,0.0,148.0,321.0,5.0,66.0,False,,
39,1,West Indies,Australia,53118,8180,Dwayne Smith,Shane Watson,6.2,0.0,1.0,1.0,0.0,0.0,0.0,67.0,False,,
40,1,West Indies,Australia,333066,8180,Johnson Charles,Shane Watson,6.3,4.0,5.0,1.0,356.0,177.0,3.0,72.0,False,,
41,1,West Indies,Australia,333066,8180,Johnson Charles,Shane Watson,6.3,0.0,0.0,0.0,136.0,214.0,5.0,72.0,False,,
42,1,West Indies,Australia,333066,8180,Johnson Charles,Shane Watson,6.4,0.0,0.0,0.0,138.0,343.0,5.0,72.0,True,caught,333066
43,1,West Indies,Australia,53118,8180,Dwayne Smith,Shane Watson,6.5,2.0,2.0,0.0,321.0,205.0,3.0,74.0,False,,
44,1,West Indies,Australia,53118,8180,Dwayne Smith,Shane Watson,6.6,2.0,2.0,0.0,241.0,272.0,4.0,76.0,False,,
45,1,West Indies,Australia,230559,6278,Kieron Pollard,Brett Lee,7.1,0.0,0.0,0.0,0.0,0.0,0.0,76.0,False,,
46,1,West Indies,Australia,230559,6278,Kieron Pollard,Brett Lee,7.2,1.0,1.0,0.0,127.0,140.0,7.0,77.0,False,,
47,1,West Indies,Australia,53118,6278,Dwayne Smith,Brett Lee,7.3,0.0,0.0,0.0,153.0,239.0,5.0,77.0,False,,
48,1,West Indies,Australia,53118,6278,Dwayne Smith,Brett Lee,7.4,2.0,2.0,0.0,327.0,178.0,3.0,79.0,False,,
49,1,West Indies,Australia,53118,6278,Dwayne Smith,Brett Lee,7.5,1.0,1.0,0.0,163.0,340.0,5.0,80.0,False,,
50,1,West Indies,Australia,230559,6278,Kieron Pollard,Brett Lee,7.6,0.0,0.0,0.0,164.0,113.0,8.0,80.0,True,caught,230559
51,1,West Indies,Australia,53118,272465,Dwayne Smith,James Pattinson,8.1,6.0,6.0,0.0,291.0,340.0,4.0,86.0,False,,
52,1,West Indies,Australia,53118,272465,Dwayne Smith,James Pattinson,8.2,0.0,1.0,1.0,0.0,0.0,0.0,87.0,False,,
53,1,West Indies,Australia,53118,272465,Dwayne Smith,James Pattinson,8.2,0.0,0.0,0.0,161.0,202.0,5.0,87.0,False,,
54,1,West Indies,Australia,53118,272465,Dwayne Smith,James Pattinson,8.3,6.0,6.0,0.0,294.0,336.0,4.0,93.0,False,,
55,1,West Indies,Australia,53118,272465,Dwayne Smith,James Pattinson,8.4,6.0,6.0,0.0,219.0,363.0,4.0,99.0,False,,
56,1,West Indies,Australia,53118,272465,Dwayne Smith,James Pattinson,8.5,1.0,1.0,0.0,295.0,197.0,3.0,100.0,False,,
57,1,West Indies,Australia,51439,272465,Dwayne Bravo,James Pattinson,8.6,0.0,0.0,0.0,168.0,197.0,5.0,100.0,False,,
58,1,West Indies,Australia,53118,5017,Dwayne Smith,Xavier Doherty,9.1,4.0,4.0,0.0,220.0,9.0,1.0,104.0,False,,
59,1,West Indies,Australia,53118,5017,Dwayne Smith,Xavier Doherty,9.2,6.0,6.0,0.0,350.0,258.0,3.0,110.0,False,,
60,1,West Indies,Australia,53118,5017,Dwayne Smith,Xavier Doherty,9.3,0.0,0.0,0.0,182.0,191.0,4.0,110.0,False,,
61,1,West Indies,Australia,53118,5017,Dwayne Smith,Xavier Doherty,9.4,0.0,0.0,0.0,164.0,346.0,5.0,110.0,True,caught,53118
62,1,West Indies,Australia,51439,5017,Dwayne Bravo,Xavier Doherty,9.5,0.0,0.0,0.0,156.0,200.0,5.0,110.0,False,,
63,1,West Indies,Australia,51439,5017,Dwayne Bravo,Xavier Doherty,9.6,0.0,0.0,0.0,192.0,198.0,4.0,110.0,False,,
64,1,West Indies,Australia,53115,4864,Darren Sammy,Daniel Christian,10.1,1.0,1.0,0.0,130.0,289.0,5.0,111.0,False,,
65,1,West Indies,Australia,51439,4864,Dwayne Bravo,Daniel Christian,10.2,1.0,1.0,0.0,262.0,268.0,4.0,112.0,False,,
66,1,West Indies,Australia,53115,4864,Darren Sammy,Daniel Christian,10.3,1.0,1.0,0.0,100.0,148.0,7.0,113.0,False,,
67,1,West Indies,Australia,51439,4864,Dwayne Bravo,Daniel Christian,10.4,0.0,0.0,0.0,179.0,201.0,5.0,113.0,False,,
68,1,West Indies,Australia,51439,4864,Dwayne Bravo,Daniel Christian,10.5,1.0,1.0,0.0,78.0,67.0,7.0,114.0,False,,
69,1,West Indies,Australia,53115,4864,Darren Sammy,Daniel Christian,10.6,1.0,1.0,0.0,29.0,203.0,6.0,115.0,False,,
70,1,West Indies,Australia,53115,8180,Darren Sammy,Shane Watson,11.1,0.0,0.0,0.0,174.0,204.0,5.0,115.0,False,,
71,1,West Indies,Australia,53115,8180,Darren Sammy,Shane Watson,11.2,0.0,1.0,1.0,0.0,0.0,0.0,116.0,False,,
72,1,West Indies,Australia,53115,8180,Darren Sammy,Shane Watson,11.2,0.0,0.0,0.0,0.0,0.0,0.0,116.0,False,,
73,1,West Indies,Australia,53115,8180,Darren Sammy,Shane Watson,11.3,0.0,0.0,0.0,222.0,220.0,4.0,116.0,False,,
74,1,West Indies,Australia,53115,8180,Darren Sammy,Shane Watson,11.4,1.0,1.0,0.0,293.0,155.0,2.0,117.0,False,,
75,1,West Indies,Australia,51439,8180,Dwayne Bravo,Shane Watson,11.5,1.0,1.0,0.0,80.0,67.0,7.0,118.0,False,,
76,1,West Indies,Australia,53115,8180,Darren Sammy,Shane Watson,11.6,0.0,1.0,1.0,0.0,0.0,0.0,119.0,False,,
77,1,West Indies,Australia,53115,8180,Darren Sammy,Shane Watson,11.6,1.0,1.0,0.0,252.0,307.0,4.0,120.0,False,,
78,1,West Indies,Australia,53115,6903,Darren Sammy,Clint McKay,12.1,0.0,0.0,0.0,0.0,0.0,0.0,120.0,True,bowled,53115
79,1,West Indies,Australia,52197,6903,Danza Hyatt,Clint McKay,12.2,0.0,0.0,0.0,136.0,138.0,7.0,120.0,False,,
80,1,West Indies,Australia,52197,6903,Danza Hyatt,Clint McKay,12.3,1.0,1.0,0.0,216.0,287.0,4.0,121.0,False,,
81,1,West Indies,Australia,51439,6903,Dwayne Bravo,Clint McKay,12.4,0.0,0.0,0.0,0.0,0.0,0.0,121.0,False,,
82,1,West Indies,Australia,51439,6903,Dwayne Bravo,Clint McKay,12.5,2.0,2.0,0.0,257.0,286.0,4.0,123.0,False,,
83,1,West Indies,Australia,51439,6903,Dwayne Bravo,Clint McKay,12.6,1.0,1.0,0.0,127.0,302.0,5.0,124.0,False,,
84,1,West Indies,Australia,51439,4864,Dwayne Bravo,Daniel Christian,13.1,2.0,2.0,0.0,294.0,241.0,3.0,126.0,False,,
85,1,West Indies,Australia,51439,4864,Dwayne Bravo,Daniel Christian,13.2,3.0,3.0,0.0,318.0,117.0,2.0,129.0,False,,
86,1,West Indies,Australia,52197,4864,Danza Hyatt,Daniel Christian,13.3,0.0,0.0,0.0,178.0,193.0,5.0,129.0,False,,
87,1,West Indies,Australia,52197,4864,Danza Hyatt,Daniel Christian,13.4,0.0,0.0,0.0,245.0,212.0,3.0,129.0,False,,
88,1,West Indies,Australia,52197,4864,Danza Hyatt,Daniel Christian,13.5,4.0,4.0,0.0,13.0,197.0,6.0,133.0,False,,
89,1,West Indies,Australia,52197,4864,Danza Hyatt,Daniel Christian,13.6,1.0,1.0,0.0,223.0,300.0,4.0,134.0,False,,
90,1,West Indies,Australia,52197,6903,Danza Hyatt,Clint McKay,14.1,0.0,0.0,0.0,154.0,259.0,5.0,134.0,True,caught,52197
91,1,West Indies,Australia,51439,6903,Dwayne Bravo,Clint McKay,14.2,2.0,2.0,0.0,313.0,97.0,2.0,136.0,False,,
92,1,West Indies,Australia,51439,6903,Dwayne Bravo,Clint McKay,14.3,1.0,1.0,0.0,128.0,299.0,5.0,137.0,False,,
93,1,West Indies,Australia,52983,6903,Marlon Samuels,Clint McKay,14.4,1.0,1.0,0.0,130.0,131.0,7.0,138.0,False,,
94,1,West Indies,Australia,51439,6903,Dwayne Bravo,Clint McKay,14.5,1.0,1.0,0.0,128.0,332.0,5.0,139.0,False,,
95,1,West Indies,Australia,52983,6903,Marlon Samuels,Clint McKay,14.6,1.0,1.0,0.0,118.0,157.0,7.0,140.0,False,,
96,1,West Indies,Australia,52983,4864,Marlon Samuels,Daniel Christian,15.1,0.0,0.0,0.0,129.0,327.0,5.0,140.0,True,caught,52983
97,1,West Indies,Australia,51439,4864,Dwayne Bravo,Daniel Christian,15.2,1.0,1.0,0.0,265.0,251.0,4.0,141.0,False,,
98,1,West Indies,Australia,51446,4864,Carlton Baugh,Daniel Christian,15.3,1.0,1.0,0.0,236.0,200.0,3.0,142.0,False,,
99,1,West Indies,Australia,51439,4864,Dwayne Bravo,Daniel Christian,15.4,2.0,2.0,0.0,257.0,303.0,4.0,144.0,False,,
100,1,West Indies,Australia,51439,4864,Dwayne Bravo,Daniel Christian,15.5,1.0,1.0,0.0,246.0,142.0,2.0,145.0,False,,
101,1,West Indies,Australia,51446,4864,Carlton Baugh,Daniel Christian,15.6,0.0,0.0,0.0,229.0,196.0,3.0,145.0,False,,
102,1,West Indies,Australia,51439,8180,Dwayne Bravo,Shane Watson,16.1,1.0,1.0,0.0,64.0,96.0,7.0,146.0,False,,
103,1,West Indies,Australia,51446,8180,Carlton Baugh,Shane Watson,16.2,0.0,0.0,0.0,0.0,0.0,0.0,146.0,False,,
104,1,West Indies,Australia,51446,8180,Carlton Baugh,Shane Watson,16.3,4.0,4.0,0.0,2.0,151.0,7.0,150.0,False,,
105,1,West Indies,Australia,51446,8180,Carlton Baugh,Shane Watson,16.4,0.0,0.0,0.0,0.0,0.0,0.0,150.0,False,,
106,1,West Indies,Australia,51446,8180,Carlton Baugh,Shane Watson,16.5,1.0,1.0,0.0,247.0,79.0,1.0,151.0,False,,
107,1,West Indies,Australia,51439,8180,Dwayne Bravo,Shane Watson,16.6,1.0,1.0,0.0,291.0,241.0,3.0,152.0,False,,
108,1,West Indies,Australia,51439,6278,Dwayne Bravo,Brett Lee,17.1,0.0,0.0,0.0,235.0,210.0,3.0,152.0,False,,
109,1,West Indies,Australia,51439,6278,Dwayne Bravo,Brett Lee,17.2,1.0,1.0,0.0,304.0,204.0,3.0,153.0,False,,
110,1,West Indies,Australia,51446,6278,Carlton Baugh,Brett Lee,17.3,0.0,0.0,0.0,132.0,239.0,5.0,153.0,False,,
