,inning,batting_team,bowling_team,batsman,bowler,batsman_name,bowler_name,ovr,runs_batter,runs_w_extras,extras,x,y,z,cumul_runs,cumul_wickets,cumul_balls,wicket,wicket_method,who_out
0,1,England,Australia,298438,311592,Jason Roy,Mitchell Starc,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,False,,
1,1,England,Australia,298438,311592,Jason Roy,Mitchell Starc,0.2,2.0,2.0,0.0,69.0,75.0,7.0,2.0,0,2,False,,
2,1,England,Australia,298438,311592,Jason Roy,Mitchell Starc,0.3,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0,3,False,,
3,1,England,Australia,298438,311592,Jason Roy,Mitchell Starc,0.3,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0,3,False,,
4,1,England,Australia,298438,311592,Jason Roy,Mitchell Starc,0.3,2.0,2.0,0.0,30.0,152.0,7.0,6.0,0,3,False,,
5,1,England,Australia,298438,311592,Jason Roy,Mitchell Starc,0.4,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0,4,False,,
6,1,England,Australia,298438,311592,Jason Roy,Mitchell Starc,0.5,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0,5,False,,
7,1,England,Australia,298438,311592,Jason Roy,Mitchell Starc,0.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,5,False,,
8,1,England,Australia,298438,311592,Jason Roy,Mitchell Starc,0.6,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,6,False,,
9,1,England,Australia,249866,261354,Alex Hales,Nathan Coulter-Nile,1.1,1.0,1.0,0.0,315.0,104.0,2.0,8.0,0,7,False,,
10,1,England,Australia,298438,261354,Jason Roy,Nathan Coulter-Nile,1.2,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0,8,False,,
11,1,England,Australia,298438,261354,Jason Roy,Nathan Coulter-Nile,1.3,1.0,1.0,0.0,77.0,67.0,7.0,9.0,0,9,False,,
12,1,England,Australia,249866,261354,Alex Hales,Nathan Coulter-Nile,1.4,0.0,0.0,0.0,198.0,186.0,4.0,9.0,0,10,False,,
13,1,England,Australia,249866,261354,Alex Hales,Nathan Coulter-Nile,1.5,1.0,1.0,0.0,323.0,130.0,2.0,10.0,0,11,False,,
14,1,England,Australia,298438,261354,Jason Roy,Nathan Coulter-Nile,1.6,1.0,1.0,0.0,210.0,222.0,4.0,11.0,0,12,False,,
15,1,England,Australia,298438,311592,Jason Roy,Mitchell Starc,2.1,0.0,0.0,0.0,247.0,188.0,3.0,11.0,0,13,False,,
16,1,England,Australia,298438,311592,Jason Roy,Mitchell Starc,2.2,0.0,0.0,0.0,231.0,210.0,3.0,11.0,0,14,False,,
17,1,England,Australia,298438,311592,Jason Roy,Mitchell Starc,2.3,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0,15,False,,
18,1,England,Australia,298438,311592,Jason Roy,Mitchell Starc,2.4,4.0,4.0,0.0,353.0,142.0,2.0,15.0,0,16,False,,
19,1,England,Australia,298438,311592,Jason Roy,Mitchell Starc,2.5,1.0,1.0,0.0,343.0,170.0,3.0,16.0,0,17,False,,
20,1,England,Australia,249866,311592,Alex Hales,Mitchell Starc,2.6,1.0,1.0,0.0,142.0,186.0,6.0,17.0,0,18,False,,
21,1,England,Australia,249866,489889,Alex Hales,Pat Cummins,3.1,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0,19,False,,
22,1,England,Australia,249866,489889,Alex Hales,Pat Cummins,3.2,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0,20,False,,
23,1,England,Australia,249866,489889,Alex Hales,Pat Cummins,3.3,0.0,0.0,0.0,181.0,162.0,1.0,17.0,1,21,True,bowled,249866
24,1,England,Australia,8917,489889,Moeen Ali,Pat Cummins,3.4,1.0,1.0,0.0,290.0,55.0,1.0,18.0,1,22,False,,
25,1,England,Australia,298438,489889,Jason Roy,Pat Cummins,3.5,0.0,0.0,0.0,121.0,207.0,6.0,18.0,1,23,False,,
26,1,England,Australia,298438,489889,Jason Roy,Pat Cummins,3.6,0.0,0.0,0.0,92.0,260.0,5.0,18.0,2,24,True,caught,298438
27,1,England,Australia,24598,261354,Eoin Morgan,Nathan Coulter-Nile,4.1,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2,25,False,,
28,1,England,Australia,24598,261354,Eoin Morgan,Nathan Coulter-Nile,4.2,0.0,0.0,0.0,182.0,196.0,4.0,18.0,2,26,False,,
29,1,England,Australia,24598,261354,Eoin Morgan,Nathan Coulter-Nile,4.3,1.0,1.0,0.0,302.0,88.0,2.0,19.0,2,27,False,,
30,1,England,Australia,8917,261354,Moeen Ali,Nathan Coulter-Nile,4.4,0.0,0.0,0.0,0.0,0.0,0.0,19.0,2,28,False,,
31,1,England,Australia,8917,261354,Moeen Ali,Nathan Coulter-Nile,4.5,3.0,3.0,0.0,315.0,285.0,3.0,22.0,2,29,False,,
32,1,England,Australia,24598,261354,Eoin Morgan,Nathan Coulter-Nile,4.6,0.0,0.0,0.0,0.0,0.0,0.0,22.0,2,30,False,,
