,inning,batting_team,bowling_team,batsman,bowler,batsman_name,batting_order,bowler_name,bat_right_handed,ovr,runs_batter,runs_w_extras,extras,x,y,z,landing_x,landing_y,ended_x,ended_y,ball_speed,cumul_runs,cumul_wickets,cumul_balls,wicket,wicket_method,who_out
0,1,West Indies,Australia,333066,311592,Johnson Charles,1,Mitchell Starc,y,0.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.38,5.47,-0.36,0.62,84.742,0.0,0,1,False,,
1,1,West Indies,Australia,333066,311592,Johnson Charles,1,Mitchell Starc,y,0.2,0.0,0.0,0.0,108.0,182.0,6.0,-0.38,5.47,-0.36,0.62,87.037,0.0,0,2,False,,
2,1,West Indies,Australia,333066,311592,Johnson Charles,1,Mitchell Starc,y,0.3,0.0,0.0,0.0,172.0,185.0,5.0,0.02,3.47,0.07,0.38,84.043,0.0,0,3,False,,
3,1,West Indies,Australia,333066,311592,Johnson Charles,1,Mitchell Starc,y,0.4,0.0,1.0,1.0,0.0,0.0,0.0,-0.79,2.82,-1.03,0.27,84.642,1.0,0,4,False,,
4,1,West Indies,Australia,333066,311592,Johnson Charles,1,Mitchell Starc,y,0.4,0.0,0.0,0.0,210.0,247.0,4.0,-0.11,1.65,-0.09,0.20,85.640,1.0,0,4,False,,
5,1,West Indies,Australia,333066,311592,Johnson Charles,1,Mitchell Starc,y,0.5,0.0,0.0,0.0,104.0,180.0,6.0,-0.31,2.64,-0.47,0.36,85.241,1.0,0,5,False,,
6,1,West Indies,Australia,333066,311592,Johnson Charles,1,Mitchell Starc,y,0.6,1.0,1.0,0.0,236.0,233.0,4.0,-0.01,6.03,-0.14,0.52,84.143,2.0,0,6,False,,
7,1,West Indies,Australia,333066,8180,Johnson Charles,1,Shane Watson,y,1.1,0.0,1.0,1.0,0.0,0.0,0.0,0.07,3.70,0.15,0.45,80.549,3.0,0,7,False,,
8,1,West Indies,Australia,51880,8180,Chris Gayle,2,Shane Watson,n,1.2,1.0,1.0,0.0,233.0,239.0,4.0,0.18,4.76,0.28,0.72,80.849,4.0,0,8,False,,
9,1,West Indies,Australia,333066,8180,Johnson Charles,1,Shane Watson,y,1.3,0.0,0.0,0.0,231.0,239.0,4.0,-0.24,5.76,-0.23,0.64,79.951,4.0,0,9,False,,
