,inning,batting_team,bowling_team,batsman,bowler,batsman_name,batting_order,bowler_name,bat_right_handed,ovr,runs_batter,runs_w_extras,extras,x,y,z,landing_x,landing_y,ended_x,ended_y,ball_speed,cumul_runs,cumul_wickets,cumul_balls,wicket,wicket_method,who_out
0,1,Zimbabwe,Pakistan,55787,232491,Vusi Sibanda,1,Anwar Ali,y,0.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0,1,False,,
1,1,Zimbabwe,Pakistan,55787,232491,Vusi Sibanda,1,Anwar Ali,y,0.2,4.0,4.0,0.0,13.0,286.0,6.0,,,,,,4.0,0,2,False,,
2,1,Zimbabwe,Pakistan,55787,232491,Vusi Sibanda,1,Anwar Ali,y,0.3,0.0,0.0,0.0,153.0,184.0,6.0,,,,,,4.0,0,3,False,,
3,1,Zimbabwe,Pakistan,55787,232491,Vusi Sibanda,1,Anwar Ali,y,0.4,0.0,0.0,0.0,143.0,187.0,6.0,,,,,,4.0,0,4,False,,
4,1,Zimbabwe,Pakistan,55787,232491,Vusi Sibanda,1,Anwar Ali,y,0.5,3.0,3.0,0.0,35.0,218.0,6.0,,,,,,7.0,0,5,False,,
5,1,Zimbabwe,Pakistan,55608,232491,Hamilton Masakadza,2,Anwar Ali,y,0.6,1.0,1.0,0.0,125.0,155.0,7.0,,,,,,8.0,0,6,False,,
6,1,Zimbabwe,Pakistan,55608,41324,Hamilton Masakadza,2,Mohammad Sami,y,1.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,8.0,0,7,False,,
7,1,Zimbabwe,Pakistan,55608,41324,Hamilton Masakadza,2,Mohammad Sami,y,1.2,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,8.0,0,8,False,,
8,1,Zimbabwe,Pakistan,55608,41324,Hamilton Masakadza,2,Mohammad Sami,y,1.3,0.0,0.0,0.0,144.0,189.0,6.0,,,,,,8.0,0,9,False,,
9,1,Zimbabwe,Pakistan,55608,41324,Hamilton Masakadza,2,Mohammad Sami,y,1.4,2.0,2.0,0.0,318.0,231.0,3.0,,,,,,10.0,0,10,False,,
10,1,Zimbabwe,Pakistan,55608,41324,Hamilton Masakadza,2,Mohammad Sami,y,1.5,2.0,2.0,0.0,319.0,223.0,3.0,,,,,,12.0,0,11,False,,
11,1,Zimbabwe,Pakistan,55608,41324,Hamilton Masakadza,2,Mohammad Sami,y,1.6,1.0,1.0,0.0,58.0,69.0,7.0,,,,,,13.0,0,12,False,,
12,1,Zimbabwe,Pakistan,55608,343305,Hamilton Masakadza,2,Bilawal Bhatti,y,2.1,4.0,4.0,0.0,138.0,360.0,5.0,,,,,,17.0,0,13,False,,
13,1,Zimbabwe,Pakistan,55608,343305,Hamilton Masakadza,2,Bilawal Bhatti,y,2.2,4.0,4.0,0.0,215.0,359.0,4.0,,,,,,21.0,0,14,False,,
14,1,Zimbabwe,Pakistan,55608,343305,Hamilton Masakadza,2,Bilawal Bhatti,y,2.3,4.0,4.0,0.0,103.0,16.0,8.0,,,,,,25.0,0,15,False,,
15,1,Zimbabwe,Pakistan,55608,343305,Hamilton Masakadza,2,Bilawal Bhatti,y,2.4,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,25.0,0,16,False,,
16,1,Zimbabwe,Pakistan,55608,343305,Hamilton Masakadza,2,Bilawal Bhatti,y,2.5,1.0,1.0,0.0,339.0,117.0,2.0,,,,,,26.0,0,17,False,,
17,1,Zimbabwe,Pakistan,55787,343305,Vusi Sibanda,1,Bilawal Bhatti,y,2.6,0.0,0.0,0.0,94.0,196.0,6.0,,,,,,26.0,0,18,False,,
18,1,Zimbabwe,Pakistan,55608,41324,Hamilton Masakadza,2,Mohammad Sami,y,3.1,0.0,0.0,0.0,134.0,245.0,5.0,,,,,,26.0,0,19,False,,
19,1,Zimbabwe,Pakistan,55608,41324,Hamilton Masakadza,2,Mohammad Sami,y,3.2,6.0,6.0,0.0,145.0,360.0,5.0,,,,,,32.0,0,20,False,,
20,1,Zimbabwe,Pakistan,55608,41324,Hamilton Masakadza,2,Mohammad Sami,y,3.3,0.0,0.0,0.0,155.0,185.0,6.0,,,,,,32.0,0,21,False,,
21,1,Zimbabwe,Pakistan,55608,41324,Hamilton Masakadza,2,Mohammad Sami,y,3.4,0.0,0.0,0.0,225.0,255.0,4.0,,,,,,32.0,0,22,False,,
22,1,Zimbabwe,Pakistan,55608,41324,Hamilton Masakadza,2,Mohammad Sami,y,3.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,32.0,0,23,False,,
23,1,Zimbabwe,Pakistan,55608,41324,Hamilton Masakadza,2,Mohammad Sami,y,3.6,1.0,1.0,0.0,208.0,254.0,4.0,,,,,,33.0,0,24,False,,
24,1,Zimbabwe,Pakistan,55608,227758,Hamilton Masakadza,2,Imad Wasim,y,4.1,0.0,0.0,0.0,180.0,205.0,4.0,,,,,,33.0,0,25,False,,
25,1,Zimbabwe,Pakistan,55608,227758,Hamilton Masakadza,2,Imad Wasim,y,4.2,4.0,4.0,0.0,151.0,362.0,5.0,,,,,,37.0,0,26,False,,
26,1,Zimbabwe,Pakistan,55608,227758,Hamilton Masakadza,2,Imad Wasim,y,4.3,0.0,0.0,0.0,230.0,112.0,1.0,,,,,,37.0,0,27,False,,
27,1,Zimbabwe,Pakistan,55608,227758,Hamilton Masakadza,2,Imad Wasim,y,4.4,1.0,1.0,0.0,77.0,227.0,6.0,,,,,,38.0,0,28,False,,
28,1,Zimbabwe,Pakistan,55787,227758,Vusi Sibanda,1,Imad Wasim,y,4.5,0.0,0.0,0.0,181.0,201.0,4.0,,,,,,38.0,0,29,False,,
29,1,Zimbabwe,Pakistan,55787,227758,Vusi Sibanda,1,Imad Wasim,y,4.6,1.0,1.0,0.0,281.0,270.0,4.0,,,,,,39.0,0,30,False,,
30,1,Zimbabwe,Pakistan,55787,343305,Vusi Sibanda,1,Bilawal Bhatti,y,5.1,0.0,0.0,0.0,153.0,192.0,5.0,,,,,,39.0,0,31,False,,
31,1,Zimbabwe,Pakistan,55787,343305,Vusi Sibanda,1,Bilawal Bhatti,y,5.2,1.0,1.0,0.0,158.0,284.0,5.0,,,,,,40.0,0,32,False,,
32,1,Zimbabwe,Pakistan,55608,343305,Hamilton Masakadza,2,Bilawal Bhatti,y,5.3,0.0,1.0,1.0,0.0,0.0,0.0,,,,,,41.0,0,33,False,,
33,1,Zimbabwe,Pakistan,55608,343305,Hamilton Masakadza,2,Bilawal Bhatti,y,5.3,1.0,1.0,0.0,314.0,215.0,3.0,,,,,,42.0,0,33,False,,
34,1,Zimbabwe,Pakistan,55787,343305,Vusi Sibanda,1,Bilawal Bhatti,y,5.4,4.0,4.0,0.0,132.0,354.0,5.0,,,,,,46.0,0,34,False,,
35,1,Zimbabwe,Pakistan,55787,343305,Vusi Sibanda,1,Bilawal Bhatti,y,5.5,0.0,1.0,1.0,0.0,0.0,0.0,,,,,,47.0,0,35,False,,
36,1,Zimbabwe,Pakistan,55787,343305,Vusi Sibanda,1,Bilawal Bhatti,y,5.5,1.0,1.0,0.0,314.0,178.0,3.0,,,,,,48.0,0,35,False,,
37,1,Zimbabwe,Pakistan,55608,343305,Hamilton Masakadza,2,Bilawal Bhatti,y,5.6,0.0,1.0,1.0,0.0,0.0,0.0,,,,,,49.0,0,36,False,,
38,1,Zimbabwe,Pakistan,55608,343305,Hamilton Masakadza,2,Bilawal Bhatti,y,5.6,1.0,1.0,0.0,332.0,185.0,3.0,,,,,,50.0,0,36,False,,
39,1,Zimbabwe,Pakistan,55608,227758,Hamilton Masakadza,2,Imad Wasim,y,6.1,0.0,1.0,1.0,257.0,163.0,2.0,,,,,,51.0,0,37,False,,
