,inning,batting_team,bowling_team,batsman,bowler,batsman_name,batting_order,bowler_name,bat_right_handed,ovr,runs_batter,runs_w_extras,extras,x,y,z,landing_x,landing_y,ended_x,ended_y,ball_speed,cumul_runs,cumul_wickets,cumul_balls,wicket,wicket_method,who_out
0,1,Nepal,Bangladesh,446807,56007,Subash Khakurel,1,Mashrafe Mortaza,y,0.1,0.0,0.0,0.0,211.0,173.0,3.0,-0.23,8.42,0.30,0.90,82.446,0.0,0,1,False,,
1,1,Nepal,Bangladesh,446807,56007,Subash Khakurel,1,Mashrafe Mortaza,y,0.2,2.0,2.0,0.0,65.0,256.0,6.0,-0.14,5.17,-0.07,0.58,77.244,2.0,0,2,False,,
2,1,Nepal,Bangladesh,446807,56007,Subash Khakurel,1,Mashrafe Mortaza,y,0.3,0.0,0.0,0.0,155.0,188.0,6.0,-0.20,8.86,-0.06,1.07,80.056,2.0,0,3,False,,
3,1,Nepal,Bangladesh,446807,56007,Subash Khakurel,1,Mashrafe Mortaza,y,0.4,0.0,1.0,1.0,0.0,0.0,0.0,-0.31,8.63,0.33,1.26,82.047,3.0,0,4,False,,
4,1,Nepal,Bangladesh,524095,56007,Sagar Pun,2,Mashrafe Mortaza,y,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.34,7.98,-0.29,0.84,79.710,3.0,0,5,False,,
5,1,Nepal,Bangladesh,524095,56007,Sagar Pun,2,Mashrafe Mortaza,y,0.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.36,8.61,-0.28,1.14,80.893,3.0,0,6,False,,
6,1,Nepal,Bangladesh,446807,511532,Subash Khakurel,1,Al-Amin Hossain,y,1.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.46,9.65,0.33,0.86,83.465,3.0,0,7,False,,
7,1,Nepal,Bangladesh,446807,511532,Subash Khakurel,1,Al-Amin Hossain,y,1.2,0.0,1.0,1.0,0.0,0.0,0.0,-0.19,8.77,0.57,0.96,82.321,4.0,0,8,False,,
8,1,Nepal,Bangladesh,446807,511532,Subash Khakurel,1,Al-Amin Hossain,y,1.2,0.0,1.0,1.0,0.0,0.0,0.0,-0.38,10.19,0.51,1.33,78.470,5.0,0,8,False,,
9,1,Nepal,Bangladesh,446807,511532,Subash Khakurel,1,Al-Amin Hossain,y,1.2,1.0,1.0,0.0,71.0,111.0,7.0,-0.67,9.37,-0.34,1.32,82.196,6.0,0,8,False,,
