,inning,batting_team,bowling_team,batsman,bowler,batsman_name,bowler_name,ovr,runs_batter,runs_w_extras,extras,x,y,z,cumul_runs,cumul_wickets,cumul_balls,wicket,wicket_method,who_out
0,1,South Africa,West Indies,269280,495551,Reeza Hendricks,Sheldon Cottrell,0.1,1.0,1.0,0.0,249.0,33.0,1.0,1.0,0,1,False,,
1,1,South Africa,West Indies,47711,495551,Morne van Wyk,Sheldon Cottrell,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,2,False,,
2,1,South Africa,West Indies,47711,495551,Morne van Wyk,Sheldon Cottrell,0.3,6.0,6.0,0.0,350.0,132.0,2.0,7.0,0,3,False,,
3,1,South Africa,West Indies,47711,495551,Morne van Wyk,Sheldon Cottrell,0.4,0.0,0.0,0.0,119.0,153.0,7.0,7.0,0,4,False,,
4,1,South Africa,West Indies,47711,495551,Morne van Wyk,Sheldon Cottrell,0.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,5,False,,
5,1,South Africa,West Indies,47711,495551,Morne van Wyk,Sheldon Cottrell,0.6,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,6,False,,
6,1,South Africa,West Indies,269280,391485,Reeza Hendricks,Jason Holder,1.1,0.0,0.0,0.0,180.0,122.0,8.0,7.0,0,7,False,,
7,1,South Africa,West Indies,269280,391485,Reeza Hendricks,Jason Holder,1.2,2.0,2.0,0.0,48.0,217.0,6.0,9.0,0,8,False,,
8,1,South Africa,West Indies,269280,391485,Reeza Hendricks,Jason Holder,1.3,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0,9,False,,
9,1,South Africa,West Indies,269280,391485,Reeza Hendricks,Jason Holder,1.4,0.0,0.0,0.0,138.0,127.0,7.0,9.0,0,10,False,,
10,1,South Africa,West Indies,269280,391485,Reeza Hendricks,Jason Holder,1.5,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0,11,False,,
11,1,South Africa,West Indies,269280,391485,Reeza Hendricks,Jason Holder,1.6,0.0,0.0,0.0,119.0,140.0,7.0,9.0,0,12,False,,
12,1,South Africa,West Indies,47711,276298,Morne van Wyk,Andre Russell,2.1,0.0,0.0,0.0,123.0,185.0,6.0,9.0,0,13,False,,
13,1,South Africa,West Indies,47711,276298,Morne van Wyk,Andre Russell,2.2,4.0,4.0,0.0,335.0,89.0,2.0,13.0,0,14,False,,
14,1,South Africa,West Indies,47711,276298,Morne van Wyk,Andre Russell,2.3,1.0,1.0,0.0,241.0,142.0,2.0,14.0,0,15,False,,
15,1,South Africa,West Indies,269280,276298,Reeza Hendricks,Andre Russell,2.4,3.0,3.0,0.0,46.0,253.0,6.0,17.0,0,16,False,,
16,1,South Africa,West Indies,47711,276298,Morne van Wyk,Andre Russell,2.5,4.0,4.0,0.0,14.0,194.0,6.0,21.0,0,17,False,,
17,1,South Africa,West Indies,47711,276298,Morne van Wyk,Andre Russell,2.6,1.0,1.0,0.0,297.0,217.0,3.0,22.0,0,18,False,,
18,1,South Africa,West Indies,47711,391485,Morne van Wyk,Jason Holder,3.1,0.0,0.0,0.0,129.0,151.0,7.0,22.0,0,19,False,,
19,1,South Africa,West Indies,47711,391485,Morne van Wyk,Jason Holder,3.2,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0,20,False,,
