,inning,batting_team,bowling_team,batsman,bowler,batsman_name,bowler_name,ovr,runs_batter,runs_w_extras,extras,x,y,z,cumul_runs,cumul_wickets,cumul_balls,wicket,wicket_method,who_out
0,1,South Africa,Pakistan,46148,343548,Richard Levi,Raza Hasan,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,False,,
1,1,South Africa,Pakistan,46148,343548,Richard Levi,Raza Hasan,0.2,1.0,1.0,0.0,132.0,261.0,5.0,1.0,0,2,False,,
2,1,South Africa,Pakistan,43906,343548,Hashim Amla,Raza Hasan,0.3,0.0,0.0,0.0,104.0,197.0,6.0,1.0,0,3,False,,
3,1,South Africa,Pakistan,43906,343548,Hashim Amla,Raza Hasan,0.4,2.0,2.0,0.0,337.0,202.0,3.0,3.0,0,4,False,,
4,1,South Africa,Pakistan,43906,343548,Hashim Amla,Raza Hasan,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,5,False,,
5,1,South Africa,Pakistan,43906,343548,Hashim Amla,Raza Hasan,0.6,0.0,0.0,0.0,176.0,152.0,8.0,3.0,0,6,False,,
6,1,South Africa,Pakistan,46148,43654,Richard Levi,Yasir Arafat,1.1,0.0,0.0,0.0,157.0,242.0,5.0,3.0,0,7,False,,
7,1,South Africa,Pakistan,46148,43654,Richard Levi,Yasir Arafat,1.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,8,False,,
8,1,South Africa,Pakistan,46148,43654,Richard Levi,Yasir Arafat,1.3,1.0,1.0,0.0,72.0,192.0,6.0,4.0,0,9,False,,
9,1,South Africa,Pakistan,43906,43654,Hashim Amla,Yasir Arafat,1.4,4.0,4.0,0.0,11.0,201.0,6.0,8.0,0,10,False,,
10,1,South Africa,Pakistan,43906,43654,Hashim Amla,Yasir Arafat,1.5,0.0,0.0,0.0,110.0,195.0,6.0,8.0,1,11,True,caught,43906
11,1,South Africa,Pakistan,45789,43654,Jacques Kallis,Yasir Arafat,1.6,1.0,1.0,0.0,254.0,146.0,2.0,9.0,1,12,False,,
12,1,South Africa,Pakistan,45789,343548,Jacques Kallis,Raza Hasan,2.1,0.0,0.0,0.0,177.0,168.0,5.0,9.0,1,13,False,,
13,1,South Africa,Pakistan,45789,343548,Jacques Kallis,Raza Hasan,2.2,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1,14,False,,
14,1,South Africa,Pakistan,45789,343548,Jacques Kallis,Raza Hasan,2.3,0.0,0.0,0.0,102.0,178.0,6.0,9.0,1,15,False,,
15,1,South Africa,Pakistan,45789,343548,Jacques Kallis,Raza Hasan,2.4,0.0,0.0,0.0,119.0,145.0,7.0,9.0,1,16,False,,
16,1,South Africa,Pakistan,45789,343548,Jacques Kallis,Raza Hasan,2.5,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1,17,False,,
17,1,South Africa,Pakistan,45789,343548,Jacques Kallis,Raza Hasan,2.6,0.0,0.0,0.0,110.0,161.0,7.0,9.0,1,18,False,,
18,1,South Africa,Pakistan,46148,43654,Richard Levi,Yasir Arafat,3.1,4.0,4.0,0.0,34.0,85.0,7.0,13.0,1,19,False,,
19,1,South Africa,Pakistan,46148,43654,Richard Levi,Yasir Arafat,3.2,1.0,1.0,0.0,157.0,247.0,5.0,14.0,1,20,False,,
