,inning,batting_team,bowling_team,batsman,bowler,batsman_name,bowler_name,ovr,runs_batter,runs_w_extras,extras,x,y,z,cumul_runs,cumul_wickets,cumul_balls,wicket,wicket_method,who_out
0,1,Zimbabwe,New Zealand,55608,37740,Hamilton Masakadza,Kyle Mills,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,False,,
1,1,Zimbabwe,New Zealand,55608,37740,Hamilton Masakadza,Kyle Mills,0.2,2.0,2.0,0.0,302.0,207.0,3.0,2.0,0,2,False,,
2,1,Zimbabwe,New Zealand,55608,37740,Hamilton Masakadza,Kyle Mills,0.3,4.0,4.0,0.0,13.0,182.0,6.0,6.0,0,3,False,,
3,1,Zimbabwe,New Zealand,55608,37740,Hamilton Masakadza,Kyle Mills,0.4,0.0,0.0,0.0,116.0,171.0,6.0,6.0,0,4,False,,
4,1,Zimbabwe,New Zealand,55608,37740,Hamilton Masakadza,Kyle Mills,0.5,1.0,1.0,0.0,137.0,181.0,6.0,7.0,0,5,False,,
5,1,Zimbabwe,New Zealand,55612,37740,Stuart Matsikenyeri,Kyle Mills,0.6,0.0,0.0,0.0,133.0,170.0,6.0,7.0,0,6,False,,
6,1,Zimbabwe,New Zealand,55608,36590,Hamilton Masakadza,Michael Bates,1.1,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,7,False,,
7,1,Zimbabwe,New Zealand,55608,36590,Hamilton Masakadza,Michael Bates,1.2,0.0,0.0,0.0,175.0,204.0,5.0,7.0,0,8,False,,
8,1,Zimbabwe,New Zealand,55608,36590,Hamilton Masakadza,Michael Bates,1.3,1.0,1.0,0.0,159.0,236.0,5.0,8.0,0,9,False,,
9,1,Zimbabwe,New Zealand,55612,36590,Stuart Matsikenyeri,Michael Bates,1.4,0.0,0.0,0.0,163.0,197.0,5.0,8.0,0,10,False,,
10,1,Zimbabwe,New Zealand,55612,36590,Stuart Matsikenyeri,Michael Bates,1.5,0.0,1.0,1.0,0.0,0.0,0.0,9.0,0,11,False,,
11,1,Zimbabwe,New Zealand,55612,36590,Stuart Matsikenyeri,Michael Bates,1.5,1.0,1.0,0.0,324.0,146.0,2.0,10.0,0,11,False,,
12,1,Zimbabwe,New Zealand,55608,36590,Hamilton Masakadza,Michael Bates,1.6,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0,12,False,,
13,1,Zimbabwe,New Zealand,55612,37740,Stuart Matsikenyeri,Kyle Mills,2.1,1.0,1.0,0.0,130.0,157.0,7.0,11.0,0,13,False,,
14,1,Zimbabwe,New Zealand,55608,37740,Hamilton Masakadza,Kyle Mills,2.2,0.0,0.0,0.0,193.0,188.0,4.0,11.0,0,14,False,,
15,1,Zimbabwe,New Zealand,55608,37740,Hamilton Masakadza,Kyle Mills,2.3,4.0,4.0,0.0,203.0,357.0,4.0,15.0,0,15,False,,
16,1,Zimbabwe,New Zealand,55608,37740,Hamilton Masakadza,Kyle Mills,2.4,6.0,6.0,0.0,360.0,154.0,2.0,21.0,0,16,False,,
17,1,Zimbabwe,New Zealand,55608,37740,Hamilton Masakadza,Kyle Mills,2.5,3.0,3.0,0.0,17.0,199.0,6.0,24.0,0,17,False,,
18,1,Zimbabwe,New Zealand,55612,37740,Stuart Matsikenyeri,Kyle Mills,2.6,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0,18,False,,
19,1,Zimbabwe,New Zealand,55608,36590,Hamilton Masakadza,Michael Bates,3.1,1.0,1.0,0.0,228.0,242.0,4.0,25.0,0,19,False,,
20,1,Zimbabwe,New Zealand,55612,36590,Stuart Matsikenyeri,Michael Bates,3.2,6.0,6.0,0.0,179.0,362.0,5.0,31.0,0,20,False,,
21,1,Zimbabwe,New Zealand,55612,36590,Stuart Matsikenyeri,Michael Bates,3.3,6.0,6.0,0.0,329.0,42.0,2.0,37.0,0,21,False,,
22,1,Zimbabwe,New Zealand,55612,36590,Stuart Matsikenyeri,Michael Bates,3.4,1.0,1.0,0.0,328.0,198.0,3.0,38.0,0,22,False,,
23,1,Zimbabwe,New Zealand,55608,36590,Hamilton Masakadza,Michael Bates,3.5,1.0,1.0,0.0,210.0,121.0,1.0,39.0,0,23,False,,
