,inning,batting_team,bowling_team,batsman,bowler,batsman_name,batting_order,bowler_name,ovr,runs_batter,runs_w_extras,extras,x,y,z,cumul_runs,cumul_wickets,cumul_balls,wicket,wicket_method,who_out
0,1,New Zealand,Australia,37737,8076,Brendon McCullum,1,Shaun Tait,0.1,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0,1,False,,
1,1,New Zealand,Australia,37737,8076,Brendon McCullum,1,Shaun Tait,0.2,0.0,0.0,0.0,234.0,197.0,3.0,4.0,0,2,False,,
2,1,New Zealand,Australia,37737,8076,Brendon McCullum,1,Shaun Tait,0.3,4.0,4.0,0.0,15.0,229.0,6.0,8.0,0,3,False,,
3,1,New Zealand,Australia,37737,8076,Brendon McCullum,1,Shaun Tait,0.4,1.0,1.0,0.0,155.0,250.0,5.0,9.0,0,4,False,,
4,1,New Zealand,Australia,38952,8076,Peter Ingram,2,Shaun Tait,0.5,0.0,1.0,1.0,0.0,0.0,0.0,10.0,0,5,False,,
5,1,New Zealand,Australia,38952,8076,Peter Ingram,2,Shaun Tait,0.5,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0,5,False,,
6,1,New Zealand,Australia,38952,8076,Peter Ingram,2,Shaun Tait,0.6,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1,6,True,bowled,Peter Ingram
7,1,New Zealand,Australia,37737,6981,Brendon McCullum,1,Dirk Nannes,1.1,6.0,6.0,0.0,9.0,257.0,6.0,16.0,1,7,False,,
8,1,New Zealand,Australia,37737,6981,Brendon McCullum,1,Dirk Nannes,1.2,3.0,3.0,0.0,267.0,60.0,1.0,19.0,1,8,False,,
9,1,New Zealand,Australia,226492,6981,Martin Guptill,3,Dirk Nannes,1.3,1.0,1.0,0.0,168.0,149.0,8.0,20.0,1,9,False,,
10,1,New Zealand,Australia,37737,6981,Brendon McCullum,1,Dirk Nannes,1.4,0.0,0.0,0.0,111.0,167.0,6.0,20.0,1,10,False,,
11,1,New Zealand,Australia,37737,6981,Brendon McCullum,1,Dirk Nannes,1.5,4.0,4.0,0.0,269.0,26.0,1.0,24.0,1,11,False,,
12,1,New Zealand,Australia,37737,6981,Brendon McCullum,1,Dirk Nannes,1.6,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1,12,False,,
13,1,New Zealand,Australia,226492,8076,Martin Guptill,3,Shaun Tait,2.1,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1,13,False,,
14,1,New Zealand,Australia,226492,8076,Martin Guptill,3,Shaun Tait,2.2,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1,14,False,,
15,1,New Zealand,Australia,226492,8076,Martin Guptill,3,Shaun Tait,2.3,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1,15,False,,
16,1,New Zealand,Australia,226492,8076,Martin Guptill,3,Shaun Tait,2.4,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1,16,False,,
17,1,New Zealand,Australia,226492,8076,Martin Guptill,3,Shaun Tait,2.5,4.0,4.0,0.0,92.0,30.0,8.0,28.0,1,17,False,,
18,1,New Zealand,Australia,226492,8076,Martin Guptill,3,Shaun Tait,2.6,4.0,4.0,0.0,248.0,344.0,4.0,32.0,1,18,False,,
19,1,New Zealand,Australia,37737,6981,Brendon McCullum,1,Dirk Nannes,3.1,4.0,4.0,0.0,315.0,68.0,2.0,36.0,1,19,False,,
20,1,New Zealand,Australia,37737,6981,Brendon McCullum,1,Dirk Nannes,3.2,0.0,0.0,0.0,0.0,0.0,0.0,36.0,1,20,False,,
21,1,New Zealand,Australia,37737,6981,Brendon McCullum,1,Dirk Nannes,3.3,0.0,1.0,1.0,0.0,0.0,0.0,37.0,1,21,False,,
22,1,New Zealand,Australia,226492,6981,Martin Guptill,3,Dirk Nannes,3.4,1.0,1.0,0.0,126.0,141.0,7.0,38.0,1,22,False,,
