,inning,batting_team,bowling_team,batsman,bowler,batsman_name,batting_order,bowler_name,ovr,runs_batter,runs_w_extras,extras,x,y,z,cumul_runs,cumul_wickets,cumul_balls,wicket,wicket_method,who_out
0,1,Ireland,Netherlands,24611,308794,William Porterfield,1,Michael Swart,0.1,0.0,0.0,0.0,246.0,207.0,3.0,0.0,0,1,False,,
1,1,Ireland,Netherlands,24611,308794,William Porterfield,1,Michael Swart,0.2,0.0,0.0,0.0,182.0,195.0,4.0,0.0,0,2,False,,
2,1,Ireland,Netherlands,24611,308794,William Porterfield,1,Michael Swart,0.3,0.0,0.0,0.0,255.0,185.0,3.0,0.0,0,3,False,,
3,1,Ireland,Netherlands,24611,308794,William Porterfield,1,Michael Swart,0.4,2.0,2.0,0.0,222.0,50.0,1.0,2.0,0,4,False,,
4,1,Ireland,Netherlands,24611,308794,William Porterfield,1,Michael Swart,0.5,1.0,1.0,0.0,229.0,321.0,4.0,3.0,0,5,False,,
5,1,Ireland,Netherlands,303427,308794,Paul Stirling,2,Michael Swart,0.6,6.0,6.0,0.0,324.0,68.0,2.0,9.0,0,6,False,,
6,1,Ireland,Netherlands,24611,333782,William Porterfield,1,Timm van der Gugten,1.1,1.0,1.0,0.0,67.0,152.0,7.0,10.0,0,7,False,,
7,1,Ireland,Netherlands,303427,333782,Paul Stirling,2,Timm van der Gugten,1.2,0.0,0.0,0.0,132.0,125.0,7.0,10.0,0,8,False,,
8,1,Ireland,Netherlands,303427,333782,Paul Stirling,2,Timm van der Gugten,1.3,0.0,0.0,0.0,177.0,164.0,7.0,10.0,0,9,False,,
9,1,Ireland,Netherlands,303427,333782,Paul Stirling,2,Timm van der Gugten,1.4,0.0,0.0,0.0,147.0,189.0,6.0,10.0,0,10,False,,
10,1,Ireland,Netherlands,303427,333782,Paul Stirling,2,Timm van der Gugten,1.5,0.0,0.0,0.0,127.0,158.0,7.0,10.0,0,11,False,,
11,1,Ireland,Netherlands,303427,333782,Paul Stirling,2,Timm van der Gugten,1.6,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0,12,False,,
12,1,Ireland,Netherlands,24611,245166,William Porterfield,1,Mudassar Bukhari,2.1,0.0,0.0,0.0,208.0,184.0,3.0,10.0,1,13,True,caught,William Porterfield
13,1,Ireland,Netherlands,303427,245166,Paul Stirling,2,Mudassar Bukhari,2.2,1.0,1.0,0.0,124.0,182.0,6.0,11.0,1,14,False,,
14,1,Ireland,Netherlands,303423,245166,Andy Balbirnie,3,Mudassar Bukhari,2.3,1.0,1.0,0.0,305.0,133.0,2.0,12.0,1,15,False,,
15,1,Ireland,Netherlands,303427,245166,Paul Stirling,2,Mudassar Bukhari,2.4,4.0,4.0,0.0,256.0,20.0,1.0,16.0,1,16,False,,
16,1,Ireland,Netherlands,303427,245166,Paul Stirling,2,Mudassar Bukhari,2.5,0.0,0.0,0.0,228.0,122.0,2.0,16.0,1,17,False,,
17,1,Ireland,Netherlands,303427,245166,Paul Stirling,2,Mudassar Bukhari,2.6,4.0,4.0,0.0,60.0,50.0,7.0,20.0,1,18,False,,
18,1,Ireland,Netherlands,303423,333782,Andy Balbirnie,3,Timm van der Gugten,3.1,1.0,1.0,0.0,105.0,214.0,6.0,21.0,1,19,False,,
19,1,Ireland,Netherlands,303427,333782,Paul Stirling,2,Timm van der Gugten,3.2,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1,20,False,,
20,1,Ireland,Netherlands,303427,333782,Paul Stirling,2,Timm van der Gugten,3.3,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1,21,False,,
21,1,Ireland,Netherlands,303427,333782,Paul Stirling,2,Timm van der Gugten,3.4,1.0,1.0,0.0,240.0,192.0,3.0,22.0,1,22,False,,
22,1,Ireland,Netherlands,303423,333782,Andy Balbirnie,3,Timm van der Gugten,3.5,1.0,1.0,0.0,192.0,251.0,4.0,23.0,1,23,False,,
23,1,Ireland,Netherlands,303427,333782,Paul Stirling,2,Timm van der Gugten,3.6,2.0,2.0,0.0,319.0,138.0,2.0,25.0,1,24,False,,
24,1,Ireland,Netherlands,303423,245166,Andy Balbirnie,3,Mudassar Bukhari,4.1,0.0,0.0,0.0,116.0,173.0,6.0,25.0,1,25,False,,
25,1,Ireland,Netherlands,303423,245166,Andy Balbirnie,3,Mudassar Bukhari,4.2,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1,26,False,,
26,1,Ireland,Netherlands,303423,245166,Andy Balbirnie,3,Mudassar Bukhari,4.3,1.0,1.0,0.0,110.0,184.0,6.0,26.0,1,27,False,,
27,1,Ireland,Netherlands,303427,245166,Paul Stirling,2,Mudassar Bukhari,4.4,0.0,0.0,0.0,195.0,255.0,4.0,26.0,2,28,True,caught,Paul Stirling
28,1,Ireland,Netherlands,24609,245166,Gary Wilson,4,Mudassar Bukhari,4.5,4.0,4.0,0.0,326.0,79.0,2.0,30.0,2,29,False,,
29,1,Ireland,Netherlands,24609,245166,Gary Wilson,4,Mudassar Bukhari,4.6,4.0,4.0,0.0,27.0,268.0,6.0,34.0,2,30,False,,
30,1,Ireland,Netherlands,303423,348109,Andy Balbirnie,3,Paul van Meekeren,5.1,0.0,0.0,0.0,122.0,147.0,7.0,34.0,2,31,False,,
31,1,Ireland,Netherlands,303423,348109,Andy Balbirnie,3,Paul van Meekeren,5.2,0.0,0.0,0.0,0.0,0.0,0.0,34.0,2,32,False,,
32,1,Ireland,Netherlands,303423,348109,Andy Balbirnie,3,Paul van Meekeren,5.3,4.0,4.0,0.0,342.0,257.0,3.0,38.0,2,33,False,,
33,1,Ireland,Netherlands,303423,348109,Andy Balbirnie,3,Paul van Meekeren,5.4,0.0,0.0,0.0,157.0,188.0,5.0,38.0,2,34,False,,
34,1,Ireland,Netherlands,303423,348109,Andy Balbirnie,3,Paul van Meekeren,5.5,0.0,0.0,0.0,119.0,169.0,6.0,38.0,2,35,False,,
35,1,Ireland,Netherlands,303423,348109,Andy Balbirnie,3,Paul van Meekeren,5.6,0.0,0.0,0.0,151.0,188.0,6.0,38.0,2,36,False,,
36,1,Ireland,Netherlands,24609,245166,Gary Wilson,4,Mudassar Bukhari,6.1,0.0,0.0,0.0,181.0,189.0,4.0,38.0,2,37,False,,
37,1,Ireland,Netherlands,24609,245166,Gary Wilson,4,Mudassar Bukhari,6.2,0.0,0.0,0.0,235.0,190.0,3.0,38.0,2,38,False,,
38,1,Ireland,Netherlands,24609,245166,Gary Wilson,4,Mudassar Bukhari,6.3,0.0,0.0,0.0,116.0,191.0,6.0,38.0,2,39,False,,
39,1,Ireland,Netherlands,24609,245166,Gary Wilson,4,Mudassar Bukhari,6.4,1.0,1.0,0.0,205.0,255.0,4.0,39.0,2,40,False,,
40,1,Ireland,Netherlands,303423,245166,Andy Balbirnie,3,Mudassar Bukhari,6.5,2.0,2.0,0.0,83.0,151.0,7.0,41.0,2,41,False,,
41,1,Ireland,Netherlands,303423,245166,Andy Balbirnie,3,Mudassar Bukhari,6.6,1.0,1.0,0.0,107.0,188.0,6.0,42.0,2,42,False,,
42,1,Ireland,Netherlands,303423,47850,Andy Balbirnie,3,Roelof van der Merwe,7.1,2.0,2.0,0.0,85.0,95.0,7.0,44.0,2,43,False,,
43,1,Ireland,Netherlands,303423,47850,Andy Balbirnie,3,Roelof van der Merwe,7.2,1.0,1.0,0.0,224.0,292.0,4.0,45.0,2,44,False,,
44,1,Ireland,Netherlands,24609,47850,Gary Wilson,4,Roelof van der Merwe,7.3,1.0,1.0,0.0,243.0,207.0,3.0,46.0,2,45,False,,
45,1,Ireland,Netherlands,303423,47850,Andy Balbirnie,3,Roelof van der Merwe,7.4,1.0,1.0,0.0,265.0,203.0,3.0,47.0,2,46,False,,
46,1,Ireland,Netherlands,24609,47850,Gary Wilson,4,Roelof van der Merwe,7.5,0.0,0.0,0.0,129.0,178.0,6.0,47.0,2,47,False,,
47,1,Ireland,Netherlands,24609,47850,Gary Wilson,4,Roelof van der Merwe,7.6,0.0,0.0,0.0,118.0,164.0,7.0,47.0,2,48,False,,
48,1,Ireland,Netherlands,303423,36592,Andy Balbirnie,3,Peter Borren,8.1,4.0,4.0,0.0,16.0,111.0,7.0,51.0,2,49,False,,
49,1,Ireland,Netherlands,303423,36592,Andy Balbirnie,3,Peter Borren,8.2,0.0,0.0,0.0,0.0,0.0,0.0,51.0,2,50,False,,
50,1,Ireland,Netherlands,303423,36592,Andy Balbirnie,3,Peter Borren,8.3,4.0,4.0,0.0,23.0,113.0,7.0,55.0,2,51,False,,
51,1,Ireland,Netherlands,303423,36592,Andy Balbirnie,3,Peter Borren,8.4,1.0,1.0,0.0,34.0,209.0,6.0,56.0,2,52,False,,
52,1,Ireland,Netherlands,24609,36592,Gary Wilson,4,Peter Borren,8.5,1.0,1.0,0.0,43.0,181.0,6.0,57.0,2,53,False,,
53,1,Ireland,Netherlands,303423,36592,Andy Balbirnie,3,Peter Borren,8.6,3.0,3.0,0.0,56.0,257.0,6.0,60.0,2,54,False,,
54,1,Ireland,Netherlands,303423,47850,Andy Balbirnie,3,Roelof van der Merwe,9.1,1.0,1.0,0.0,314.0,105.0,2.0,61.0,2,55,False,,
55,1,Ireland,Netherlands,24609,47850,Gary Wilson,4,Roelof van der Merwe,9.2,1.0,1.0,0.0,106.0,295.0,5.0,62.0,2,56,False,,
56,1,Ireland,Netherlands,303423,47850,Andy Balbirnie,3,Roelof van der Merwe,9.3,0.0,0.0,0.0,118.0,164.0,7.0,62.0,2,57,False,,
57,1,Ireland,Netherlands,303423,47850,Andy Balbirnie,3,Roelof van der Merwe,9.4,1.0,1.0,0.0,45.0,213.0,6.0,63.0,2,58,False,,
58,1,Ireland,Netherlands,24609,47850,Gary Wilson,4,Roelof van der Merwe,9.5,1.0,1.0,0.0,289.0,246.0,3.0,64.0,2,59,False,,
59,1,Ireland,Netherlands,303423,47850,Andy Balbirnie,3,Roelof van der Merwe,9.6,0.0,0.0,0.0,115.0,147.0,7.0,64.0,2,60,False,,
60,1,Ireland,Netherlands,24609,208657,Gary Wilson,4,Pieter Seelaar,10.1,1.0,1.0,0.0,294.0,223.0,3.0,65.0,2,61,False,,
61,1,Ireland,Netherlands,303423,208657,Andy Balbirnie,3,Pieter Seelaar,10.2,1.0,1.0,0.0,60.0,213.0,6.0,66.0,2,62,False,,
62,1,Ireland,Netherlands,24609,208657,Gary Wilson,4,Pieter Seelaar,10.3,1.0,1.0,0.0,151.0,128.0,8.0,67.0,2,63,False,,
63,1,Ireland,Netherlands,303423,208657,Andy Balbirnie,3,Pieter Seelaar,10.4,1.0,1.0,0.0,216.0,313.0,4.0,68.0,2,64,False,,
64,1,Ireland,Netherlands,24609,208657,Gary Wilson,4,Pieter Seelaar,10.5,1.0,1.0,0.0,264.0,311.0,4.0,69.0,2,65,False,,
65,1,Ireland,Netherlands,303423,208657,Andy Balbirnie,3,Pieter Seelaar,10.6,0.0,0.0,0.0,185.0,158.0,1.0,69.0,2,66,False,,
66,1,Ireland,Netherlands,24609,348109,Gary Wilson,4,Paul van Meekeren,11.1,1.0,1.0,0.0,296.0,172.0,3.0,70.0,2,67,False,,
