,inning,batting_team,bowling_team,batsman,bowler,batsman_name,bowler_name,ovr,runs_batter,runs_w_extras,extras,x,y,z,cumul_runs,wicket,wicket_method,who_out
0,1,India,Pakistan,28763,41411,Gautam Gambhir,Mohammad Asif,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,
1,1,India,Pakistan,28763,41411,Gautam Gambhir,Mohammad Asif,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,
2,1,India,Pakistan,28763,41411,Gautam Gambhir,Mohammad Asif,0.3,0.0,0.0,0.0,178.0,190.0,5.0,0.0,True,caught,28763
3,1,India,Pakistan,35582,41411,Robin Uthappa,Mohammad Asif,0.4,0.0,0.0,0.0,176.0,192.0,5.0,0.0,False,,
4,1,India,Pakistan,35582,41411,Robin Uthappa,Mohammad Asif,0.5,0.0,0.0,0.0,121.0,157.0,7.0,0.0,False,,
5,1,India,Pakistan,35582,41411,Robin Uthappa,Mohammad Asif,0.6,1.0,1.0,0.0,164.0,251.0,5.0,1.0,False,,
6,1,India,Pakistan,35582,43524,Robin Uthappa,Umar Gul,1.1,1.0,1.0,0.0,200.0,139.0,1.0,2.0,False,,
7,1,India,Pakistan,35263,43524,Virender Sehwag,Umar Gul,1.2,4.0,4.0,0.0,354.0,176.0,3.0,6.0,False,,
8,1,India,Pakistan,35263,43524,Virender Sehwag,Umar Gul,1.3,1.0,1.0,0.0,235.0,171.0,3.0,7.0,False,,
9,1,India,Pakistan,35582,43524,Robin Uthappa,Umar Gul,1.4,2.0,2.0,0.0,330.0,211.0,3.0,9.0,False,,
10,1,India,Pakistan,35582,43524,Robin Uthappa,Umar Gul,1.5,0.0,0.0,0.0,0.0,0.0,0.0,9.0,False,,
11,1,India,Pakistan,35582,43524,Robin Uthappa,Umar Gul,1.6,0.0,0.0,0.0,0.0,0.0,0.0,9.0,False,,
12,1,India,Pakistan,35263,41411,Virender Sehwag,Mohammad Asif,2.1,0.0,0.0,0.0,180.0,158.0,8.0,9.0,False,,
13,1,India,Pakistan,36084,41411,Yuvraj Singh,Mohammad Asif,2.2,1.0,1.0,0.0,66.0,82.0,7.0,10.0,False,,
14,1,India,Pakistan,35582,41411,Robin Uthappa,Mohammad Asif,2.3,0.0,0.0,0.0,176.0,189.0,5.0,10.0,False,,
15,1,India,Pakistan,35582,41411,Robin Uthappa,Mohammad Asif,2.4,0.0,0.0,0.0,209.0,193.0,3.0,10.0,False,,
16,1,India,Pakistan,35582,41411,Robin Uthappa,Mohammad Asif,2.5,0.0,0.0,0.0,157.0,188.0,5.0,10.0,False,,
17,1,India,Pakistan,35582,41411,Robin Uthappa,Mohammad Asif,2.6,4.0,4.0,0.0,348.0,235.0,3.0,14.0,False,,
18,1,India,Pakistan,36084,43524,Yuvraj Singh,Umar Gul,3.1,0.0,0.0,0.0,0.0,0.0,0.0,14.0,False,,
19,1,India,Pakistan,36084,43524,Yuvraj Singh,Umar Gul,3.2,0.0,1.0,1.0,0.0,0.0,0.0,15.0,False,,
20,1,India,Pakistan,35582,43524,Robin Uthappa,Umar Gul,3.3,4.0,4.0,0.0,219.0,352.0,4.0,19.0,False,,
21,1,India,Pakistan,35582,43524,Robin Uthappa,Umar Gul,3.4,0.0,0.0,0.0,157.0,247.0,5.0,19.0,False,,
22,1,India,Pakistan,35582,43524,Robin Uthappa,Umar Gul,3.5,0.0,0.0,0.0,0.0,0.0,0.0,19.0,False,,
23,1,India,Pakistan,35582,43524,Robin Uthappa,Umar Gul,3.6,0.0,0.0,0.0,178.0,132.0,8.0,19.0,False,,
24,1,India,Pakistan,36084,41411,Yuvraj Singh,Mohammad Asif,4.1,0.0,0.0,0.0,263.0,152.0,2.0,19.0,True,caught,36084
25,1,India,Pakistan,35582,41411,Robin Uthappa,Mohammad Asif,4.2,1.0,1.0,0.0,124.0,71.0,8.0,20.0,False,,
26,1,India,Pakistan,30045,41411,Dinesh Karthik,Mohammad Asif,4.3,0.0,0.0,0.0,169.0,141.0,8.0,20.0,False,,
27,1,India,Pakistan,30045,41411,Dinesh Karthik,Mohammad Asif,4.4,4.0,4.0,0.0,117.0,344.0,5.0,24.0,False,,
28,1,India,Pakistan,30045,41411,Dinesh Karthik,Mohammad Asif,4.5,0.0,0.0,0.0,157.0,184.0,6.0,24.0,False,,
29,1,India,Pakistan,30045,41411,Dinesh Karthik,Mohammad Asif,4.6,4.0,4.0,0.0,9.0,194.0,6.0,28.0,False,,
30,1,India,Pakistan,35582,43524,Robin Uthappa,Umar Gul,5.1,0.0,0.0,0.0,0.0,0.0,0.0,28.0,False,,
31,1,India,Pakistan,35582,43524,Robin Uthappa,Umar Gul,5.2,0.0,0.0,0.0,149.0,242.0,5.0,28.0,False,,
32,1,India,Pakistan,35582,43524,Robin Uthappa,Umar Gul,5.3,0.0,0.0,0.0,190.0,184.0,4.0,28.0,False,,
33,1,India,Pakistan,35582,43524,Robin Uthappa,Umar Gul,5.4,1.0,1.0,0.0,143.0,239.0,5.0,29.0,False,,
34,1,India,Pakistan,30045,43524,Dinesh Karthik,Umar Gul,5.5,1.0,1.0,0.0,123.0,247.0,5.0,30.0,False,,
35,1,India,Pakistan,35582,43524,Robin Uthappa,Umar Gul,5.6,0.0,1.0,1.0,0.0,0.0,0.0,31.0,False,,
36,1,India,Pakistan,35582,43524,Robin Uthappa,Umar Gul,5.6,2.0,2.0,0.0,42.0,238.0,6.0,33.0,False,,
37,1,India,Pakistan,30045,41411,Dinesh Karthik,Mohammad Asif,6.1,0.0,0.0,0.0,191.0,188.0,4.0,33.0,False,,
38,1,India,Pakistan,30045,41411,Dinesh Karthik,Mohammad Asif,6.2,2.0,2.0,0.0,68.0,262.0,6.0,35.0,False,,
39,1,India,Pakistan,30045,41411,Dinesh Karthik,Mohammad Asif,6.3,0.0,0.0,0.0,0.0,0.0,0.0,35.0,False,,
40,1,India,Pakistan,30045,41411,Dinesh Karthik,Mohammad Asif,6.4,0.0,1.0,1.0,0.0,0.0,0.0,36.0,False,,
41,1,India,Pakistan,30045,41411,Dinesh Karthik,Mohammad Asif,6.4,0.0,0.0,0.0,181.0,160.0,1.0,36.0,True,bowled,30045
42,1,India,Pakistan,28081,41411,MS Dhoni,Mohammad Asif,6.5,0.0,0.0,0.0,0.0,0.0,0.0,36.0,False,,
43,1,India,Pakistan,28081,41411,MS Dhoni,Mohammad Asif,6.6,0.0,0.0,0.0,0.0,0.0,0.0,36.0,False,,
44,1,India,Pakistan,35582,43654,Robin Uthappa,Yasir Arafat,7.1,1.0,1.0,0.0,149.0,181.0,6.0,37.0,False,,
45,1,India,Pakistan,28081,43654,MS Dhoni,Yasir Arafat,7.2,0.0,0.0,0.0,0.0,0.0,0.0,37.0,False,,
46,1,India,Pakistan,28081,43654,MS Dhoni,Yasir Arafat,7.3,4.0,4.0,0.0,350.0,155.0,2.0,41.0,False,,
47,1,India,Pakistan,28081,43654,MS Dhoni,Yasir Arafat,7.4,1.0,1.0,0.0,119.0,177.0,6.0,42.0,False,,
48,1,India,Pakistan,35582,43654,Robin Uthappa,Yasir Arafat,7.5,2.0,2.0,0.0,250.0,210.0,3.0,44.0,False,,
49,1,India,Pakistan,35582,43654,Robin Uthappa,Yasir Arafat,7.6,0.0,0.0,0.0,0.0,0.0,0.0,44.0,False,,
50,1,India,Pakistan,28081,43265,MS Dhoni,Sohail Tanvir,8.1,0.0,0.0,0.0,0.0,0.0,0.0,44.0,False,,
51,1,India,Pakistan,28081,43265,MS Dhoni,Sohail Tanvir,8.2,0.0,0.0,0.0,0.0,0.0,0.0,44.0,False,,
52,1,India,Pakistan,28081,43265,MS Dhoni,Sohail Tanvir,8.3,0.0,0.0,0.0,0.0,0.0,0.0,44.0,False,,
53,1,India,Pakistan,28081,43265,MS Dhoni,Sohail Tanvir,8.4,0.0,0.0,0.0,0.0,0.0,0.0,44.0,False,,
54,1,India,Pakistan,28081,43265,MS Dhoni,Sohail Tanvir,8.5,1.0,1.0,0.0,91.0,79.0,7.0,45.0,False,,
55,1,India,Pakistan,35582,43265,Robin Uthappa,Sohail Tanvir,8.6,2.0,2.0,0.0,70.0,102.0,7.0,47.0,False,,
56,1,India,Pakistan,28081,43654,MS Dhoni,Yasir Arafat,9.1,0.0,1.0,1.0,0.0,0.0,0.0,48.0,False,,
57,1,India,Pakistan,35582,43654,Robin Uthappa,Yasir Arafat,9.2,6.0,6.0,0.0,153.0,357.0,5.0,54.0,False,,
58,1,India,Pakistan,35582,43654,Robin Uthappa,Yasir Arafat,9.3,2.0,2.0,0.0,327.0,205.0,3.0,56.0,False,,
59,1,India,Pakistan,35582,43654,Robin Uthappa,Yasir Arafat,9.4,6.0,6.0,0.0,339.0,287.0,3.0,62.0,False,,
60,1,India,Pakistan,35582,43654,Robin Uthappa,Yasir Arafat,9.5,0.0,0.0,0.0,0.0,0.0,0.0,62.0,False,,
61,1,India,Pakistan,35582,43654,Robin Uthappa,Yasir Arafat,9.6,2.0,2.0,0.0,309.0,252.0,3.0,64.0,False,,
62,1,India,Pakistan,28081,43265,MS Dhoni,Sohail Tanvir,10.1,0.0,1.0,1.0,0.0,0.0,0.0,65.0,False,,
63,1,India,Pakistan,28081,43265,MS Dhoni,Sohail Tanvir,10.1,1.0,1.0,0.0,155.0,198.0,5.0,66.0,False,,
64,1,India,Pakistan,35582,43265,Robin Uthappa,Sohail Tanvir,10.2,1.0,1.0,0.0,241.0,292.0,4.0,67.0,False,,
65,1,India,Pakistan,28081,43265,MS Dhoni,Sohail Tanvir,10.3,1.0,1.0,0.0,127.0,160.0,7.0,68.0,False,,
66,1,India,Pakistan,35582,43265,Robin Uthappa,Sohail Tanvir,10.4,0.0,0.0,0.0,0.0,0.0,0.0,68.0,False,,
67,1,India,Pakistan,35582,43265,Robin Uthappa,Sohail Tanvir,10.5,1.0,1.0,0.0,222.0,286.0,4.0,69.0,False,,
68,1,India,Pakistan,28081,43265,MS Dhoni,Sohail Tanvir,10.6,1.0,1.0,0.0,143.0,258.0,5.0,70.0,False,,
69,1,India,Pakistan,28081,42639,MS Dhoni,Shahid Afridi,11.1,1.0,1.0,0.0,284.0,174.0,3.0,71.0,False,,
70,1,India,Pakistan,35582,42639,Robin Uthappa,Shahid Afridi,11.2,4.0,4.0,0.0,22.0,114.0,7.0,75.0,False,,
71,1,India,Pakistan,35582,42639,Robin Uthappa,Shahid Afridi,11.3,2.0,2.0,0.0,123.0,316.0,5.0,77.0,False,,
72,1,India,Pakistan,35582,42639,Robin Uthappa,Shahid Afridi,11.4,4.0,4.0,0.0,37.0,280.0,6.0,81.0,False,,
73,1,India,Pakistan,35582,42639,Robin Uthappa,Shahid Afridi,11.5,0.0,0.0,0.0,141.0,179.0,6.0,81.0,False,,
74,1,India,Pakistan,35582,42639,Robin Uthappa,Shahid Afridi,11.6,1.0,1.0,0.0,122.0,145.0,7.0,82.0,False,,
75,1,India,Pakistan,35582,43265,Robin Uthappa,Sohail Tanvir,12.1,0.0,0.0,0.0,171.0,129.0,8.0,82.0,True,caught,35582
