,inning,batting_team,bowling_team,batsman,bowler,batsman_name,bowler_name,ovr,runs_batter,runs_w_extras,extras,x,y,z,cumul_runs,cumul_wickets,cumul_balls,wicket,wicket_method,who_out
0,1,South Africa,West Indies,47270,230553,Graeme Smith,Kemar Roach,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,False,,
1,1,South Africa,West Indies,47270,230553,Graeme Smith,Kemar Roach,0.2,1.0,1.0,0.0,223.0,204.0,3.0,1.0,0,2,False,,
2,1,South Africa,West Indies,44098,230553,Loots Bosman,Kemar Roach,0.3,0.0,5.0,5.0,0.0,0.0,0.0,6.0,0,3,False,,
3,1,South Africa,West Indies,44098,230553,Loots Bosman,Kemar Roach,0.3,2.0,2.0,0.0,80.0,97.0,7.0,8.0,0,3,False,,
4,1,South Africa,West Indies,44098,230553,Loots Bosman,Kemar Roach,0.4,0.0,0.0,0.0,132.0,177.0,6.0,8.0,0,4,False,,
5,1,South Africa,West Indies,44098,230553,Loots Bosman,Kemar Roach,0.5,2.0,2.0,0.0,73.0,168.0,6.0,10.0,0,5,False,,
6,1,South Africa,West Indies,44098,230553,Loots Bosman,Kemar Roach,0.6,0.0,0.0,0.0,122.0,153.0,7.0,10.0,0,6,False,,
7,1,South Africa,West Indies,47270,53191,Graeme Smith,Jerome Taylor,1.1,0.0,0.0,0.0,192.0,134.0,1.0,10.0,0,7,False,,
8,1,South Africa,West Indies,47270,53191,Graeme Smith,Jerome Taylor,1.2,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0,8,False,,
9,1,South Africa,West Indies,47270,53191,Graeme Smith,Jerome Taylor,1.3,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0,9,False,,
10,1,South Africa,West Indies,47270,53191,Graeme Smith,Jerome Taylor,1.4,0.0,0.0,0.0,225.0,201.0,3.0,10.0,0,10,False,,
11,1,South Africa,West Indies,47270,53191,Graeme Smith,Jerome Taylor,1.5,0.0,0.0,0.0,239.0,176.0,3.0,10.0,0,11,False,,
12,1,South Africa,West Indies,47270,53191,Graeme Smith,Jerome Taylor,1.6,2.0,2.0,0.0,343.0,217.0,3.0,12.0,0,12,False,,
13,1,South Africa,West Indies,44098,230553,Loots Bosman,Kemar Roach,2.1,0.0,0.0,0.0,186.0,167.0,3.0,12.0,0,13,False,,
14,1,South Africa,West Indies,44098,230553,Loots Bosman,Kemar Roach,2.2,2.0,2.0,0.0,80.0,256.0,6.0,14.0,0,14,False,,
15,1,South Africa,West Indies,44098,230553,Loots Bosman,Kemar Roach,2.3,0.0,0.0,0.0,205.0,216.0,4.0,14.0,0,15,False,,
16,1,South Africa,West Indies,44098,230553,Loots Bosman,Kemar Roach,2.4,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0,16,False,,
17,1,South Africa,West Indies,44098,230553,Loots Bosman,Kemar Roach,2.5,0.0,0.0,0.0,165.0,136.0,8.0,14.0,0,17,False,,
18,1,South Africa,West Indies,44098,230553,Loots Bosman,Kemar Roach,2.6,1.0,1.0,0.0,231.0,231.0,4.0,15.0,0,18,False,,
19,1,South Africa,West Indies,44098,53191,Loots Bosman,Jerome Taylor,3.1,0.0,0.0,0.0,186.0,132.0,1.0,15.0,1,19,True,caught,44098
20,1,South Africa,West Indies,45789,53191,Jacques Kallis,Jerome Taylor,3.2,0.0,1.0,1.0,0.0,0.0,0.0,16.0,1,20,False,,
21,1,South Africa,West Indies,47270,53191,Graeme Smith,Jerome Taylor,3.3,1.0,1.0,0.0,234.0,110.0,1.0,17.0,1,21,False,,
22,1,South Africa,West Indies,45789,53191,Jacques Kallis,Jerome Taylor,3.4,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1,22,False,,
23,1,South Africa,West Indies,45789,53191,Jacques Kallis,Jerome Taylor,3.5,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1,23,False,,
24,1,South Africa,West Indies,45789,53191,Jacques Kallis,Jerome Taylor,3.6,0.0,0.0,0.0,239.0,174.0,3.0,17.0,1,24,False,,
25,1,South Africa,West Indies,47270,51248,Graeme Smith,Sulieman Benn,4.1,1.0,1.0,0.0,233.0,232.0,4.0,18.0,1,25,False,,
26,1,South Africa,West Indies,45789,51248,Jacques Kallis,Sulieman Benn,4.2,0.0,0.0,0.0,121.0,190.0,6.0,18.0,1,26,False,,
